#Energy(keV)    dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
10.0  63.29  1485.0  0.008534049449118513
11.0  66.38  1534.0  0.009021640649017228
12.0  69.33  1578.0  0.009475230867899738
13.0  72.16  1619.0  0.009962931295557548
14.0  74.89  1658.0  0.010416813332300814
15.0  77.51  1694.0  0.010789346597454362
16.0  80.06  1727.0  0.011230316113093167
17.0  82.52  1758.0  0.011602585918664856
18.0  84.91  1788.0  0.011974973903938164
20.0  89.51  1842.0  0.012755391017134677
22.5  94.93  1902.0  0.01369781004394498
25.0  100.1  1956.0  0.014640355186948164
27.5  105.0  2003.0  0.015583003561573102
30.0  109.6  2046.0  0.016442931612093994
32.5  114.1  2085.0  0.01730780170905595
35.0  118.4  2120.0  0.018167553495173752
37.5  122.6  2152.0  0.01898236023259489
40.0  126.6  2182.0  0.019809593635408074
45.0  134.3  2234.0  0.021407241765346603
50.0  141.5  2279.0  0.023049728848730522
55.0  148.4  2318.0  0.0246483265152018
60.0  155.0  2352.0  0.026131398737916808
65.0  161.4  2382.0  0.027690070422445662
70.0  167.5  2408.0  0.029173446830979707
80.0  179.0  2451.0  0.0321723483755849
90.0  189.9  2486.0  0.035097720723716516
100.0  200.1  2513.0  0.038012761015216986
110.0  209.9  2535.0  0.04085449791638615
120.0  219.2  2552.0  0.04373899861679506
130.0  228.2  2565.0  0.046496128871122165
140.0  236.8  2576.0  0.049338929862736185
150.0  245.1  2583.0  0.052096449015263994
160.0  253.2  2589.0  0.05493978521982044
170.0  261.0  2593.0  0.05766749517709262
180.0  268.5  2595.0  0.06046990987259697
200.0  283.0  2596.0  0.06604248632509227
225.0  300.2  2591.0  0.07297437906553231
250.0  329.8  2582.0  0.07986626321545287
275.0  354.1  2569.0  0.08672998328144656
300.0  372.9  2554.0  0.09366397386402095
325.0  388.7  2538.0  0.10052924947496625
350.0  402.8  2520.0  0.10748232412820259
375.0  416.1  2502.0  0.11434902710561207
400.0  429.1  2482.0  0.12139081513854334
450.0  455.1  2443.0  0.13538914284387799
500.0  481.7  2403.0  0.14956486886966472
550.0  508.8  2363.0  0.16386952126615859
600.0  536.2  2324.0  0.17822488602885964
650.0  563.7  2286.0  0.19275834612280737
700.0  591.0  2248.0  0.2072553497500125
800.0  644.5  2177.0  0.23658505869982577
900.0  695.6  2110.0  0.26621123191931634
1000.0  744.0  2047.0  0.296099611617442
1100.0  789.7  1989.0  0.3262505938691913
1200.0  832.7  1934.0  0.3566493516046258
1300.0  873.5  1882.0  0.38718610512258833
1400.0  912.3  1834.0  0.4179720804072923
1500.0  949.4  1789.0  0.44880795447496247
1600.0  985.1  1746.0  0.47991958701432474
1700.0  1020.0  1705.0  0.5111567469964571
1800.0  1053.0  1667.0  0.5424457668744407
2000.0  1119.0  1596.0  0.6054590076958143
2250.0  1198.0  1517.0  0.6846232686667902
2500.0  1276.0  1447.0  0.7639041301105788
2750.0  1355.0  1385.0  0.8430572993575229
3000.0  1433.0  1328.0  0.9219943926076775
3250.0  1513.0  1277.0  1.000455166411769
3500.0  1594.0  1230.0  1.0782598805482841
3750.0  1676.0  1187.0  1.1586434999601904
4000.0  1759.0  1148.0  1.2325
4500.0  1928.0  1077.0  1.3794042083450377
5000.0  2102.0  1017.0  1.52523337558552
5500.0  2279.0  963.2  1.6607486534692721
6000.0  2459.0  916.1  1.7953285521040432
6500.0  2640.0  874.0  1.9290561655897942
7000.0  2823.0  836.2  2.0526577430248816
8000.0  3190.0  771.0  2.2884913895402796
9000.0  3554.0  716.5  2.512646471352466
10000.0  3913.0  670.2  2.7160877544733344
11000.0  4263.0  630.2  2.918124214285608
12000.0  4604.0  595.4  3.1000041451585187
13000.0  4934.0  564.7  3.2713836155363984
14000.0  5253.0  537.4  3.4324709583622117
15000.0  5560.0  512.9  3.5929652210952447
16000.0  5855.0  490.9  3.743350135907674
17000.0  6139.0  470.9  3.8933081100781117
18000.0  6412.0  452.7  4.033322645164902
20000.0  6926.0  420.6  4.2932775230585785
22500.0  7514.0  387.0  4.602550775385319
25000.0  8047.0  358.9  4.901252672531789
27500.0  8534.0  335.1  5.179890857923553
30000.0  8982.0  314.5  5.4386201926591635
