#Energy(keV)    dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
10.0  52.86  1610.0  0.00837137981458254
11.0  55.44  1668.0  0.008777812939451377
12.0  57.91  1721.0  0.009231467922275418
13.0  60.27  1771.0  0.009556673061269807
14.0  62.55  1817.0  0.010044401425669924
15.0  64.74  1860.0  0.010416813332300814
16.0  66.87  1901.0  0.010742439201596628
17.0  68.92  1940.0  0.011196874563912915
18.0  70.92  1976.0  0.01156935607542615
20.0  74.76  2044.0  0.012300812981262663
22.5  79.29  2119.0  0.013081666560496029
25.0  83.58  2187.0  0.01394166417613048
27.5  87.66  2248.0  0.01472311108427835
30.0  91.56  2303.0  0.01553769609691218
32.5  95.3  2354.0  0.01636490146624782
35.0  98.9  2400.0  0.017147302994931887
37.5  102.4  2443.0  0.017878758346149208
40.0  105.7  2483.0  0.018661457606521523
45.0  112.1  2554.0  0.020060159520801424
50.0  118.2  2617.0  0.021459030733003766
55.0  124.0  2672.0  0.022929893152825637
60.0  129.5  2721.0  0.02424479325546003
65.0  134.8  2765.0  0.025600390622019815
70.0  139.9  2804.0  0.02692508124407427
80.0  149.5  2872.0  0.029468627385747036
90.0  158.6  2928.0  0.032066493416025396
100.0  167.2  2975.0  0.03457990746083627
110.0  175.3  3014.0  0.037093665227367324
120.0  183.1  3047.0  0.03948024822617001
130.0  190.6  3076.0  0.04199452345246937
140.0  197.8  3100.0  0.044381640348234094
150.0  204.7  3120.0  0.0467389559147399
160.0  211.5  3138.0  0.04916777399882977
170.0  218.0  3152.0  0.05152562469296224
180.0  224.3  3165.0  0.053913449156958976
200.0  236.4  3184.0  0.058544085952382925
225.0  250.8  3199.0  0.06440722009216047
250.0  264.3  3207.0  0.07027126012816336
275.0  277.2  3210.0  0.07610716129248286
300.0  303.5  3208.0  0.08181692978840015
325.0  326.2  3203.0  0.08765443514164015
350.0  344.8  3195.0  0.0933655718131689
375.0  360.6  3185.0  0.09916476188646853
400.0  374.5  3173.0  0.10484898664269483
450.0  399.1  3146.0  0.11642259230922493
500.0  421.7  3115.0  0.12812497804877862
550.0  443.2  3082.0  0.13979030724624653
600.0  464.3  3048.0  0.15163380230014678
650.0  485.1  3013.0  0.16345219484607726
700.0  505.8  2978.0  0.17542536874694037
800.0  547.0  2908.0  0.19953962012592888
900.0  588.1  2840.0  0.22386323950126336
1000.0  629.1  2774.0  0.24852229276264132
1100.0  669.7  2710.0  0.27347981643989744
1200.0  710.0  2650.0  0.29864584376816633
1300.0  749.7  2592.0  0.323933527131725
1400.0  788.9  2536.0  0.34948403397008
1500.0  827.5  2484.0  0.37521872288040214
1600.0  865.5  2433.0  0.4010473288777773
1700.0  902.9  2385.0  0.4270248938879325
1800.0  939.7  2339.0  0.4530861617838267
2000.0  1011.0  2253.0  0.5056940873690339
2250.0  1098.0  2156.0  0.5718092863883901
2500.0  1181.0  2068.0  0.6383824402346919
2750.0  1262.0  1988.0  0.7051532032118978
3000.0  1341.0  1915.0  0.7720576921448292
3250.0  1417.0  1848.0  0.8389234410838692
3500.0  1492.0  1787.0  0.9057811932249422
3750.0  1566.0  1730.0  0.9724511555857189
4000.0  1639.0  1678.0  1.0388181072738383
4500.0  1781.0  1583.0  1.1753535297943338
5000.0  1922.0  1500.0  1.3017019205639977
5500.0  2062.0  1427.0  1.4274562620269666
6000.0  2202.0  1362.0  1.5525884226027193
6500.0  2342.0  1304.0  1.6771934324937001
7000.0  2482.0  1251.0  1.801241360839796
8000.0  2763.0  1159.0  2.038622049326456
9000.0  3046.0  1081.0  2.2647731122565014
10000.0  3329.0  1015.0  2.4799109863057587
11000.0  3611.0  957.0  2.684232139737545
12000.0  3892.0  906.5  2.8778840699374952
13000.0  4171.0  861.8  3.070544884869785
14000.0  4446.0  821.8  3.243280672405643
15000.0  4716.0  785.9  3.415276249441617
16000.0  4982.0  753.4  3.5866185551296086
17000.0  5243.0  723.8  3.7478644065654243
18000.0  5499.0  696.8  3.8990271927751414
20000.0  5992.0  649.1  4.190658498374688
22500.0  6575.0  598.9  4.531797895979034
25000.0  7120.0  556.8  4.852185074788472
27500.0  7629.0  520.8  5.152161552203114
30000.0  8104.0  489.8  5.431931599348431
