#Energy(keV)    dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
10.0  57.59  1328.0  0.008944830909525345
11.0  60.4  1368.0  0.009446163242290492
12.0  63.09  1405.0  0.00993327740476425
13.0  65.67  1440.0  0.010420652570736634
14.0  68.15  1471.0  0.010872902096496594
15.0  70.54  1500.0  0.01128051417267848
16.0  72.85  1528.0  0.011732859838931001
17.0  75.09  1553.0  0.012220474622534103
18.0  77.27  1577.0  0.01267320006943787
20.0  81.45  1621.0  0.013533292282367953
22.5  86.39  1669.0  0.01452205219657332
25.0  91.06  1711.0  0.015578189882011324
27.5  95.51  1748.0  0.016566834338521044
30.0  99.76  1781.0  0.017589201232574493
32.5  103.8  1811.0  0.018530785196531743
35.0  107.7  1838.0  0.019472544774630767
37.5  111.5  1862.0  0.020461182761512105
40.0  115.2  1884.0  0.0214030371676545
45.0  122.2  1923.0  0.023158799623469263
50.0  128.8  1956.0  0.024961169844380293
55.0  135.1  1983.0  0.026730132809247322
60.0  141.1  2007.0  0.02848683906648823
65.0  146.8  2027.0  0.030256239026025693
70.0  152.4  2045.0  0.031897648816174524
80.0  162.9  2072.0  0.03529674205928927
90.0  172.8  2093.0  0.038663807365545366
100.0  182.1  2108.0  0.04203165473782825
110.0  191.0  2119.0  0.045316442931898356
120.0  199.5  2127.0  0.04868521336093743
130.0  207.7  2132.0  0.051970472385769205
140.0  215.5  2134.0  0.05521195522710639
150.0  223.1  2135.0  0.05846580197004057
160.0  230.4  2134.0  0.06170786011522358
170.0  237.5  2132.0  0.06504659868125312
180.0  244.4  2129.0  0.06828916458707047
200.0  266.7  2121.0  0.07479732615541815
225.0  318.4  2106.0  0.0828961398377512
250.0  348.5  2089.0  0.09092227449860678
275.0  367.2  2071.0  0.09894953259111434
300.0  380.4  2051.0  0.10706311222825535
325.0  391.4  2030.0  0.1151776454004856
350.0  401.8  2009.0  0.12343443603792259
375.0  412.4  1988.0  0.13160676274416905
400.0  423.7  1967.0  0.14002321236137957
450.0  448.6  1926.0  0.1567464513154923
500.0  476.4  1885.0  0.17368693099942784
550.0  506.5  1846.0  0.19076304673599653
600.0  538.2  1808.0  0.20795790439413456
650.0  570.8  1771.0  0.2252894360594833
700.0  603.8  1736.0  0.24262392709706107
800.0  669.5  1671.0  0.27744471521368
900.0  733.1  1611.0  0.3123739585816974
1000.0  793.7  1556.0  0.34728612123147107
1100.0  851.1  1505.0  0.38239741107910236
1200.0  905.2  1457.0  0.417504910150767
1300.0  956.4  1414.0  0.4524838781658414
1400.0  1005.0  1373.0  0.48755051020381474
1500.0  1051.0  1335.0  0.5226442862980518
1600.0  1095.0  1299.0  0.5576495225497822
1700.0  1138.0  1266.0  0.5926833049782996
1800.0  1179.0  1235.0  0.6276032106355097
2000.0  1257.0  1177.0  0.697410682453316
2250.0  1351.0  1114.0  0.7841602259742585
2500.0  1442.0  1058.0  0.8702827701385337
2750.0  1531.0  1009.0  0.9554940188195844
3000.0  1621.0  964.5  1.03955133591372
3250.0  1711.0  924.7  1.1229225485312868
3500.0  1803.0  888.5  1.2065601103964942
3750.0  1895.0  855.5  1.2806175151074577
4000.0  1990.0  825.3  1.3634883864558585
4500.0  2183.0  771.9  1.5190050756992222
5000.0  2382.0  725.9  1.6639501464887705
5500.0  2585.0  685.9  1.7984117937780544
6000.0  2792.0  650.7  1.931825253484383
6500.0  3000.0  619.4  2.0643372834883356
7000.0  3209.0  591.4  2.1866830451622383
8000.0  3626.0  543.4  2.4106298761941867
9000.0  4034.0  503.5  2.623009435743608
10000.0  4432.0  469.8  2.814816143196568
11000.0  4814.0  440.8  2.9958832303679657
12000.0  5180.0  415.6  3.166451213898613
13000.0  5530.0  393.5  3.3363142672715953
14000.0  5862.0  373.9  3.4864430254917402
15000.0  6177.0  356.4  3.636120994961526
16000.0  6477.0  340.7  3.7758017863759745
17000.0  6761.0  326.4  3.905531586096827
18000.0  7031.0  313.4  4.044703677650564
20000.0  7530.0  290.7  4.293511622203904
22500.0  8088.0  266.9  4.591675939131593
25000.0  8586.0  247.2  4.869847219369413
27500.0  9035.0  230.4  5.128133414801139
30000.0  9443.0  216.0  5.386141870578605
