# Energy(keV)    dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
9.999990e-03  1.206000e+00  1.974000e+01  4.000000e-04
1.099990e-02  1.265000e+00  2.086000e+01  4.000000e-04
1.199990e-02  1.321000e+00  2.192000e+01  5.000000e-04
1.299990e-02  1.375000e+00  2.294000e+01  5.000000e-04
1.399990e-02  1.427000e+00  2.392000e+01  5.000000e-04
1.499990e-02  1.477000e+00  2.486000e+01  5.000000e-04
1.599990e-02  1.525000e+00  2.577000e+01  5.000000e-04
1.699990e-02  1.572000e+00  2.666000e+01  5.000000e-04
1.799990e-02  1.618000e+00  2.751000e+01  5.000000e-04
1.999990e-02  1.705000e+00  2.915000e+01  6.000000e-04
2.249990e-02  1.809000e+00  3.108000e+01  6.000000e-04
2.499990e-02  1.906000e+00  3.290000e+01  6.000000e-04
2.749990e-02  1.999000e+00  3.462000e+01  7.000000e-04
2.999990e-02  2.088000e+00  3.625000e+01  7.000000e-04
3.249990e-02  2.174000e+00  3.781000e+01  7.000000e-04
3.499990e-02  2.256000e+00  3.930000e+01  7.000000e-04
3.749990e-02  2.335000e+00  4.073000e+01  8.000000e-04
3.999990e-02  2.411000e+00  4.210000e+01  8.000000e-04
4.499990e-02  2.558000e+00  4.471000e+01  8.000000e-04
4.999990e-02  2.696000e+00  4.714000e+01  9.000000e-04
5.499990e-02  2.828000e+00  4.943000e+01  9.000000e-04
5.999990e-02  2.953000e+00  5.160000e+01  9.000000e-04
6.499990e-02  3.074000e+00  5.365000e+01  1.000000e-03
6.999990e-02  3.190000e+00  5.561000e+01  1.000000e-03
7.999990e-02  3.410000e+00  5.926000e+01  1.100000e-03
8.999990e-02  3.617000e+00  6.263000e+01  1.100000e-03
9.999990e-02  3.813000e+00  6.575000e+01  1.200000e-03
1.100000e-01  3.999000e+00  6.866000e+01  1.300000e-03
1.200000e-01  4.177000e+00  7.140000e+01  1.300000e-03
1.300000e-01  4.347000e+00  7.398000e+01  1.400000e-03
1.399990e-01  4.511000e+00  7.642000e+01  1.400000e-03
1.499990e-01  4.670000e+00  7.873000e+01  1.500000e-03
1.599990e-01  4.823000e+00  8.094000e+01  1.500000e-03
1.699990e-01  4.971000e+00  8.304000e+01  1.600000e-03
1.799990e-01  5.115000e+00  8.506000e+01  1.600000e-03
1.999990e-01  5.392000e+00  8.884000e+01  1.700000e-03
2.249990e-01  5.719000e+00  9.318000e+01  1.900000e-03
2.499990e-01  6.028000e+00  9.715000e+01  2.000000e-03
2.749990e-01  6.323000e+00  1.008000e+02  2.100000e-03
2.999990e-01  6.604000e+00  1.042000e+02  2.200000e-03
3.249990e-01  6.873000e+00  1.074000e+02  2.300000e-03
3.499990e-01  7.133000e+00  1.103000e+02  2.400000e-03
3.749990e-01  7.383000e+00  1.131000e+02  2.500000e-03
3.999990e-01  7.625000e+00  1.158000e+02  2.600000e-03
4.499990e-01  8.088000e+00  1.206000e+02  2.800000e-03
4.999990e-01  8.525000e+00  1.250000e+02  3.000000e-03
5.499990e-01  8.942000e+00  1.290000e+02  3.100000e-03
5.999990e-01  9.339000e+00  1.326000e+02  3.300000e-03
6.499990e-01  9.721000e+00  1.360000e+02  3.500000e-03
6.999990e-01  1.009000e+01  1.391000e+02  3.600000e-03
7.999990e-01  1.078000e+01  1.448000e+02  4.000000e-03
8.999990e-01  1.144000e+01  1.497000e+02  4.300000e-03
9.999990e-01  1.206000e+01  1.541000e+02  4.600000e-03
1.100000e+00  1.265000e+01  1.580000e+02  4.900000e-03
1.200000e+00  1.321000e+01  1.616000e+02  5.200000e-03
1.300000e+00  1.375000e+01  1.648000e+02  5.500000e-03
1.400000e+00  1.427000e+01  1.677000e+02  5.800000e-03
1.500000e+00  1.477000e+01  1.704000e+02  6.100000e-03
1.600000e+00  1.525000e+01  1.729000e+02  6.400000e-03
1.700000e+00  1.572000e+01  1.752000e+02  6.700000e-03
1.800000e+00  1.618000e+01  1.773000e+02  6.900000e-03
2.000000e+00  1.705000e+01  1.811000e+02  7.500000e-03
2.250000e+00  1.809000e+01  1.852000e+02  8.200000e-03
2.500000e+00  1.906000e+01  1.887000e+02  8.800000e-03
2.750000e+00  1.999000e+01  1.916000e+02  9.500000e-03
3.000000e+00  2.088000e+01  1.942000e+02  1.010000e-02
3.250000e+00  2.174000e+01  1.964000e+02  1.080000e-02
3.500000e+00  2.256000e+01  1.984000e+02  1.140000e-02
3.750000e+00  2.335000e+01  2.000000e+02  1.210000e-02
4.000000e+00  2.411000e+01  2.015000e+02  1.270000e-02
4.500000e+00  2.558000e+01  2.040000e+02  1.400000e-02
5.000000e+00  2.696000e+01  2.058000e+02  1.520000e-02
5.500000e+00  2.828000e+01  2.073000e+02  1.650000e-02
6.000000e+00  2.953000e+01  2.083000e+02  1.770000e-02
6.500000e+00  3.074000e+01  2.091000e+02  1.900000e-02
7.000000e+00  3.190000e+01  2.096000e+02  2.020000e-02
8.000000e+00  3.410000e+01  2.101000e+02  2.270000e-02
9.000000e+00  3.617000e+01  2.101000e+02  2.520000e-02
1.000000e+01  3.813000e+01  2.096000e+02  2.780000e-02
1.100000e+01  3.999000e+01  2.088000e+02  3.030000e-02
1.200000e+01  4.177000e+01  2.078000e+02  3.280000e-02
1.300000e+01  4.347000e+01  2.066000e+02  3.530000e-02
1.400000e+01  4.511000e+01  2.053000e+02  3.790000e-02
1.500000e+01  4.670000e+01  2.040000e+02  4.050000e-02
1.600000e+01  4.823000e+01  2.025000e+02  4.310000e-02
1.700000e+01  4.971000e+01  2.010000e+02  4.570000e-02
1.800000e+01  5.115000e+01  1.995000e+02  4.830000e-02
2.000000e+01  5.392000e+01  1.964000e+02  5.350000e-02
2.250000e+01  5.719000e+01  1.924000e+02  6.020000e-02
2.500000e+01  6.029000e+01  1.885000e+02  6.700000e-02
2.750000e+01  6.323000e+01  1.847000e+02  7.390000e-02
3.000000e+01  6.604000e+01  1.810000e+02  8.080000e-02
3.250000e+01  6.874000e+01  1.775000e+02  8.780000e-02
3.500000e+01  7.133000e+01  1.740000e+02  9.490000e-02
3.750000e+01  7.383000e+01  1.707000e+02  1.021000e-01
4.000000e+01  7.631000e+01  1.675000e+02  1.093000e-01
4.500000e+01  9.487000e+01  1.615000e+02  1.235000e-01
5.000000e+01  1.064000e+02  1.559000e+02  1.373000e-01
5.500000e+01  1.137000e+02  1.508000e+02  1.511000e-01
6.000000e+01  1.185000e+02  1.460000e+02  1.650000e-01
6.500000e+01  1.221000e+02  1.416000e+02  1.790000e-01
7.000000e+01  1.250000e+02  1.375000e+02  1.932000e-01
8.000000e+01  1.304000e+02  1.300000e+02  2.223000e-01
9.000000e+01  1.360000e+02  1.235000e+02  2.519000e-01
1.000000e+02  1.423000e+02  1.176000e+02  2.819000e-01
1.100000e+02  1.491000e+02  1.124000e+02  3.120000e-01
1.200000e+02  1.563000e+02  1.077000e+02  3.422000e-01
1.300000e+02  1.639000e+02  1.035000e+02  3.723000e-01
1.400000e+02  1.718000e+02  9.959000e+01  4.022000e-01
1.500000e+02  1.800000e+02  9.604000e+01  4.319000e-01
1.600000e+02  1.882000e+02  9.277000e+01  4.612000e-01
1.700000e+02  1.966000e+02  8.976000e+01  4.901000e-01
1.800000e+02  2.051000e+02  8.697000e+01  5.187000e-01
2.000000e+02  2.223000e+02  8.195000e+01  5.746000e-01
2.250000e+02  2.439000e+02  7.655000e+01  6.421000e-01
2.500000e+02  2.655000e+02  7.192000e+01  7.069000e-01
2.750000e+02  2.869000e+02  6.789000e+01  7.691000e-01
3.000000e+02  3.080000e+02  6.435000e+01  8.289000e-01
3.250000e+02  3.287000e+02  6.122000e+01  8.865000e-01
3.500000e+02  3.489000e+02  5.841000e+01  9.419000e-01
3.750000e+02  3.686000e+02  5.589000e+01  9.954000e-01
4.000000e+02  3.876000e+02  5.360000e+01  1.050000e+00
4.500000e+02  4.238000e+02  4.961000e+01  1.150000e+00
5.000000e+02  4.575000e+02  4.625000e+01  1.240000e+00
5.500000e+02  4.889000e+02  4.336000e+01  1.330000e+00
6.000000e+02  5.185000e+02  4.085000e+01  1.410000e+00
6.500000e+02  5.468000e+02  3.866000e+01  1.490000e+00
7.000000e+02  5.743000e+02  3.671000e+01  1.570000e+00
8.000000e+02  6.283000e+02  3.341000e+01  1.720000e+00
9.000000e+02  6.823000e+02  3.071000e+01  1.860000e+00
1.000000e+03  7.368000e+02  2.846000e+01  1.990000e+00
1.100000e+03  7.917000e+02  2.655000e+01  2.110000e+00
1.200000e+03  8.466000e+02  2.490000e+01  2.220000e+00
1.300000e+03  9.012000e+02  2.346000e+01  2.330000e+00
1.400000e+03  9.549000e+02  2.220000e+01  2.430000e+00
1.500000e+03  1.008000e+03  2.108000e+01  2.530000e+00
1.600000e+03  1.059000e+03  2.008000e+01  2.620000e+00
1.700000e+03  1.109000e+03  1.918000e+01  2.710000e+00
1.800000e+03  1.157000e+03  1.836000e+01  2.800000e+00
2.000000e+03  1.248000e+03  1.694000e+01  2.960000e+00
2.250000e+03  1.352000e+03  1.547000e+01  3.140000e+00
2.500000e+03  1.445000e+03  1.426000e+01  3.320000e+00
2.750000e+03  1.528000e+03  1.323000e+01  3.480000e+00
3.000000e+03  1.602000e+03  1.236000e+01  3.640000e+00
3.250000e+03  1.668000e+03  1.160000e+01  3.790000e+00
3.500000e+03  1.727000e+03  1.094000e+01  3.930000e+00
3.750000e+03  1.779000e+03  1.036000e+01  4.070000e+00
4.000000e+03  1.826000e+03  9.837000e+00  4.210000e+00
4.500000e+03  1.905000e+03  8.950000e+00  4.470000e+00
5.000000e+03  1.968000e+03  8.221000e+00  4.730000e+00
5.500000e+03  2.019000e+03  7.611000e+00  4.980000e+00
6.000000e+03  2.059000e+03  7.091000e+00  5.220000e+00
6.500000e+03  2.090000e+03  6.643000e+00  5.460000e+00
7.000000e+03  2.115000e+03  6.252000e+00  5.700000e+00
8.000000e+03  2.148000e+03  5.602000e+00  6.160000e+00
9.000000e+03  2.165000e+03  5.083000e+00  6.620000e+00
1.000000e+04  2.169000e+03  4.657000e+00  7.080000e+00
1.100000e+04  2.164000e+03  4.302000e+00  7.540000e+00
1.200000e+04  2.153000e+03  4.001000e+00  8.000000e+00
1.300000e+04  2.137000e+03  3.742000e+00  8.470000e+00
1.400000e+04  2.118000e+03  3.516000e+00  8.940000e+00
1.500000e+04  2.097000e+03  3.318000e+00  9.410000e+00
1.600000e+04  2.074000e+03  3.142000e+00  9.890000e+00
1.700000e+04  2.050000e+03  2.985000e+00  1.037000e+01
1.800000e+04  2.026000e+03  2.845000e+00  1.086000e+01
2.000000e+04  1.978000e+03  2.602000e+00  1.186000e+01
2.250000e+04  1.918000e+03  2.354000e+00  1.314000e+01
2.500000e+04  1.862000e+03  2.151000e+00  1.446000e+01
2.750000e+04  1.809000e+03  1.983000e+00  1.582000e+01
3.000000e+04  1.759000e+03  1.841000e+00  1.722000e+01
3.250000e+04  1.712000e+03  1.718000e+00  1.866000e+01
3.500000e+04  1.667000e+03  1.612000e+00  2.013000e+01
3.750000e+04  1.625000e+03  1.519000e+00  2.165000e+01
4.000000e+04  1.586000e+03  1.437000e+00  2.321000e+01
4.500000e+04  1.552000e+03  1.298000e+00  2.639000e+01
5.000000e+04  1.501000e+03  1.184000e+00  2.966000e+01
5.500000e+04  1.443000e+03  1.090000e+00  3.305000e+01
6.000000e+04  1.389000e+03  1.011000e+00  3.658000e+01
6.500000e+04  1.339000e+03  9.428000e-01  4.025000e+01
7.000000e+04  1.293000e+03  8.837000e-01  4.404000e+01
8.000000e+04  1.210000e+03  7.863000e-01  5.203000e+01
9.000000e+04  1.136000e+03  7.092000e-01  6.056000e+01
1.000000e+05  1.071000e+03  6.465000e-01  6.961000e+01
