#Energy(keV)    dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
0.0011  0.7587  8.701  0.00017320508075688773
0.0012  0.7587  9.2  0.00017320508075688773
0.0013000000000000002  0.7897  9.682  0.00017320508075688773
0.0014  0.8195  10.15  0.00017320508075688773
0.0015  0.8483  10.6  0.00017320508075688773
0.0016  0.8761  11.05  0.00017320508075688773
0.0017  0.9031  11.48  0.00017320508075688773
0.0018000000000000002  0.9293  11.9  0.00017320508075688773
0.002  0.9795  12.71  0.0002449489742783178
0.0022500000000000003  1.039  13.68  0.0002449489742783178
0.00249999  1.095  14.6  0.0002449489742783178
0.00274999  1.149  15.49  0.0002449489742783178
0.00299999  1.2  16.34  0.0002449489742783178
0.00324999  1.249  17.16  0.0002449489742783178
0.00349999  1.296  17.95  0.0002449489742783178
0.00374999  1.341  18.72  0.0002449489742783178
0.00399999  1.385  19.46  0.0003
0.004499990000000001  1.469  20.89  0.0003
0.00499999  1.549  22.24  0.0003
0.005499990000000001  1.624  23.54  0.0003
0.00599999  1.697  24.78  0.0003
0.006499990000000001  1.766  25.97  0.0003741657386773942
0.00699999  1.833  27.12  0.0003741657386773942
0.00799999  1.959  29.31  0.0004123105625617661
0.008999990000000001  2.078  31.36  0.0004123105625617661
0.00999999  2.19  33.31  0.0004123105625617661
0.0109999  2.297  35.16  0.0004123105625617661
0.0119999  2.399  36.92  0.0004123105625617661
0.0129999  2.497  38.61  0.00046904157598234294
0.013999900000000001  2.592  40.24  0.0005385164807134504
0.0149999  2.683  41.8  0.0005385164807134504
0.0159999  2.771  43.31  0.0005385164807134504
0.016999900000000002  2.856  44.77  0.0005385164807134504
0.0179999  2.939  46.19  0.0005385164807134504
0.0199999  3.098  48.9  0.0005385164807134504
0.0224999  3.285  52.08  0.0005385164807134504
0.024999900000000002  3.463  55.07  0.0006164414002968976
0.0274999  3.632  57.89  0.0007071067811865475
0.0299999  3.794  60.58  0.0007071067811865475
0.0324999  3.949  63.13  0.0007071067811865475
0.0349999  4.098  65.57  0.0007071067811865475
0.037499899999999996  4.242  67.91  0.0007071067811865475
0.0399999  4.381  70.15  0.0007810249675906655
0.044999899999999995  4.646  74.4  0.0007810249675906655
0.0499999  4.898  78.36  0.0008366600265340756
0.0549999  5.137  82.08  0.0008366600265340756
0.059999899999999995  5.365  85.59  0.0009486832980505137
0.0649999  5.584  88.92  0.0009486832980505137
0.0699999  5.795  92.08  0.0009486832980505137
0.0799999  6.195  97.98  0.0010770329614269009
0.0899999  6.571  103.4  0.0010770329614269009
0.0999999  6.926  108.4  0.0011916375287812986
0.11  7.264  113.1  0.0012449899597988734
0.12  7.587  117.4  0.0013190905958272918
0.13  7.897  121.5  0.0013190905958272918
0.13999899999999998  8.195  125.4  0.0013190905958272918
0.149999  8.483  129.1  0.001449137674618944
0.159999  8.761  132.6  0.0014866068747318507
0.169999  9.031  135.9  0.0014866068747318507
0.179999  9.293  139.1  0.001562049935181331
0.199999  9.795  145.1  0.0016911534525287765
0.224999  10.39  151.9  0.0017291616465790584
0.249999  10.95  158.1  0.0018574175621006708
0.27499900000000005  11.49  163.9  0.0019339079605813717
0.299999  12.0  169.2  0.0021
0.32499900000000004  12.49  174.1  0.0021
0.349999  12.96  178.7  0.0022293496809607954
0.374999  13.41  183.0  0.0023430749027719966
0.39999900000000005  13.85  187.1  0.002420743687382041
