#Energy(keV)    dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
10.0  39.32  933.8  0.010552724766618334
11.0  41.24  954.5  0.01120490963818986
12.0  43.07  973.0  0.011871815362445628
13.0  44.83  989.7  0.0126
14.0  46.53  1005.0  0.0132143861000048
15.0  48.16  1018.0  0.013828955130450023
16.0  49.74  1031.0  0.014481367338756379
17.0  51.27  1042.0  0.015096025967121281
18.0  52.76  1053.0  0.015633937443907085
20.0  55.61  1071.0  0.01690118339052032
22.5  58.98  1091.0  0.018374166647769363
25.0  62.17  1106.0  0.019898743678936116
27.5  65.21  1120.0  0.021332135383031865
30.0  68.11  1131.0  0.022805701041625537
32.5  70.89  1140.0  0.024151190446849612
35.0  73.57  1148.0  0.02554740691342274
37.5  76.15  1155.0  0.027021657980220236
40.0  78.64  1160.0  0.028417952072589608
45.0  83.42  1169.0  0.031160391525139733
50.0  87.93  1174.0  0.03394495544259854
55.0  92.22  1177.0  0.03668800894025186
60.0  96.32  1179.0  0.039394796610720054
65.0  100.3  1179.0  0.04213810626974117
70.0  104.0  1179.0  0.04492449220636779
80.0  111.2  1175.0  0.05037558932657761
90.0  118.0  1168.0  0.0559065291356922
100.0  124.4  1160.0  0.06151772102410818
110.0  130.4  1151.0  0.0670496084999756
120.0  154.2  1142.0  0.07253344056364623
130.0  191.5  1132.0  0.07801775438962595
140.0  215.6  1121.0  0.08337421663799907
150.0  230.8  1111.0  0.08877629188020866
160.0  240.0  1100.0  0.0941336284225781
170.0  245.5  1090.0  0.09953677712283034
180.0  248.6  1079.0  0.10498766594224296
200.0  251.6  1059.0  0.1160052585015007
225.0  254.3  1033.0  0.13010557251709093
250.0  258.9  1009.0  0.1444998269895158
275.0  266.5  986.5  0.15917638015735877
300.0  277.3  964.6  0.17409968408931709
325.0  290.8  943.8  0.18909518767012556
350.0  306.5  924.1  0.20417529233479748
375.0  324.0  905.3  0.21942276545518244
400.0  342.7  887.3  0.2346606272897096
450.0  382.3  853.9  0.26504163823822097
500.0  423.0  823.5  0.29547619193430796
550.0  463.0  795.5  0.325671368099807
600.0  501.3  769.8  0.3556792234584416
650.0  537.4  746.1  0.38556738710632676
700.0  571.0  724.0  0.4153142785891186
800.0  630.5  684.5  0.4743610966341991
900.0  680.3  649.8  0.5332074080505634
1000.0  721.7  619.2  0.5918645199705758
1100.0  756.0  591.8  0.6505253031204858
1200.0  784.6  567.2  0.7094060120974448
1300.0  808.9  545.0  0.7685427379137741
1400.0  829.9  524.8  0.8279398287315329
1500.0  848.5  506.3  0.8876388116796157
1600.0  865.4  489.2  0.947666866572848
1700.0  881.4  473.5  1.007986750904991
1800.0  897.0  459.0  1.0685211743339484
2000.0  928.5  432.8  1.1904398556836042
2250.0  971.7  404.7  1.3401301802436956
2500.0  1022.0  380.5  1.489017370617281
2750.0  1080.0  359.5  1.646037630189541
3000.0  1148.0  341.0  1.7839301555834524
3250.0  1225.0  324.6  1.9298165223668284
3500.0  1310.0  309.9  2.0655297262445775
3750.0  1404.0  296.7  2.1909374819925826
4000.0  1505.0  284.7  2.315283274245292
4500.0  1727.0  263.8  2.5519035424561016
5000.0  1970.0  246.1  2.757355464933747
5500.0  2229.0  231.0  2.941440301960929
6000.0  2497.0  217.8  3.1139159205090947
6500.0  2772.0  206.2  3.2753043843282716
7000.0  3049.0  195.9  3.416501265915176
8000.0  3599.0  178.5  3.6770511989908434
9000.0  4131.0  164.2  3.9063467344822325
10000.0  4635.0  152.3  4.10531358241974
