#Energy(keV)    dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
10.0  96.1  186.0  0.024656642107148328
11.0  100.8  184.7  0.026649765477392104
12.0  105.3  183.3  0.02859895102971436
13.0  109.6  181.8  0.030660887136545807
14.0  113.7  180.3  0.03261073442901892
15.0  117.7  178.7  0.03456081596258977
16.0  121.6  177.1  0.03655475345286848
17.0  125.3  175.6  0.038447496667533505
18.0  128.9  174.0  0.04039801975344831
20.0  135.9  170.9  0.04422861064966884
22.5  144.2  167.2  0.04902060791136724
25.0  152.0  163.6  0.05375704604979705
27.5  159.4  160.2  0.05852213256538077
30.0  166.5  156.9  0.06316217222357066
32.5  173.8  153.9  0.06784637057352443
35.0  182.2  150.9  0.07244597987466248
37.5  189.4  148.1  0.07696245838069364
40.0  195.8  145.5  0.08150926327724967
45.0  206.8  140.5  0.09054021206071919
50.0  216.7  136.0  0.09949190921879025
55.0  226.1  131.8  0.1083415432786519
60.0  235.3  128.0  0.11715447067867278
65.0  244.1  124.4  0.12591925984534694
70.0  252.8  121.1  0.13459498504773498
80.0  269.2  115.2  0.15183998155953524
90.0  284.8  109.9  0.16879410534731362
100.0  299.5  105.3  0.1855351988168283
110.0  313.7  101.1  0.20202856233711114
120.0  327.3  97.34  0.21832255953061747
130.0  340.4  93.91  0.2344193251419345
140.0  353.1  90.77  0.2502711529521531
150.0  365.5  87.89  0.2659672536234489
160.0  377.7  85.23  0.2814678844912861
170.0  389.5  82.76  0.2966546476966103
180.0  401.2  80.47  0.31172696386421245
200.0  424.0  76.32  0.3413336930336646
225.0  451.7  71.81  0.3772871717935822
250.0  478.8  67.91  0.4122613370181589
275.0  505.5  64.49  0.44617254509886645
300.0  531.8  61.46  0.4790617601103223
325.0  557.8  58.75  0.5111230184603311
350.0  583.6  56.31  0.5421620883093912
375.0  609.2  54.1  0.572411399257562
400.0  634.6  52.09  0.6018163673414009
450.0  684.9  48.55  0.6584968412984226
500.0  734.5  45.53  0.7123973469911297
550.0  783.7  42.92  0.7636959800863168
600.0  832.4  40.64  0.8127505029220223
650.0  880.6  38.62  0.859675595791808
700.0  928.3  36.82  0.9046765665142433
800.0  1022.0  33.74  0.9896555461371397
900.0  1113.0  31.2  1.0686547945899088
1000.0  1201.0  29.06  1.139792880307646
1100.0  1285.0  27.23  1.2095435544038917
1200.0  1366.0  25.64  1.2789447564300813
1300.0  1444.0  24.25  1.3386700751118625
1400.0  1518.0  23.02  1.398153428633639
1500.0  1588.0  21.92  1.4574537419760534
1600.0  1654.0  20.94  1.516599914281944
1700.0  1717.0  20.05  1.566214777736438
1800.0  1777.0  19.24  1.6251558232981846
2000.0  1886.0  17.82  1.7239281249518494
2250.0  2006.0  16.35  1.8423382588439072
2500.0  2109.0  15.12  1.9509621523750789
2750.0  2197.0  14.08  2.0594281754894976
3000.0  2271.0  13.19  2.16783509520443
3250.0  2334.0  12.42  2.266551453199331
3500.0  2388.0  11.74  2.3749470941475725
3750.0  2433.0  11.13  2.473650229923382
4000.0  2471.0  10.6  2.562673239022096
4500.0  2530.0  9.675  2.760254591518688
5000.0  2570.0  8.914  2.9482029458638017
5500.0  2598.0  8.273  3.1362557293690196
6000.0  2615.0  7.726  3.324454128123894
6500.0  2625.0  7.253  3.5029463998183012
7000.0  2630.0  6.839  3.6913683709432195
8000.0  2629.0  6.148  4.058840712568061
9000.0  2617.0  5.594  4.436534920408043
10000.0  2600.0  5.138  4.814537007854441
11000.0  2579.0  4.756  5.192814035761342
12000.0  2556.0  4.431  5.581211639957761
13000.0  2532.0  4.151  5.96983168439446
14000.0  2508.0  3.907  6.3586240720772285
15000.0  2483.0  3.692  6.757494110245306
16000.0  2458.0  3.501  7.156504069027
17000.0  2434.0  3.33  7.555641295085414
18000.0  2410.0  3.176  7.96482163077115
20000.0  2362.0  2.91  8.80376679609359
22500.0  2304.0  2.638  9.863011452898146
25000.0  2249.0  2.416  10.952450276536297
27500.0  2195.0  2.231  12.072038648463645
30000.0  2144.0  2.073  13.221751914553533
