# Energy(keV)    dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
9.999990e-03  1.496000e+00  2.428000e+01  5.000000e-04
1.099990e-02  1.570000e+00  2.571000e+01  5.000000e-04
1.199990e-02  1.639000e+00  2.708000e+01  5.000000e-04
1.299990e-02  1.706000e+00  2.839000e+01  5.000000e-04
1.399990e-02  1.771000e+00  2.966000e+01  5.000000e-04
1.499990e-02  1.833000e+00  3.089000e+01  5.000000e-04
1.599990e-02  1.893000e+00  3.208000e+01  5.000000e-04
1.699990e-02  1.951000e+00  3.323000e+01  6.000000e-04
1.799990e-02  2.008000e+00  3.435000e+01  6.000000e-04
1.999990e-02  2.116000e+00  3.651000e+01  6.000000e-04
2.249990e-02  2.245000e+00  3.906000e+01  6.000000e-04
2.499990e-02  2.366000e+00  4.147000e+01  6.000000e-04
2.749990e-02  2.482000e+00  4.376000e+01  7.000000e-04
2.999990e-02  2.592000e+00  4.594000e+01  7.000000e-04
3.249990e-02  2.698000e+00  4.804000e+01  7.000000e-04
3.499990e-02  2.800000e+00  5.005000e+01  7.000000e-04
3.749990e-02  2.898000e+00  5.198000e+01  8.000000e-04
3.999990e-02  2.993000e+00  5.385000e+01  8.000000e-04
4.499990e-02  3.174000e+00  5.741000e+01  8.000000e-04
4.999990e-02  3.346000e+00  6.075000e+01  9.000000e-04
5.499990e-02  3.510000e+00  6.392000e+01  9.000000e-04
5.999990e-02  3.666000e+00  6.693000e+01  9.000000e-04
6.499990e-02  3.815000e+00  6.979000e+01  1.000000e-03
6.999990e-02  3.959000e+00  7.254000e+01  1.000000e-03
7.999990e-02  4.233000e+00  7.770000e+01  1.100000e-03
8.999990e-02  4.489000e+00  8.248000e+01  1.100000e-03
9.999990e-02  4.732000e+00  8.696000e+01  1.200000e-03
1.100000e-01  4.963000e+00  9.117000e+01  1.200000e-03
1.200000e-01  5.184000e+00  9.515000e+01  1.300000e-03
1.300000e-01  5.396000e+00  9.892000e+01  1.300000e-03
1.399990e-01  5.599000e+00  1.025000e+02  1.400000e-03
1.499990e-01  5.796000e+00  1.059000e+02  1.400000e-03
1.599990e-01  5.986000e+00  1.092000e+02  1.500000e-03
1.699990e-01  6.170000e+00  1.124000e+02  1.500000e-03
1.799990e-01  6.349000e+00  1.154000e+02  1.600000e-03
1.999990e-01  6.692000e+00  1.211000e+02  1.700000e-03
2.249990e-01  7.098000e+00  1.277000e+02  1.800000e-03
2.499990e-01  7.482000e+00  1.339000e+02  1.800000e-03
2.749990e-01  7.848000e+00  1.396000e+02  1.900000e-03
2.999990e-01  8.197000e+00  1.449000e+02  2.000000e-03
3.249990e-01  8.531000e+00  1.499000e+02  2.100000e-03
3.499990e-01  8.853000e+00  1.547000e+02  2.200000e-03
3.749990e-01  9.164000e+00  1.591000e+02  2.300000e-03
3.999990e-01  9.465000e+00  1.634000e+02  2.400000e-03
4.499990e-01  1.004000e+01  1.713000e+02  2.500000e-03
4.999990e-01  1.058000e+01  1.786000e+02  2.700000e-03
5.499990e-01  1.110000e+01  1.853000e+02  2.800000e-03
5.999990e-01  1.159000e+01  1.915000e+02  3.000000e-03
6.499990e-01  1.206000e+01  1.972000e+02  3.100000e-03
6.999990e-01  1.252000e+01  2.026000e+02  3.200000e-03
7.999990e-01  1.338000e+01  2.125000e+02  3.500000e-03
8.999990e-01  1.420000e+01  2.213000e+02  3.700000e-03
9.999990e-01  1.496000e+01  2.293000e+02  4.000000e-03
1.100000e+00  1.570000e+01  2.366000e+02  4.200000e-03
1.200000e+00  1.639000e+01  2.432000e+02  4.400000e-03
1.300000e+00  1.706000e+01  2.493000e+02  4.700000e-03
1.400000e+00  1.771000e+01  2.550000e+02  4.900000e-03
1.500000e+00  1.833000e+01  2.603000e+02  5.100000e-03
1.600000e+00  1.893000e+01  2.652000e+02  5.300000e-03
1.700000e+00  1.951000e+01  2.698000e+02  5.500000e-03
1.800000e+00  2.008000e+01  2.742000e+02  5.700000e-03
2.000000e+00  2.116000e+01  2.821000e+02  6.100000e-03
2.250000e+00  2.245000e+01  2.909000e+02  6.600000e-03
2.500000e+00  2.366000e+01  2.986000e+02  7.100000e-03
2.750000e+00  2.482000e+01  3.054000e+02  7.600000e-03
3.000000e+00  2.592000e+01  3.116000e+02  8.100000e-03
3.250000e+00  2.698000e+01  3.171000e+02  8.500000e-03
3.500000e+00  2.800000e+01  3.221000e+02  9.000000e-03
3.750000e+00  2.898000e+01  3.266000e+02  9.400000e-03
4.000000e+00  2.993000e+01  3.308000e+02  9.900000e-03
4.500000e+00  3.175000e+01  3.380000e+02  1.080000e-02
5.000000e+00  3.346000e+01  3.442000e+02  1.160000e-02
5.500000e+00  3.510000e+01  3.495000e+02  1.250000e-02
6.000000e+00  3.666000e+01  3.540000e+02  1.330000e-02
6.500000e+00  3.815000e+01  3.580000e+02  1.420000e-02
7.000000e+00  3.959000e+01  3.614000e+02  1.500000e-02
8.000000e+00  4.233000e+01  3.670000e+02  1.670000e-02
9.000000e+00  4.489000e+01  3.712000e+02  1.830000e-02
1.000000e+01  4.732000e+01  3.744000e+02  1.990000e-02
1.100000e+01  4.963000e+01  3.768000e+02  2.150000e-02
1.200000e+01  5.184000e+01  3.786000e+02  2.310000e-02
1.300000e+01  5.396000e+01  3.798000e+02  2.470000e-02
1.400000e+01  5.599000e+01  3.806000e+02  2.630000e-02
1.500000e+01  5.796000e+01  3.811000e+02  2.790000e-02
1.600000e+01  5.986000e+01  3.812000e+02  2.950000e-02
