#Energy(keV)    dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
0.0011  0.9417  9.607  0.00017320508075688773
0.0012  0.9417  10.17  0.00017320508075688773
0.0013000000000000002  0.9802  10.72  0.00017320508075688773
0.0014  1.017  11.26  0.00017320508075688773
0.0015  1.053  11.78  0.0002449489742783178
0.0016  1.087  12.28  0.0002449489742783178
0.0017  1.121  12.78  0.0002449489742783178
0.0018000000000000002  1.153  13.26  0.0002449489742783178
0.002  1.216  14.2  0.0002449489742783178
0.0022500000000000003  1.29  15.32  0.0002449489742783178
0.00249999  1.359  16.39  0.0002449489742783178
0.00274999  1.426  17.41  0.0002449489742783178
0.00299999  1.489  18.4  0.0002449489742783178
0.00324999  1.55  19.36  0.0002449489742783178
0.00349999  1.608  20.29  0.0002449489742783178
0.00374999  1.665  21.19  0.0002449489742783178
0.00399999  1.719  22.06  0.0002449489742783178
0.004499990000000001  1.824  23.74  0.0002449489742783178
0.00499999  1.922  25.35  0.0002449489742783178
0.005499990000000001  2.016  26.88  0.0003741657386773942
0.00599999  2.106  28.36  0.0003741657386773942
0.006499990000000001  2.192  29.78  0.0003741657386773942
0.00699999  2.275  31.16  0.0003741657386773942
0.00799999  2.432  33.78  0.0003741657386773942
0.008999990000000001  2.579  36.26  0.0003741657386773942
0.00999999  2.719  38.62  0.0003741657386773942
0.0109999  2.851  40.87  0.0004123105625617661
0.0119999  2.978  43.02  0.0004898979485566356
0.0129999  3.1  45.1  0.0004898979485566356
0.013999900000000001  3.217  47.09  0.0004898979485566356
0.0149999  3.33  49.02  0.0004898979485566356
0.0159999  3.439  50.89  0.0004898979485566356
0.016999900000000002  3.545  52.71  0.0005385164807134504
0.0179999  3.647  54.47  0.0005385164807134504
0.0199999  3.845  57.85  0.0005385164807134504
0.0224999  4.078  61.84  0.0006164414002968976
0.024999900000000002  4.298  65.61  0.0006164414002968976
0.0274999  4.508  69.2  0.0006164414002968976
0.0299999  4.709  72.62  0.0006164414002968976
0.0324999  4.901  75.89  0.0006164414002968976
0.0349999  5.086  79.02  0.0007000000000000001
0.037499899999999996  5.264  82.04  0.0007810249675906655
0.0399999  5.437  84.95  0.0007810249675906655
0.044999899999999995  5.767  90.49  0.0007810249675906655
0.0499999  6.079  95.69  0.0007810249675906655
0.0549999  6.376  100.6  0.0008602325267042626
0.059999899999999995  6.659  105.3  0.0008602325267042626
0.0649999  6.931  109.7  0.0008602325267042626
0.0699999  7.193  114.0  0.0009110433579144298
0.0799999  7.689  121.9  0.0010246950765959598
0.0899999  8.156  129.3  0.0010246950765959598
0.0999999  8.597  136.2  0.0011045361017187263
0.11  9.016  142.7  0.0011532562594670796
0.12  9.417  148.8  0.0012328828005937953
0.13  9.802  154.6  0.0012328828005937953
0.13999899999999998  10.17  160.1  0.0012328828005937953
0.149999  10.53  165.4  0.0013490737563232043
0.159999  10.87  170.4  0.001396424004376894
0.169999  11.21  175.2  0.001396424004376894
0.179999  11.53  179.8  0.0014764823060233402
0.199999  12.16  188.5  0.0014764823060233402
0.224999  12.9  198.6  0.0016062378404209012
0.249999  13.59  207.9  0.0017204650534085252
0.27499900000000005  14.26  216.6  0.0017204650534085252
0.299999  14.89  224.6  0.001849324200890693
0.32499900000000004  15.5  232.2  0.00196468827043885
0.349999  16.08  239.4  0.00196468827043885
0.374999  16.65  246.1  0.002092844953645635
0.39999900000000005  17.19  252.5  0.002092844953645635
