#Energy(keV)    dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
10.0  181.7  2333.0  0.0075099933422074355
11.0  190.6  2431.0  0.007933473388119481
12.0  199.1  2521.0  0.008263776376451629
13.0  207.2  2607.0  0.008572630868059117
14.0  215.0  2687.0  0.008902808545621994
15.0  222.6  2763.0  0.009233092656309694
16.0  229.9  2835.0  0.009419660291114537
17.0  237.0  2904.0  0.009749871794028885
18.0  243.8  2969.0  0.010058826969383657
20.0  257.0  3092.0  0.010575916035975325
22.5  272.6  3231.0  0.011236102527122116
25.0  287.4  3357.0  0.01184694053331914
27.5  301.4  3473.0  0.012485992151206887
30.0  314.8  3580.0  0.013097327971765844
32.5  327.6  3680.0  0.013642580401082488
35.0  340.0  3772.0  0.014160155366379283
37.5  351.9  3858.0  0.01477193284577208
40.0  363.5  3939.0  0.015289865924853627
45.0  385.5  4088.0  0.016352675622050356
50.0  406.4  4221.0  0.017294507798720382
55.0  426.2  4341.0  0.01823650185753836
60.0  445.2  4450.0  0.0191786339450963
65.0  463.4  4549.0  0.020100746254803577
70.0  480.8  4641.0  0.021043051109570592
80.0  514.0  4805.0  0.022813373270956665
90.0  545.2  4946.0  0.024489181284804113
100.0  574.7  5070.0  0.026140007651108296
110.0  602.8  5179.0  0.027721111088843464
120.0  629.6  5277.0  0.029277465737320915
130.0  655.3  5364.0  0.03081476918621978
140.0  680.0  5443.0  0.03239583306538049
150.0  703.9  5514.0  0.03383843968033987
160.0  727.0  5578.0  0.03530014164277532
170.0  749.4  5637.0  0.036743026549265104
180.0  771.1  5691.0  0.03820484262498669
200.0  812.8  5785.0  0.04108637243661212
225.0  862.1  5883.0  0.04449247127323903
250.0  908.7  5963.0  0.04791742897944338
275.0  953.1  6028.0  0.05124695112882327
300.0  995.5  6082.0  0.0545356763962821
325.0  1036.0  6126.0  0.05782499459576283
350.0  1075.0  6163.0  0.06104113367230331
375.0  1113.0  6192.0  0.06433109667959967
400.0  1149.0  6216.0  0.06742951875847848
450.0  1219.0  6250.0  0.07381883228553537
500.0  1349.0  6269.0  0.07999518735524032
550.0  1466.0  6276.0  0.08608002091077813
600.0  1558.0  6275.0  0.09214412623710748
650.0  1631.0  6266.0  0.09809164082632119
700.0  1690.0  6252.0  0.1040605112422575
800.0  1784.0  6212.0  0.11586561180954426
900.0  1859.0  6161.0  0.1276521053488739
1000.0  1925.0  6102.0  0.1394438238144666
1100.0  1986.0  6038.0  0.15123299904452073
1200.0  2045.0  5971.0  0.1630072697765348
1300.0  2104.0  5902.0  0.17486017270951096
1400.0  2163.0  5833.0  0.18671788880554538
1500.0  2223.0  5763.0  0.19867005310312877
1600.0  2283.0  5694.0  0.2106231943542781
1700.0  2344.0  5626.0  0.22256203629550123
1800.0  2405.0  5558.0  0.23451677978345173
2000.0  2528.0  5427.0  0.2584773491043268
2250.0  2683.0  5269.0  0.2885565629127156
2500.0  2836.0  5120.0  0.31860725038831117
2750.0  2986.0  4979.0  0.3487240456292052
3000.0  3133.0  4846.0  0.37882728254443343
3250.0  3274.0  4721.0  0.40880539380003295
3500.0  3411.0  4603.0  0.438884198849765
3750.0  3542.0  4491.0  0.46882151187845467
4000.0  3668.0  4385.0  0.49875914026712337
4500.0  3903.0  4190.0  0.5584882720344269
5000.0  4118.0  4015.0  0.6179579678262916
5500.0  4314.0  3856.0  0.6772929425293018
6000.0  4492.0  3711.0  0.7363697712426821
6500.0  4655.0  3578.0  0.7953003332075249
7000.0  4804.0  3456.0  0.8541013640078091
8000.0  5068.0  3239.0  0.9713631040965063
9000.0  5296.0  3052.0  1.0876322770127778
10000.0  5497.0  2889.0  1.2085097641310143
11000.0  5678.0  2745.0  1.3194515906239228
12000.0  5846.0  2617.0  1.4401813774660468
13000.0  6005.0  2502.0  1.5509765826729944
14000.0  6159.0  2398.0  1.6617046458381224
15000.0  6311.0  2304.0  1.7822637431087465
16000.0  6463.0  2218.0  1.892887497977627
17000.0  6616.0  2140.0  2.0034691911781426
18000.0  6772.0  2067.0  2.113998732260736
20000.0  7094.0  1938.0  2.3350084410982332
22500.0  7522.0  1800.0  2.6061331853917213
25000.0  7979.0  1683.0  2.867063705256651
27500.0  8463.0  1582.0  3.1178648976503136
30000.0  8971.0  1494.0  3.3485996729976546
