#Energy(keV)    dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
10.0  174.9  2292.0  0.007469270379361026
11.0  183.4  2384.0  0.007777531742140306
12.0  191.6  2469.0  0.008200609733428363
13.0  199.4  2550.0  0.008501176389182854
14.0  206.9  2625.0  0.008809653795694813
15.0  214.2  2696.0  0.009140021881811882
16.0  221.2  2764.0  0.009377632963600144
17.0  228.0  2828.0  0.00968607247546703
18.0  234.6  2888.0  0.009986991538997118
20.0  247.3  3002.0  0.010532805893967665
22.5  262.3  3131.0  0.011264990013311153
25.0  276.5  3247.0  0.01189663818059539
27.5  290.0  3354.0  0.012535549449465708
30.0  302.9  3452.0  0.013146102083887832
32.5  315.3  3542.0  0.013691603266235844
35.0  327.2  3626.0  0.014302447343024901
37.5  338.6  3704.0  0.01481991902811888
40.0  349.7  3777.0  0.015365220467015762
45.0  371.0  3910.0  0.01640030487521497
50.0  391.0  4029.0  0.01746310396235446
55.0  410.1  4135.0  0.018498648599289628
60.0  428.3  4232.0  0.019440421806123445
65.0  445.8  4319.0  0.020503170486536958
70.0  462.7  4400.0  0.021445046047980407
80.0  494.6  4541.0  0.023214435164354095
90.0  524.6  4663.0  0.024984195004042056
100.0  553.0  4768.0  0.026774241352464125
110.0  580.0  4861.0  0.028424285391193214
120.0  605.8  4942.0  0.030100000000000002
130.0  630.5  5014.0  0.03177577693778706
140.0  654.3  5078.0  0.03331215994197915
150.0  677.3  5136.0  0.03496340944473236
160.0  699.5  5188.0  0.03654449342924321
170.0  721.0  5234.0  0.03810104985430192
180.0  741.9  5276.0  0.03954339388570485
200.0  782.1  5349.0  0.0426621612204539
225.0  829.5  5422.0  0.046390516272186495
250.0  874.4  5479.0  0.050028891652724033
275.0  917.1  5524.0  0.05364410498833959
300.0  957.8  5559.0  0.05716432453899898
325.0  996.9  5586.0  0.06078042448025516
350.0  1035.0  5607.0  0.06428296819531594
375.0  1071.0  5621.0  0.0677083451282041
400.0  1106.0  5631.0  0.07121151592263712
450.0  1244.0  5640.0  0.07804492296107417
500.0  1372.0  5637.0  0.08473871606296617
550.0  1466.0  5625.0  0.09143768369769655
600.0  1537.0  5606.0  0.09801964088895654
650.0  1593.0  5582.0  0.10450617206653395
700.0  1638.0  5554.0  0.11108942343895752
800.0  1712.0  5491.0  0.12414419035943648
900.0  1774.0  5420.0  0.13720065597510822
1000.0  1832.0  5346.0  0.15031809604967727
1100.0  1890.0  5270.0  0.16355017578712658
1200.0  1949.0  5193.0  0.17676747438372253
1300.0  2009.0  5116.0  0.19006309478696803
1400.0  2070.0  5041.0  0.2033602222658109
1500.0  2133.0  4966.0  0.21677476790438505
1600.0  2197.0  4894.0  0.23013641606664517
1700.0  2261.0  4823.0  0.24353381695362147
1800.0  2326.0  4753.0  0.2569950583182486
2000.0  2457.0  4620.0  0.28395450339799155
2250.0  2618.0  4464.0  0.3176148138862544
2500.0  2776.0  4319.0  0.3513409312903921
2750.0  2929.0  4184.0  0.3850393875956069
3000.0  3075.0  4058.0  0.4187072127394034
3250.0  3215.0  3940.0  0.4522504394691066
3500.0  3348.0  3830.0  0.48574995625321477
3750.0  3473.0  3727.0  0.5191532047478856
4000.0  3593.0  3631.0  0.5525163074516444
4500.0  3813.0  3454.0  0.619041501032039
5000.0  4010.0  3296.0  0.6851798668962772
5500.0  4187.0  3155.0  0.7511729561159667
6000.0  4346.0  3027.0  0.8168970865415056
6500.0  4492.0  2911.0  0.8823917724004458
7000.0  4624.0  2805.0  0.9477298824032089
8000.0  4861.0  2618.0  1.0784678252038862
9000.0  5068.0  2458.0  1.209559593405798
10000.0  5257.0  2319.0  1.340529690085229
11000.0  5434.0  2197.0  1.4615402355049962
12000.0  5605.0  2090.0  1.5923179330774366
13000.0  5774.0  1994.0  1.723005983738884
14000.0  5944.0  1907.0  1.8437571477827552
15000.0  6116.0  1829.0  1.9644340253620125
16000.0  6293.0  1758.0  2.0949190581022457
17000.0  6474.0  1694.0  2.2154677361676924
18000.0  6660.0  1634.0  2.326069218660528
20000.0  7050.0  1528.0  2.5669504436198216
22500.0  7568.0  1416.0  2.838084567098028
25000.0  8116.0  1321.0  3.1088783958205894
27500.0  8689.0  1240.0  3.3595650864360405
30000.0  9279.0  1169.0  3.6100098296265064
