#Energy(keV)    dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
10.0  51.12  1637.0  0.008290355842785037
11.0  53.62  1697.0  0.00873040663428686
12.0  56.0  1752.0  0.00910274683818022
13.0  58.29  1803.0  0.009556673061269807
14.0  60.49  1850.0  0.00992924971989324
15.0  62.61  1895.0  0.010288342918079667
16.0  64.66  1937.0  0.010742439201596628
17.0  66.65  1977.0  0.011114854924829205
18.0  68.59  2015.0  0.01144071676076285
20.0  72.3  2084.0  0.012139192724394815
22.5  76.68  2163.0  0.012999230746471116
25.0  80.83  2233.0  0.013780420893427021
27.5  84.78  2296.0  0.014594862109660373
30.0  88.55  2354.0  0.015422062118925602
32.5  92.16  2406.0  0.01612110418054545
35.0  95.64  2455.0  0.01693576098083579
37.5  99.0  2500.0  0.017634908562280668
40.0  102.2  2541.0  0.018334121195192316
45.0  108.4  2616.0  0.019816407343411165
50.0  114.3  2681.0  0.021171206862151248
55.0  119.9  2739.0  0.02257033451236379
60.0  125.2  2791.0  0.023841560351621285
65.0  130.3  2837.0  0.025197420502900688
70.0  135.3  2878.0  0.026469038516727425
80.0  144.6  2950.0  0.028981373328398365
90.0  153.4  3010.0  0.031494285195889114
100.0  161.7  3060.0  0.03400764619905353
110.0  169.6  3102.0  0.03639381815638475
120.0  177.1  3138.0  0.0387804074243683
130.0  184.3  3169.0  0.04120897960396497
140.0  191.3  3195.0  0.04347999540018375
150.0  198.0  3218.0  0.04586719960930687
160.0  204.5  3237.0  0.0480974011771946
170.0  210.8  3254.0  0.050455326775277164
180.0  216.9  3268.0  0.0527273173981002
200.0  228.6  3291.0  0.057346839494430736
225.0  242.5  3309.0  0.06300769794239432
250.0  255.6  3320.0  0.06862892975997806
275.0  268.1  3325.0  0.07425099325934974
300.0  299.6  3326.0  0.07984510003751014
325.0  329.2  3322.0  0.08546847371984595
350.0  351.2  3316.0  0.09102450219583735
375.0  368.0  3308.0  0.09664884893261794
400.0  381.6  3297.0  0.1021186075110702
450.0  403.5  3273.0  0.11336194246747892
500.0  422.3  3244.0  0.12456861563010163
550.0  440.5  3212.0  0.13581561029572412
600.0  458.8  3179.0  0.147213416508143
650.0  477.6  3145.0  0.15863974911730036
700.0  497.1  3110.0  0.17021780165423359
800.0  537.7  3041.0  0.19345606736414345
900.0  580.0  2973.0  0.21702969842857917
1000.0  623.2  2907.0  0.24081208441438318
1100.0  666.7  2843.0  0.2648032477142227
1200.0  709.9  2782.0  0.28897719633216734
1300.0  752.6  2723.0  0.31341274702857896
1400.0  794.5  2666.0  0.33788088137685446
1500.0  835.5  2613.0  0.3625577195426957
1600.0  875.5  2561.0  0.3873829371565041
1700.0  914.5  2512.0  0.41230203734640947
1800.0  952.6  2465.0  0.43737042652653146
2000.0  1026.0  2377.0  0.48777910984378986
2250.0  1113.0  2276.0  0.5513274888847826
2500.0  1195.0  2185.0  0.6152174005991703
2750.0  1274.0  2102.0  0.6794279505584092
3000.0  1350.0  2027.0  0.7438589247969
3250.0  1423.0  1958.0  0.8083998577436787
3500.0  1495.0  1894.0  0.872993980506166
3750.0  1565.0  1834.0  0.9376666838487971
4000.0  1634.0  1780.0  1.0020963027573748
4500.0  1770.0  1681.0  1.1330101146944807
5000.0  1904.0  1594.0  1.2591235840853747
5500.0  2039.0  1517.0  1.3847292045739485
6000.0  2175.0  1449.0  1.5097672138445715
6500.0  2313.0  1387.0  1.6343034143022526
7000.0  2451.0  1332.0  1.748976020418805
8000.0  2732.0  1235.0  1.9863527707836794
9000.0  3017.0  1153.0  2.203175862249766
10000.0  3305.0  1083.0  2.4183975293569917
11000.0  3593.0  1022.0  2.622805034690913
12000.0  3881.0  968.2  2.816543599875564
13000.0  4167.0  920.8  2.9997729397406063
14000.0  4450.0  878.4  3.172562095530992
15000.0  4728.0  840.3  3.3445863376507416
16000.0  5002.0  805.8  3.506392864469125
17000.0  5270.0  774.4  3.667656871900642
18000.0  5532.0  745.6  3.818864116461857
20000.0  6036.0  694.9  4.110511739430992
22500.0  6630.0  641.5  4.442034085866519
25000.0  7184.0  596.6  4.762431500819723
27500.0  7698.0  558.3  5.052716150745063
30000.0  8175.0  525.1  5.332469110083995
