#Energy(keV)    dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
10.0  164.5  1852.0  0.007918333157931662
11.0  172.5  1927.0  0.008289752710425083
12.0  180.2  1997.0  0.008618004409374597
13.0  187.6  2062.0  0.00898943824718764
14.0  194.7  2124.0  0.009317725044236924
15.0  201.5  2182.0  0.009646242791885347
16.0  208.1  2237.0  0.010017484714238401
17.0  214.5  2289.0  0.01034601372510205
18.0  220.7  2339.0  0.010589617556833675
20.0  232.7  2432.0  0.011258774356030057
22.5  246.8  2538.0  0.011916375287812987
25.0  260.1  2633.0  0.012616259350536514
27.5  272.8  2721.0  0.013274411474713296
30.0  284.9  2801.0  0.013974262055650739
32.5  296.6  2876.0  0.014546820958546236
35.0  307.8  2945.0  0.015216767067941863
37.5  318.6  3009.0  0.015789236840328923
40.0  329.0  3070.0  0.016448100194247358
45.0  349.0  3180.0  0.017563883397472214
50.0  367.9  3278.0  0.018679935760060846
55.0  385.8  3367.0  0.019796211758818908
60.0  403.0  3447.0  0.020796634343085423
65.0  419.4  3520.0  0.021826131127618564
70.0  435.3  3587.0  0.02290327487500423
80.0  465.3  3706.0  0.024807055447997047
90.0  493.5  3808.0  0.026798693998029085
100.0  520.2  3896.0  0.028664437897855246
110.0  545.6  3974.0  0.0304809776746088
120.0  569.9  4043.0  0.03231934405274959
130.0  593.2  4105.0  0.0340979471522847
140.0  615.6  4160.0  0.03576059283624923
150.0  637.2  4209.0  0.03753944592025833
160.0  658.1  4254.0  0.039253534872671025
170.0  678.3  4294.0  0.04091662253901219
180.0  698.0  4330.0  0.04254280197636258
200.0  735.7  4394.0  0.04583273939009101
225.0  780.4  4458.0  0.0499104197537949
250.0  822.6  4510.0  0.05386297429589273
275.0  862.7  4551.0  0.0577535280307619
300.0  901.1  4584.0  0.061591233142388055
325.0  937.9  4610.0  0.06539373058634902
350.0  973.3  4630.0  0.06919682073621591
375.0  1007.0  4646.0  0.07300041095774736
400.0  1043.0  4658.0  0.07671434025004713
450.0  1113.0  4671.0  0.0842074224756939
500.0  1175.0  4675.0  0.091551624780776
550.0  1230.0  4671.0  0.09879767203735118
600.0  1280.0  4661.0  0.10605375995220538
650.0  1326.0  4647.0  0.11336772027345351
700.0  1368.0  4629.0  0.1205674085314933
800.0  1442.0  4585.0  0.13496095731729232
900.0  1507.0  4536.0  0.14933388764778074
1000.0  1566.0  4482.0  0.16380125152147035
1100.0  1619.0  4425.0  0.17823877243742453
1200.0  1668.0  4368.0  0.19277940761398768
1300.0  1713.0  4311.0  0.20738225575010028
1400.0  1756.0  4253.0  0.22204787772009893
1500.0  1797.0  4197.0  0.23681712353628487
1600.0  1836.0  4141.0  0.2515796494154486
1700.0  1873.0  4086.0  0.2664365215206054
1800.0  1909.0  4033.0  0.28136577617045044
2000.0  1978.0  3929.0  0.31143700807707486
2250.0  2059.0  3807.0  0.3494069260904827
2500.0  2137.0  3692.0  0.3877696867987492
2750.0  2212.0  3585.0  0.4264125115425203
3000.0  2285.0  3484.0  0.46526462362831755
3250.0  2357.0  3390.0  0.5044259806948885
3500.0  2427.0  3301.0  0.5438185726876198
3750.0  2497.0  3218.0  0.58347175595739
4000.0  2565.0  3139.0  0.6231780082769288
4500.0  2699.0  2995.0  0.7028894507673309
5000.0  2829.0  2865.0  0.7830570221893168
5500.0  2956.0  2749.0  0.8631652912391693
6000.0  3079.0  2643.0  0.9433372355631894
6500.0  3199.0  2546.0  1.0233851376681213
7000.0  3316.0  2457.0  1.1050717669002317
8000.0  3543.0  2300.0  1.260172027939043
9000.0  3760.0  2165.0  1.4147317060135467
10000.0  3970.0  2047.0  1.578396971613922
11000.0  4175.0  1944.0  1.7320755757183346
12000.0  4376.0  1852.0  1.8757499113687837
13000.0  4574.0  1770.0  2.028615766970177
14000.0  4770.0  1695.0  2.1715532367409276
15000.0  4965.0  1628.0  2.3141518467896613
16000.0  5158.0  1567.0  2.456421124318874
17000.0  5352.0  1511.0  2.598428436574692
18000.0  5546.0  1459.0  2.7305256819887265
20000.0  5934.0  1367.0  2.994045323638238
22500.0  6422.0  1269.0  3.317447512772433
25000.0  6913.0  1186.0  3.620306656900766
27500.0  7405.0  1115.0  3.9027480382417723
30000.0  7897.0  1052.0  4.174615165497294
