#Energy(keV)    dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
10.0  150.5  1866.0  0.007794228634059949
11.0  157.9  1942.0  0.008205485969764377
12.0  164.9  2012.0  0.008577295611088614
13.0  171.6  2079.0  0.008905054744357275
14.0  178.1  2141.0  0.009276852914647296
15.0  184.4  2200.0  0.009604686356149273
16.0  190.4  2256.0  0.009848350115628506
17.0  196.3  2309.0  0.010176443386566841
18.0  202.0  2360.0  0.010547985589675405
20.0  212.9  2454.0  0.01108873302050329
22.5  225.8  2561.0  0.011819475453673909
25.0  238.0  2659.0  0.012445481107614923
27.5  249.6  2748.0  0.013145341380123987
30.0  260.7  2829.0  0.013802898246382896
32.5  271.4  2905.0  0.014417350658147981
35.0  281.6  2976.0  0.015075145107095985
37.5  291.5  3041.0  0.015617298101784445
40.0  301.1  3103.0  0.01618981161101018
45.0  319.4  3215.0  0.017346181135915767
50.0  336.6  3315.0  0.01846131089603336
55.0  353.1  3406.0  0.019576771950451894
60.0  368.8  3488.0  0.02060606706773517
65.0  383.8  3562.0  0.021594906806930193
70.0  398.3  3631.0  0.022594910931446485
80.0  425.8  3752.0  0.024613817257792426
90.0  451.6  3857.0  0.02651697569482614
100.0  476.1  3948.0  0.028381155719949112
110.0  499.3  4028.0  0.030197516454172187
120.0  521.5  4099.0  0.03194636129514596
130.0  542.8  4162.0  0.03372417530496483
140.0  563.3  4219.0  0.03547393409251362
150.0  583.1  4270.0  0.0371642301144528
160.0  602.2  4316.0  0.03878840032793309
170.0  620.7  4358.0  0.04045083435480658
180.0  638.7  4396.0  0.04211341828918665
200.0  673.3  4462.0  0.04540143169548731
225.0  714.1  4529.0  0.049351595718882285
250.0  752.7  4583.0  0.05330262657693334
275.0  789.5  4626.0  0.057254344813297796
300.0  824.6  4661.0  0.061090506627462175
325.0  858.3  4689.0  0.06480169750863013
350.0  890.7  4711.0  0.06863883740274161
375.0  921.9  4728.0  0.07235095023563962
400.0  957.2  4741.0  0.07615313519481651
450.0  1031.0  4757.0  0.08346340515459455
500.0  1090.0  4763.0  0.09073968260909888
550.0  1141.0  4760.0  0.09799168332057574
600.0  1187.0  4752.0  0.10521055080171379
650.0  1230.0  4739.0  0.11249039959036505
700.0  1270.0  4722.0  0.11959615378430864
800.0  1345.0  4680.0  0.13395122246549301
900.0  1413.0  4632.0  0.1482604465122104
1000.0  1475.0  4578.0  0.16265478781763543
1100.0  1532.0  4523.0  0.17702793564858627
1200.0  1586.0  4466.0  0.19143889364494354
1300.0  1636.0  4408.0  0.2058761763779384
1400.0  1684.0  4351.0  0.2204760757996205
1500.0  1730.0  4294.0  0.23498648897330246
1600.0  1774.0  4238.0  0.24968287886837576
1700.0  1817.0  4183.0  0.2643496548134686
1800.0  1858.0  4129.0  0.2791106769724154
2000.0  1937.0  4025.0  0.3088229428005633
2250.0  2031.0  3901.0  0.34619293753628194
2500.0  2121.0  3785.0  0.3838830681340348
2750.0  2207.0  3676.0  0.4217385683098002
3000.0  2290.0  3574.0  0.45994549677108487
3250.0  2371.0  3478.0  0.49826788979423514
3500.0  2449.0  3388.0  0.5367773840243272
3750.0  2525.0  3303.0  0.5755182012760327
4000.0  2599.0  3223.0  0.6142384960257701
4500.0  2741.0  3076.0  0.6921317649118556
5000.0  2877.0  2943.0  0.7701775769262567
5500.0  3007.0  2824.0  0.8484456435152461
6000.0  3132.0  2716.0  0.9266075490735006
6500.0  3253.0  2617.0  1.004719468309438
7000.0  3370.0  2526.0  1.0856045412580033
8000.0  3595.0  2365.0  1.240501483271987
9000.0  3811.0  2227.0  1.3948859164820613
10000.0  4021.0  2106.0  1.5392717531352285
11000.0  4225.0  2000.0  1.6927979973995717
12000.0  4426.0  1906.0  1.845925047232417
13000.0  4623.0  1821.0  1.989081320610095
14000.0  4819.0  1745.0  2.1318927177510596
15000.0  5013.0  1676.0  2.2744067358324456
16000.0  5207.0  1613.0  2.4166134341263605
17000.0  5400.0  1555.0  2.5489231059410167
18000.0  5592.0  1502.0  2.680957329015141
20000.0  5978.0  1408.0  2.9443880348894234
22500.0  6461.0  1307.0  3.2580293737165724
25000.0  6946.0  1222.0  3.551105418035348
27500.0  7432.0  1148.0  3.843241336424243
30000.0  7916.0  1084.0  4.115106007140034
