#Energy(keV)    dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
10.0  65.25  1235.0  0.009268225288586807
11.0  68.43  1269.0  0.009769339793455852
12.0  71.48  1300.0  0.010256705123966469
13.0  74.4  1328.0  0.010872902096496594
14.0  77.21  1354.0  0.011325634640054394
15.0  79.91  1378.0  0.011813128290169374
16.0  82.54  1400.0  0.012300812981262663
17.0  85.08  1421.0  0.012801952976011123
18.0  87.54  1440.0  0.013289469515371936
20.0  92.28  1475.0  0.014230249470757707
22.5  97.88  1513.0  0.015334275333383057
25.0  103.2  1545.0  0.0164851448279959
27.5  108.2  1574.0  0.017589201232574493
30.0  113.0  1599.0  0.01864644738281263
32.5  117.6  1621.0  0.019716490559934848
35.0  122.1  1640.0  0.02078677464158401
37.5  126.4  1658.0  0.021844450096077037
40.0  130.5  1673.0  0.02283287104154885
45.0  138.4  1700.0  0.024915256370344658
50.0  145.9  1721.0  0.026928237966862965
55.0  153.0  1739.0  0.028858967410494783
60.0  159.8  1753.0  0.030826774077090845
65.0  166.4  1765.0  0.03279512158843141
70.0  172.6  1775.0  0.0347259269134749
80.0  184.6  1788.0  0.03858056505547839
90.0  195.8  1796.0  0.04243595173906201
100.0  206.3  1801.0  0.04620833258190562
110.0  216.4  1802.0  0.05003228957383422
120.0  226.0  1801.0  0.05380511128136434
130.0  235.3  1798.0  0.05758610943621734
140.0  244.2  1793.0  0.061327400075333376
150.0  252.7  1788.0  0.06515312732325287
160.0  261.0  1781.0  0.06885136164230887
170.0  269.6  1774.0  0.07267771322764635
180.0  302.5  1766.0  0.07640785299954449
200.0  347.9  1749.0  0.08389070270298134
225.0  381.2  1727.0  0.09310268524591543
250.0  401.1  1703.0  0.10240097655784343
275.0  414.9  1680.0  0.11170044762667695
300.0  426.3  1656.0  0.12117177889261181
325.0  437.2  1632.0  0.13065576910339627
350.0  448.7  1609.0  0.14027077386255485
375.0  461.1  1586.0  0.1499587609978157
400.0  474.4  1564.0  0.15970381961618826
450.0  504.0  1521.0  0.17934689849562496
500.0  536.5  1481.0  0.1992078813701908
550.0  570.8  1443.0  0.21911862084268421
600.0  606.0  1407.0  0.23916661556329305
650.0  641.4  1373.0  0.25920734943284307
700.0  676.4  1341.0  0.2792705498257917
800.0  744.1  1282.0  0.31961035652806996
900.0  807.6  1229.0  0.35984159014766487
1000.0  866.6  1181.0  0.4000333111129622
1100.0  921.5  1137.0  0.4401498494831051
1200.0  972.8  1097.0  0.4802308819724113
1300.0  1021.0  1060.0  0.5202504300815137
1400.0  1067.0  1026.0  0.5601764811200127
1500.0  1110.0  995.1  0.6000445400134893
1600.0  1152.0  966.0  0.6398293053619848
1700.0  1193.0  938.9  0.6793450816779348
1800.0  1232.0  913.5  0.7188063856143739
2000.0  1309.0  867.5  0.7973015552474485
2250.0  1404.0  817.2  0.8942336383742227
2500.0  1497.0  773.3  0.9897624462465728
2750.0  1591.0  734.7  1.0835889119034026
3000.0  1686.0  700.4  1.176184084231716
3250.0  1783.0  669.7  1.2697589889423897
3500.0  1881.0  642.0  1.3536279547940786
3750.0  1981.0  616.8  1.4369969832953722
4000.0  2082.0  593.9  1.5198762712800011
4500.0  2289.0  553.5  1.6845397769123767
5000.0  2499.0  519.0  1.8384273959011816
5500.0  2713.0  489.1  1.981756011722937
6000.0  2928.0  463.0  2.1145905797576985
6500.0  3143.0  439.9  2.246553718476369
7000.0  3356.0  419.3  2.3682926445015196
8000.0  3776.0  384.0  2.600613429558496
9000.0  4181.0  354.9  2.8120019647930548
10000.0  4569.0  330.4  3.0125229592486096
11000.0  4936.0  309.4  3.1928734268680308
12000.0  5284.0  291.3  3.362893053607266
13000.0  5611.0  275.4  3.532299258273568
14000.0  5919.0  261.3  3.682004569524595
15000.0  6208.0  248.8  3.831355991029808
16000.0  6480.0  237.5  3.980421246551676
17000.0  6735.0  227.3  4.119613924872087
18000.0  6975.0  218.1  4.248920075736892
20000.0  7414.0  201.9  4.507168757657072
22500.0  7899.0  185.1  4.814920544515767
25000.0  8327.0  171.1  5.112519254731468
27500.0  8709.0  159.3  5.390373992590867
30000.0  9056.0  149.1  5.658271244823811
