#Energy(keV)    dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
10.0  59.53  1209.0  0.009324162160752032
11.0  62.43  1243.0  0.009825477087653302
12.0  65.21  1274.0  0.010390861369491945
13.0  67.87  1302.0  0.010877959367454908
14.0  70.44  1328.0  0.011414902540100814
15.0  72.91  1352.0  0.011902100654926423
16.0  75.3  1374.0  0.012353542002195161
17.0  77.62  1395.0  0.012890306435457615
18.0  79.87  1415.0  0.013342038824707414
20.0  84.19  1450.0  0.014316773379501402
22.5  89.29  1488.0  0.015385057685949702
25.0  94.12  1521.0  0.01648878406675277
27.5  98.72  1550.0  0.017672860549441338
30.0  103.1  1576.0  0.018741931597356768
32.5  107.3  1599.0  0.019765373763225427
35.0  111.4  1619.0  0.020834586628968668
37.5  115.3  1637.0  0.021890865674979602
40.0  119.1  1653.0  0.022960400693367702
45.0  126.3  1681.0  0.025005799327356044
50.0  133.1  1704.0  0.026935849717430484
55.0  139.6  1723.0  0.028934754189382707
60.0  145.8  1738.0  0.030946728421595716
65.0  151.8  1751.0  0.032830778242374944
70.0  157.5  1762.0  0.03476132908851444
80.0  168.4  1777.0  0.03864621585614819
90.0  178.6  1787.0  0.042461747491124295
100.0  188.2  1793.0  0.046198809508471106
110.0  197.4  1796.0  0.0500525723614681
120.0  206.2  1796.0  0.053869007787409634
130.0  214.6  1795.0  0.0576078119702528
140.0  222.7  1792.0  0.061347127072096864
150.0  230.6  1787.0  0.0651191983980147
160.0  238.1  1782.0  0.06885913156582793
170.0  246.0  1776.0  0.07263862608832851
180.0  277.8  1769.0  0.07641132115073002
200.0  321.4  1754.0  0.08383698467860114
225.0  352.6  1733.0  0.09300268813319323
250.0  370.8  1712.0  0.10224221241737681
275.0  383.5  1689.0  0.11157943358881152
300.0  394.5  1667.0  0.12100272724199237
325.0  405.5  1644.0  0.13055500756386176
350.0  417.2  1622.0  0.1401508473038961
375.0  429.9  1600.0  0.14971753404327764
400.0  443.7  1579.0  0.15952911959889957
450.0  474.0  1537.0  0.17910184253658587
500.0  507.4  1498.0  0.19880877747222328
550.0  542.7  1460.0  0.21869218093018325
600.0  579.0  1425.0  0.23862499869041387
650.0  615.6  1391.0  0.25863712030565145
700.0  652.0  1360.0  0.2785433179956037
800.0  723.0  1301.0  0.31846271367304524
900.0  790.2  1248.0  0.358415540957699
1000.0  853.3  1200.0  0.39821025853184655
1100.0  912.4  1156.0  0.4378007766096355
1200.0  967.7  1116.0  0.47732541310933785
1300.0  1020.0  1079.0  0.5167259041310006
1400.0  1069.0  1045.0  0.5559669594499299
1500.0  1116.0  1014.0  0.5951839631576107
1600.0  1161.0  984.4  0.6340392259158735
1700.0  1204.0  957.0  0.6729283319938314
1800.0  1246.0  931.4  0.7115480096240872
2000.0  1326.0  884.9  0.7883366349472795
2250.0  1423.0  834.0  0.8832409014532785
2500.0  1518.0  789.6  0.9767123783386796
2750.0  1613.0  750.4  1.0685054843097437
3000.0  1708.0  715.6  1.158177965599415
3250.0  1805.0  684.4  1.242390538437894
3500.0  1903.0  656.2  1.3352870927257554
3750.0  2002.0  630.7  1.4185316986236156
4000.0  2104.0  607.3  1.5013406941797054
4500.0  2310.0  566.2  1.6564617532560177
5000.0  2521.0  531.0  1.8101661139243546
5500.0  2735.0  500.6  1.9533570282976944
6000.0  2949.0  473.9  2.086095994914903
6500.0  3164.0  450.4  2.2085407399457226
7000.0  3377.0  429.3  2.3396383310246907
8000.0  3795.0  393.3  2.562361816762028
9000.0  4198.0  363.6  2.7736879150329803
10000.0  4582.0  338.5  2.9645874451599505
11000.0  4945.0  317.1  3.1544729797543045
12000.0  5287.0  298.6  3.324447510489525
13000.0  5608.0  282.3  3.4842312222354015
14000.0  5910.0  267.9  3.64356111105605
15000.0  6193.0  255.1  3.792919605000876
16000.0  6459.0  243.5  3.941973430909955
17000.0  6708.0  233.1  4.081161982818129
18000.0  6943.0  223.7  4.21048681389694
20000.0  7373.0  207.1  4.468788327947521
22500.0  7848.0  189.9  4.776526154016118
25000.0  8269.0  175.6  5.074162852136301
27500.0  8647.0  163.5  5.352033315479268
30000.0  8991.0  153.1  5.619965698293896
