#Energy(keV)    dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
10.0  152.0  1825.0  0.007961783719745218
11.0  159.4  1897.0  0.008333666660000268
12.0  166.5  1965.0  0.008661408661412993
13.0  173.3  2028.0  0.00898943824718764
14.0  179.8  2088.0  0.009361089680160105
15.0  186.1  2144.0  0.00968916921103146
16.0  192.2  2198.0  0.010017484714238401
17.0  198.1  2248.0  0.010388936422945324
18.0  203.9  2296.0  0.010717275773255068
20.0  214.9  2386.0  0.011289375536317321
22.5  227.9  2487.0  0.012074352984735871
25.0  240.3  2579.0  0.012774192733789482
27.5  252.0  2663.0  0.0134740491315714
30.0  263.2  2740.0  0.014131878855976655
32.5  273.9  2812.0  0.0147600813005891
35.0  284.3  2878.0  0.01537400403278209
37.5  294.3  2939.0  0.016032467059064866
40.0  303.9  2997.0  0.01660511969243221
45.0  322.3  3102.0  0.017847688926020646
50.0  339.8  3195.0  0.01896338577364285
55.0  356.4  3279.0  0.020079342618721362
60.0  372.2  3354.0  0.021195518394226644
65.0  387.4  3423.0  0.022224985939253147
70.0  402.0  3487.0  0.023341379565055706
80.0  429.8  3598.0  0.025331798199101464
90.0  455.9  3693.0  0.02732288418157937
100.0  480.5  3776.0  0.029226871197581175
110.0  504.0  3848.0  0.031092282000522255
120.0  526.4  3912.0  0.03299666649829949
130.0  547.9  3969.0  0.03486287423606952
140.0  568.6  4019.0  0.036641370061721225
150.0  588.5  4064.0  0.038392056470056404
160.0  607.8  4105.0  0.04014311896203383
170.0  626.5  4141.0  0.04192207055955133
180.0  644.7  4174.0  0.04367356179658353
200.0  679.6  4231.0  0.04711581475470843
225.0  720.8  4288.0  0.051281380636640436
250.0  759.8  4332.0  0.05541128043999705
275.0  796.9  4367.0  0.05948932677380036
300.0  832.3  4395.0  0.06353156695690734
325.0  866.3  4416.0  0.06754798294545886
350.0  899.0  4431.0  0.07150174823037546
375.0  932.9  4443.0  0.07551933527249825
400.0  1008.0  4451.0  0.07935779734846475
450.0  1116.0  4457.0  0.0870549826259244
500.0  1187.0  4455.0  0.09466366779287606
550.0  1237.0  4445.0  0.10221355096072146
600.0  1274.0  4431.0  0.10979927140013271
650.0  1305.0  4412.0  0.11723625719034195
700.0  1332.0  4391.0  0.12478998357240056
800.0  1381.0  4342.0  0.13985113514019112
900.0  1429.0  4288.0  0.1550983558907057
1000.0  1477.0  4230.0  0.17032513026561877
1100.0  1526.0  4172.0  0.1856464650888888
1200.0  1575.0  4112.0  0.20102967442643885
1300.0  1625.0  4053.0  0.21650741326799877
1400.0  1674.0  3995.0  0.23195559919950198
1500.0  1722.0  3938.0  0.2476220305223265
1600.0  1769.0  3882.0  0.2632365096258496
1700.0  1814.0  3827.0  0.2788442038128101
1800.0  1859.0  3774.0  0.2945774261548227
2000.0  1943.0  3671.0  0.326242731719804
2250.0  2040.0  3551.0  0.365991967124963
2500.0  2129.0  3439.0  0.4060843877816531
2750.0  2210.0  3334.0  0.44641490790519084
3000.0  2286.0  3237.0  0.487004999974333
3250.0  2357.0  3146.0  0.5278260508917687
3500.0  2424.0  3060.0  0.5688793369423784
3750.0  2488.0  2980.0  0.6101080969795435
4000.0  2548.0  2905.0  0.6515906844024092
4500.0  2664.0  2767.0  0.735060194814003
5000.0  2773.0  2644.0  0.8190624457268201
5500.0  2877.0  2533.0  0.9032911933590407
6000.0  2979.0  2433.0  0.9879154518479808
6500.0  3079.0  2342.0  1.0753383188559775
7000.0  3178.0  2258.0  1.1581792477850743
8000.0  3375.0  2111.0  1.323551513920029
9000.0  3574.0  1984.0  1.4979704736742976
10000.0  3776.0  1875.0  1.662342738426706
11000.0  3981.0  1778.0  1.8262396009286403
12000.0  4190.0  1693.0  1.980056597675935
13000.0  4402.0  1616.0  2.143051679264875
14000.0  4616.0  1548.0  2.2960294532082988
15000.0  4833.0  1485.0  2.438966375331977
16000.0  5052.0  1428.0  2.5911530251993997
17000.0  5273.0  1377.0  2.73337567853378
18000.0  5494.0  1329.0  2.875279760301595
20000.0  5938.0  1244.0  3.1389732652572877
22500.0  6493.0  1154.0  3.462346396592923
25000.0  7042.0  1078.0  3.7650095152602208
27500.0  7583.0  1012.0  4.047166349435121
30000.0  8113.0  954.8  4.3187114478742386
