#Energy(keV)    dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
10.0  139.0  1836.0  0.007877816956492452
11.0  145.8  1910.0  0.008249848483457136
12.0  152.3  1979.0  0.008609297300012354
13.0  158.5  2043.0  0.008981091247727082
14.0  164.5  2103.0  0.00930859817588019
15.0  170.3  2160.0  0.009680392554023828
16.0  175.9  2214.0  0.010007996802557444
17.0  181.3  2266.0  0.010304368005850724
18.0  186.6  2314.0  0.010547985589675405
20.0  196.6  2405.0  0.011247666424641157
22.5  208.6  2509.0  0.011947384651043927
25.0  219.9  2602.0  0.012603967629282457
27.5  230.6  2687.0  0.013303758867327686
30.0  240.8  2766.0  0.014003570973148242
32.5  250.7  2838.0  0.014575664650368438
35.0  260.1  2905.0  0.01523318745371434
37.5  269.3  2968.0  0.01581707937642092
40.0  278.1  3027.0  0.01647482928591371
45.0  295.0  3134.0  0.017589485495602193
50.0  310.9  3229.0  0.01874593289223025
55.0  326.1  3314.0  0.01989095271725314
60.0  340.6  3392.0  0.021006189564030886
65.0  354.5  3462.0  0.02200568108466539
70.0  367.9  3527.0  0.022994347131414714
80.0  393.3  3641.0  0.025053143515335555
90.0  417.2  3739.0  0.027042559050504077
100.0  439.7  3824.0  0.028945638704302244
110.0  461.2  3898.0  0.030809576433310473
120.0  481.7  3964.0  0.032713300047534186
130.0  501.4  4022.0  0.03449072339050024
140.0  520.3  4074.0  0.036239895143336164
150.0  538.5  4121.0  0.038056405505512474
160.0  556.2  4163.0  0.039806155302917666
170.0  573.3  4200.0  0.04158437206451481
180.0  589.9  4235.0  0.04320856396595472
200.0  621.9  4294.0  0.0466497588418204
225.0  659.6  4353.0  0.050813384063650005
250.0  695.3  4400.0  0.05488943432027698
275.0  729.2  4438.0  0.05896609195122227
300.0  761.6  4467.0  0.06291748564588386
325.0  792.7  4490.0  0.06695856927981661
350.0  822.7  4507.0  0.07092065989540708
375.0  854.0  4520.0  0.07487342652770743
400.0  929.4  4529.0  0.07867458293502419
450.0  1035.0  4538.0  0.08631430935829817
500.0  1101.0  4537.0  0.09391996592844357
550.0  1147.0  4529.0  0.10143712338192562
600.0  1182.0  4516.0  0.10892956439828447
650.0  1211.0  4499.0  0.11636300958638016
700.0  1239.0  4478.0  0.1238577006083998
800.0  1290.0  4431.0  0.13884649797528206
900.0  1342.0  4378.0  0.1539392737413036
1000.0  1394.0  4321.0  0.1690927851802081
1100.0  1448.0  4263.0  0.1843167925068142
1200.0  1502.0  4204.0  0.19965903435607416
1300.0  1556.0  4145.0  0.2149474819578029
1400.0  1609.0  4087.0  0.23026180751483735
1500.0  1662.0  4029.0  0.24570624737682192
1600.0  1714.0  3973.0  0.26115332661101603
1700.0  1764.0  3918.0  0.27660260302462814
1800.0  1814.0  3864.0  0.29211425846747024
2000.0  1908.0  3761.0  0.3233282851839598
2250.0  2017.0  3639.0  0.3625295160397288
2500.0  2118.0  3525.0  0.4018349536812347
2750.0  2210.0  3419.0  0.44147046333814904
3000.0  2296.0  3320.0  0.4811790830865365
3250.0  2375.0  3227.0  0.5211814847056637
3500.0  2449.0  3141.0  0.5612866112780528
3750.0  2519.0  3059.0  0.6015946309600844
4000.0  2585.0  2982.0  0.6420779158326503
4500.0  2707.0  2842.0  0.7235125499948153
5000.0  2820.0  2716.0  0.8053915383215793
5500.0  2927.0  2603.0  0.8877038977046344
6000.0  3029.0  2500.0  0.9702023036459974
6500.0  3129.0  2407.0  1.0528165747175526
7000.0  3228.0  2322.0  1.1386746067248537
8000.0  3424.0  2171.0  1.3038419075946286
9000.0  3622.0  2041.0  1.4684998399727527
10000.0  3823.0  1929.0  1.6231622284910405
11000.0  4028.0  1830.0  1.786884042124726
12000.0  4236.0  1742.0  1.9405879134942587
13000.0  4448.0  1664.0  2.0938585673344794
14000.0  4663.0  1593.0  2.246712774254867
15000.0  4879.0  1529.0  2.3991863725021445
16000.0  5098.0  1471.0  2.5416675962839834
17000.0  5318.0  1417.0  2.6838397306843786
18000.0  5538.0  1368.0  2.8256747902049875
20000.0  5980.0  1281.0  3.0892846097438156
22500.0  6530.0  1189.0  3.402919123341017
25000.0  7073.0  1110.0  3.7055324920988078
27500.0  7606.0  1043.0  3.9876824660446575
30000.0  8129.0  983.8  4.259238791145667
