#Energy(keV)    dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
0.0011  1.105  9.689  0.00017320508075688773
0.0012  1.105  10.26  0.00017320508075688773
0.0013000000000000002  1.15  10.82  0.00017320508075688773
0.0014  1.193  11.36  0.00017320508075688773
0.0015  1.235  11.89  0.00017320508075688773
0.0016  1.276  12.4  0.0002449489742783178
0.0017  1.315  12.9  0.0002449489742783178
0.0018000000000000002  1.353  13.39  0.0002449489742783178
0.002  1.426  14.34  0.0002449489742783178
0.0022500000000000003  1.513  15.47  0.0002449489742783178
0.00249999  1.595  16.56  0.0002449489742783178
0.00274999  1.672  17.6  0.0002449489742783178
0.00299999  1.747  18.61  0.0002449489742783178
0.00324999  1.818  19.58  0.0002449489742783178
0.00349999  1.887  20.52  0.0002449489742783178
0.00374999  1.953  21.43  0.0002449489742783178
0.00399999  2.017  22.32  0.0002449489742783178
0.004499990000000001  2.139  24.03  0.0002449489742783178
0.00499999  2.255  25.66  0.0002449489742783178
0.005499990000000001  2.365  27.22  0.00033166247903554
0.00599999  2.47  28.73  0.0003741657386773942
0.006499990000000001  2.571  30.18  0.0003741657386773942
0.00699999  2.668  31.58  0.0003741657386773942
0.00799999  2.852  34.25  0.0003741657386773942
0.008999990000000001  3.025  36.78  0.0003741657386773942
0.00999999  3.189  39.18  0.0003741657386773942
0.0109999  3.345  41.48  0.0004123105625617661
0.0119999  3.493  43.68  0.0004898979485566356
0.0129999  3.636  45.79  0.0004898979485566356
0.013999900000000001  3.773  47.83  0.0004898979485566356
0.0149999  3.906  49.81  0.0004898979485566356
0.0159999  4.034  51.72  0.0004898979485566356
0.016999900000000002  4.158  53.57  0.0004898979485566356
0.0179999  4.279  55.37  0.0004898979485566356
0.0199999  4.51  58.83  0.0005385164807134504
0.0224999  4.784  62.92  0.0006164414002968976
0.024999900000000002  5.042  66.79  0.0006164414002968976
0.0274999  5.288  70.46  0.0006164414002968976
0.0299999  5.524  73.97  0.0006164414002968976
0.0324999  5.749  77.33  0.0006164414002968976
0.0349999  5.966  80.55  0.0006164414002968976
0.037499899999999996  6.176  83.65  0.0007348469228349535
0.0399999  6.378  86.64  0.0007810249675906655
0.044999899999999995  6.765  92.34  0.0007810249675906655
0.0499999  7.131  97.69  0.0007810249675906655
0.0549999  7.479  102.8  0.0008602325267042626
0.059999899999999995  7.812  107.6  0.0008602325267042626
0.0649999  8.13  112.1  0.0008602325267042626
0.0699999  8.437  116.5  0.0008602325267042626
0.0799999  9.02  124.8  0.0009899494936611666
0.0899999  9.567  132.4  0.0010246950765959598
0.0999999  10.08  139.6  0.0011045361017187263
0.11  10.58  146.3  0.0011045361017187263
0.12  11.05  152.6  0.0011532562594670796
0.13  11.5  158.6  0.0012328828005937953
0.13999899999999998  11.93  164.3  0.0012328828005937953
0.149999  12.35  169.8  0.0012328828005937953
0.159999  12.76  175.0  0.0013490737563232043
0.169999  13.15  180.0  0.001396424004376894
0.179999  13.53  184.8  0.001396424004376894
0.199999  14.26  193.9  0.0014764823060233402
0.224999  15.13  204.4  0.0015588457268119896
0.249999  15.95  214.2  0.0016401219466856726
0.27499900000000005  16.72  223.2  0.0017204650534085252
0.299999  17.47  231.6  0.0018027756377319948
0.32499900000000004  18.18  239.6  0.001849324200890693
0.349999  18.87  247.1  0.00196468827043885
0.374999  19.53  254.2  0.00196468827043885
0.39999900000000005  20.17  260.9  0.002092844953645635
0.44999900000000004  21.39  273.4  0.0021748563170931544
0.499999  22.55  284.9  0.0023366642891095844
0.549999  23.65  295.4  0.0024186773244895647
0.5999990000000001  24.7  305.2  0.0025475478405713996
0.649999  25.71  314.3  0.0026627053911388696
0.699999  26.68  322.8  0.002791057147390573
0.799999  28.52  338.3  0.0029899832775452106
0.899999  30.25  352.2  0.0032015621187164245
0.9999990000000001  31.89  364.7  0.003361547262794322
1.1  33.45  376.1  0.0036055512754639895
1.2  34.93  386.5  0.003817066936798463
1.3  36.36  396.1  0.0039331920878594275
1.4  37.73  404.9  0.004144876355212541
1.5  39.06  413.2  0.004304648650006177
1.6  40.34  420.8  0.004473253849269008
1.7  41.58  428.0  0.004632493928760188
1.8  42.79  434.8  0.00484458460551573
2.0  45.1  447.1  0.005173006862551025
2.25  47.84  460.7  0.005501817881391568
2.5  50.42  472.7  0.00587281874401041
2.75  52.88  483.2  0.00628728876384726
3.0  55.24  492.7  0.0066166456758693076
3.25  57.49  501.2  0.006987131027825369
3.5  59.66  508.9  0.0073164198895361385
3.75  61.76  515.8  0.007645913941446111
4.0  63.78  522.2  0.007975587752636166
4.5  67.65  533.3  0.00876184911990614
5.0  71.31  542.7  0.00933488082409197
5.5  74.79  550.7  0.01000499875062461
6.0  78.12  557.5  0.010664895686315925
6.5  81.31  563.4  0.011325193155085702
7.0  84.38  568.5  0.011869288099966232
8.0  90.2  576.7  0.013200757554019392
9.0  95.67  582.9  0.01443433406846329
10.0  100.8  587.5  0.01564001278771856
11.0  105.8  590.8  0.016818442258425718
12.0  110.5  593.2  0.017936276090649364
13.0  115.0  594.7  0.019142883795290614
14.0  119.3  595.6  0.02034969287237525
15.0  123.5  596.0  0.0215566695015719
16.0  127.6  595.9  0.022638241981214002
17.0  131.5  595.5  0.023818900058566937
18.0  135.3  594.7  0.02493692041933005
20.0  142.6  592.4  0.02729010809799038
22.5  151.3  588.5  0.030161896492097443
25.0  159.5  583.8  0.03306297022349928
27.5  167.2  578.5  0.03590013927549585
30.0  174.7  572.9  0.03876841497920698
32.5  181.8  567.0  0.04167217296950088
35.0  188.7  561.0  0.04457656334891688
37.5  195.3  555.0  0.04744786612693978
40.0  201.7  548.9  0.0502622124463299
45.0  213.9  536.8  0.05615603262339675
50.0  225.5  525.0  0.061903634788273945
55.0  236.5  513.6  0.06772163612908359
60.0  247.0  502.5  0.07356486933312667
65.0  257.5  491.9  0.07950163520330887
70.0  268.5  481.8  0.08543974484980628
80.0  287.7  462.7  0.0972358987205857
90.0  303.8  445.2  0.1091522331425244
100.0  317.6  429.1  0.12102123780560171
110.0  329.8  414.3  0.13303056039872943
120.0  341.0  400.7  0.14515949848356463
130.0  351.4  388.1  0.15735803125357156
140.0  361.3  376.3  0.16963354621064786
150.0  370.9  365.4  0.1819064869651437
160.0  380.2  355.2  0.19425653142172594
170.0  389.2  345.6  0.20658368764256294
180.0  398.2  336.7  0.21902890220242624
200.0  415.7  320.3  0.24386215368523262
225.0  437.5  302.3  0.27500783625198755
250.0  459.2  286.5  0.30598307142716247
275.0  481.0  272.6  0.33673566784645786
300.0  503.1  260.1  0.36729887013166806
325.0  525.2  248.9  0.397406555054141
350.0  547.6  238.8  0.42725367172208134
375.0  570.1  229.6  0.45666453770793286
400.0  592.7  221.2  0.4855273524735759
450.0  638.1  206.4  0.5420310876693328
500.0  683.6  193.7  0.5965874118685375
550.0  728.8  182.7  0.6493307631708204
600.0  773.8  173.0  0.7001450421162747
650.0  818.3  164.5  0.7492778189697064
700.0  862.2  156.8  0.7967269858615309
800.0  948.3  143.7  0.8869628458960387
900.0  1032.0  132.9  0.9717025625159172
1000.0  1112.0  123.8  1.054712306745304
1100.0  1190.0  116.0  1.1250939160798978
1200.0  1265.0  109.2  1.1953164016276192
1300.0  1337.0  103.3  1.2653883554071454
1400.0  1408.0  98.04  1.3353582066247245
1500.0  1476.0  93.36  1.3954255264972044
1600.0  1541.0  89.15  1.4554218529347427
1700.0  1605.0  85.35  1.5153619237660685
1800.0  1667.0  81.89  1.5752358870975485
2000.0  1786.0  75.84  1.6850874547037609
2250.0  1927.0  69.54  1.8049828641845882
2500.0  2060.0  64.31  1.9247235489804762
2750.0  2186.0  59.88  2.0344712384302706
3000.0  2306.0  56.07  2.1441501929669013
3250.0  2420.0  52.77  2.2438807142983337
3500.0  2529.0  49.86  2.343566446679078
3750.0  2634.0  47.29  2.4333240022652145
4000.0  2733.0  45.0  2.532949178329482
4500.0  2919.0  41.07  2.7024899130246536
5000.0  3089.0  37.83  2.862041928414048
5500.0  3243.0  35.1  3.0215608582320495
6000.0  3384.0  32.77  3.16120570985186
6500.0  3511.0  30.76  3.3107524416663954
7000.0  3626.0  29.0  3.4404170096079922
8000.0  3825.0  26.06  3.70978012960337
9000.0  3987.0  23.7  3.9592257589079205
10000.0  4120.0  21.76  4.208674057229902
