#Energy(keV)    dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
10.0  60.63  1521.0  0.008534049449118513
11.0  63.59  1572.0  0.008987769467448527
12.0  66.42  1619.0  0.009475230867899738
13.0  69.13  1662.0  0.009882307422864358
14.0  71.74  1702.0  0.010254754994635417
15.0  74.26  1740.0  0.010742439201596628
16.0  76.69  1775.0  0.011114854924829205
17.0  79.05  1808.0  0.01144071676076285
18.0  81.34  1840.0  0.01189537725337032
20.0  85.74  1897.0  0.01262695529413168
22.5  90.94  1961.0  0.01356945098373549
25.0  95.86  2018.0  0.014479295562975432
27.5  100.5  2069.0  0.015339165557487149
30.0  105.0  2115.0  0.016236686854158393
32.5  109.3  2156.0  0.017063997187060247
35.0  113.4  2194.0  0.017878758346149208
37.5  117.4  2229.0  0.018661457606521523
40.0  121.3  2261.0  0.019521014317908793
45.0  128.6  2318.0  0.021119185590358358
50.0  135.6  2367.0  0.022601991062736047
55.0  142.2  2410.0  0.02424479325546003
60.0  148.5  2447.0  0.025728194651004954
65.0  154.6  2480.0  0.02712747684544215
70.0  160.4  2509.0  0.02859947551966644
80.0  171.5  2559.0  0.03148301129180626
90.0  181.9  2598.0  0.03432433539050683
100.0  191.7  2630.0  0.03708112727520565
110.0  201.1  2655.0  0.03983817264885527
120.0  210.0  2676.0  0.042595422289255454
130.0  218.6  2693.0  0.04528068020690502
140.0  226.9  2706.0  0.048038422122297066
150.0  234.8  2717.0  0.05072474741188959
160.0  242.5  2725.0  0.05339681638449993
170.0  250.0  2731.0  0.056083776620338255
180.0  257.2  2736.0  0.05875585077249754
200.0  271.2  2740.0  0.0640448280503586
225.0  287.6  2740.0  0.07073450360326282
250.0  317.5  2734.0  0.07738442995848713
275.0  363.0  2724.0  0.08387931807066627
300.0  394.2  2712.0  0.09044407111580062
325.0  416.2  2698.0  0.09694070352540259
350.0  432.5  2682.0  0.10343814576837697
375.0  445.3  2665.0  0.11002367926950998
400.0  455.9  2647.0  0.11656178619084388
450.0  474.5  2610.0  0.1297956470764717
500.0  492.2  2571.0  0.14318666138994932
550.0  510.7  2532.0  0.15672810851918045
600.0  530.6  2494.0  0.1703984154855907
650.0  551.8  2456.0  0.1841205040184281
700.0  574.1  2418.0  0.19795964235166724
800.0  621.0  2346.0  0.22599703537878546
900.0  669.4  2278.0  0.25430676357501786
1000.0  717.8  2214.0  0.2829041180329477
1100.0  765.2  2154.0  0.31171182204080744
1200.0  811.1  2097.0  0.3406670662098114
1300.0  855.3  2043.0  0.3698602709132193
1400.0  897.6  1993.0  0.3991379460787962
1500.0  938.2  1946.0  0.4286298286400516
1600.0  977.0  1901.0  0.4582069947087234
1700.0  1014.0  1858.0  0.48784445266908594
1800.0  1050.0  1818.0  0.517608143289883
2000.0  1119.0  1743.0  0.5775847470285205
2250.0  1199.0  1660.0  0.6528779518409241
2500.0  1276.0  1585.0  0.7284337032290584
2750.0  1350.0  1518.0  0.804105919639944
3000.0  1423.0  1458.0  0.8798334444654852
3250.0  1495.0  1403.0  0.9553530708591459
3500.0  1566.0  1352.0  1.0305753053513362
3750.0  1638.0  1306.0  1.1045790148287264
4000.0  1710.0  1264.0  1.178286879329478
4500.0  1857.0  1188.0  1.32502966759239
5000.0  2008.0  1122.0  1.4709656046284698
5500.0  2162.0  1064.0  1.606727014772578
6000.0  2320.0  1013.0  1.7416906757515813
6500.0  2481.0  967.0  1.8758872300860732
7000.0  2645.0  925.8  2.0094393372281734
8000.0  2980.0  854.6  2.246424325455901
9000.0  3320.0  794.9  2.481181696289089
10000.0  3661.0  744.1  2.6952467883294102
11000.0  4001.0  700.3  2.8982730375173418
12000.0  4335.0  662.0  3.0905626478037944
13000.0  4664.0  628.2  3.2627745892108453
14000.0  4984.0  598.1  3.4341042572991287
15000.0  5296.0  571.2  3.6047888773130667
16000.0  5598.0  546.9  3.755685563249405
17000.0  5891.0  524.8  3.9061361535409898
18000.0  6173.0  504.6  4.046536684623037
20000.0  6707.0  469.2  4.316825918426639
22500.0  7321.0  432.0  4.63641474633148
25000.0  7879.0  400.9  4.9355912675180065
27500.0  8386.0  374.4  5.214598378590628
30000.0  8851.0  351.6  5.4833250970556175
