#Energy(keV)    dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
10.0  67.95  1979.0  0.007584853327520579
11.0  71.27  2043.0  0.007915806970865321
12.0  74.44  2101.0  0.008336666000266535
13.0  77.48  2154.0  0.00873212459828649
14.0  80.41  2204.0  0.009097801932335085
15.0  83.23  2251.0  0.009518928511129812
16.0  85.96  2294.0  0.009849873095629203
17.0  88.6  2335.0  0.010180864403379508
18.0  91.17  2373.0  0.01051189802081432
20.0  96.1  2443.0  0.011239217054581694
22.5  101.9  2520.0  0.012083045973594574
25.0  107.4  2588.0  0.012869343417595165
27.5  112.7  2649.0  0.013622408010333565
30.0  117.7  2704.0  0.014466858677681205
32.5  122.5  2753.0  0.015195723082499234
35.0  127.1  2797.0  0.01598155186457185
37.5  131.6  2838.0  0.016734993277560648
40.0  135.9  2875.0  0.017372679701186
45.0  144.2  2941.0  0.018855768348173988
50.0  152.0  2996.0  0.0202474689776278
55.0  159.4  3044.0  0.021608100332976984
60.0  166.5  3085.0  0.02290807717814832
65.0  173.3  3121.0  0.024300205760445732
70.0  179.8  3153.0  0.02569241133097476
80.0  192.2  3205.0  0.028238626028898785
90.0  203.9  3244.0  0.030808278108326665
100.0  214.9  3275.0  0.03344786988733363
110.0  225.4  3299.0  0.035872830944880835
120.0  235.4  3316.0  0.03842056740861592
130.0  245.0  3330.0  0.040968524503574695
140.0  254.3  3339.0  0.04339446969372941
150.0  263.2  3345.0  0.045942790511678766
160.0  271.8  3348.0  0.04836920507926506
170.0  280.2  3350.0  0.050896070575241856
180.0  288.3  3349.0  0.05332288439310087
200.0  303.9  3342.0  0.05827743988886265
225.0  322.4  3328.0  0.06441009237689385
250.0  355.4  3308.0  0.07058817181369696
275.0  406.2  3285.0  0.07672190039356429
300.0  441.8  3259.0  0.08290174907684397
325.0  467.9  3231.0  0.08898842621374986
350.0  487.9  3202.0  0.0951697956286552
375.0  504.1  3172.0  0.10135176367483696
400.0  518.2  3142.0  0.10753422710932553
450.0  543.4  3081.0  0.12008917519909944
500.0  568.1  3020.0  0.13274027271329528
550.0  594.1  2961.0  0.14556283866426897
600.0  621.7  2903.0  0.15859568089957557
650.0  650.9  2847.0  0.17172475069133164
700.0  681.6  2793.0  0.1848364141612794
800.0  746.0  2691.0  0.21164567087469566
900.0  812.4  2596.0  0.2386499109574525
1000.0  879.2  2509.0  0.2659195555050437
1100.0  945.1  2428.0  0.29344924603753886
1200.0  1010.0  2352.0  0.3210609132236436
1300.0  1072.0  2282.0  0.34874274185995613
1400.0  1132.0  2217.0  0.3765794604064327
1500.0  1191.0  2156.0  0.40449331267648914
1600.0  1247.0  2098.0  0.4324109272439817
1700.0  1301.0  2044.0  0.46038345973764094
1800.0  1353.0  1994.0  0.4883377314932771
2000.0  1452.0  1901.0  0.544372097007185
2250.0  1569.0  1798.0  0.6142922675730178
2500.0  1678.0  1708.0  0.6840742795925016
2750.0  1782.0  1628.0  0.7535647085685476
3000.0  1883.0  1556.0  0.8225389595636186
3250.0  1981.0  1491.0  0.8910177663773041
3500.0  2078.0  1432.0  0.9590152553531148
3750.0  2174.0  1379.0  1.02622823972058
4000.0  2270.0  1330.0  1.0913129569468147
4500.0  2462.0  1243.0  1.2231971100358272
5000.0  2655.0  1169.0  1.3547282679563455
5500.0  2852.0  1104.0  1.4762301311109998
6000.0  3051.0  1047.0  1.587665739379672
6500.0  3253.0  995.9  1.7085971438580834
7000.0  3457.0  950.6  1.8195414175005746
8000.0  3871.0  872.8  2.0310969966990746
9000.0  4286.0  808.3  2.222363239886765
10000.0  4700.0  753.8  2.413075949902945
11000.0  5110.0  707.0  2.583709972113743
12000.0  5512.0  666.4  2.744162364001081
13000.0  5904.0  630.7  2.894475914565537
14000.0  6286.0  599.1  3.044582147027733
15000.0  6656.0  570.9  3.1846428496771817
16000.0  7014.0  545.5  3.314693278419589
17000.0  7359.0  522.5  3.434735484720767
18000.0  7691.0  501.7  3.5645664322607313
20000.0  8316.0  465.0  3.7944062328643726
22500.0  9029.0  426.8  4.064089970706849
25000.0  9672.0  395.0  4.313709830296887
27500.0  10250.0  368.1  4.5532326560368075
30000.0  10780.0  344.9  4.7827131013683015
