#Energy(keV)    dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
10.0  91.58  744.6  0.011677328461596002
11.0  96.05  756.1  0.012458330546265018
12.0  100.3  766.0  0.013239335330748295
13.0  104.4  774.6  0.014097517511959331
14.0  108.4  782.1  0.01487850798971456
15.0  112.2  788.7  0.015608651447194278
16.0  115.8  794.4  0.016352064089893974
17.0  119.4  799.5  0.01713300907604966
18.0  122.9  803.9  0.017863370342687295
20.0  129.5  811.2  0.019259543089076646
22.5  137.4  817.9  0.021142847490345288
25.0  144.8  822.7  0.02286088362246744
27.5  151.9  825.8  0.02474449433712477
30.0  158.6  827.7  0.026462993028000443
32.5  165.1  828.6  0.028231188426986208
35.0  171.3  828.8  0.029949958263743876
37.5  177.3  828.3  0.03170567772497538
40.0  183.2  827.2  0.03342469147202409
45.0  194.3  824.0  0.03686312520663434
50.0  204.8  819.5  0.04030198506277327
55.0  214.8  814.2  0.04374117053760679
60.0  224.3  808.4  0.047180610424198625
65.0  233.5  802.1  0.05062025286384887
70.0  242.3  795.7  0.05401203569575952
80.0  259.0  782.3  0.06092470763163333
90.0  274.8  768.8  0.06772222677969177
100.0  297.1  755.4  0.07463672018517427
110.0  315.9  742.2  0.08146938075129821
120.0  332.6  729.5  0.08830311432786501
130.0  348.0  717.1  0.09513768969236115
140.0  362.5  705.2  0.10192668934091798
150.0  376.3  693.7  0.10876263145032856
160.0  389.7  682.6  0.1156348130970946
170.0  402.7  671.9  0.122391217005143
180.0  415.4  661.6  0.12926503780991982
200.0  440.2  642.1  0.14288974770780444
225.0  469.9  619.7  0.16008201023225566
250.0  498.5  599.1  0.17707371346419548
275.0  526.0  580.2  0.19411947352081915
300.0  552.5  562.7  0.21103940390363124
325.0  578.0  546.5  0.2280148460078861
350.0  602.6  531.4  0.24479250397019922
375.0  626.4  517.4  0.2615750752652095
400.0  649.4  504.2  0.2782789607570073
450.0  693.3  480.3  0.3114468172898866
500.0  734.9  459.0  0.34428186127067456
550.0  774.5  439.9  0.3767415028902444
600.0  812.7  422.7  0.40892764641192947
650.0  849.7  407.1  0.4406954730877094
700.0  885.8  392.8  0.47217931975045246
800.0  956.1  367.6  0.5339245733247348
900.0  1025.0  346.0  0.5941123546939586
1000.0  1092.0  327.2  0.6528153261068554
1100.0  1159.0  310.8  0.7098956402176309
1200.0  1225.0  296.2  0.7654452887045553
1300.0  1290.0  283.1  0.8195042952907569
1400.0  1355.0  271.3  0.8720755127854469
1500.0  1420.0  260.6  0.9232745962063508
1600.0  1484.0  250.9  0.9731401954497615
1700.0  1548.0  242.0  1.0216968679603555
1800.0  1611.0  233.8  1.06900463516301
2000.0  1736.0  219.2  1.1561379156484748
2250.0  1890.0  203.6  1.2681816313131173
2500.0  2041.0  190.5  1.3699991715325963
2750.0  2189.0  179.1  1.4710031169239581
3000.0  2333.0  169.2  1.5620131881645558
3250.0  2474.0  160.5  1.6431108605325448
3500.0  2612.0  152.7  1.7331369968932058
3750.0  2747.0  145.8  1.8134278176977434
4000.0  2877.0  139.5  1.8839452460196395
4500.0  3129.0  128.6  2.0336703174310236
5000.0  3367.0  119.5  2.173186087292112
5500.0  3592.0  111.8  2.3026237751747463
6000.0  3804.0  105.1  2.4220695386383935
6500.0  4004.0  99.19  2.541175601960636
7000.0  4193.0  94.02  2.6504514181550283
8000.0  4538.0  85.29  2.868567130119147
9000.0  4845.0  78.19  3.0668668115847484
10000.0  5118.0  72.29  3.2551685486315454
11000.0  5362.0  67.3  3.4335497229543654
12000.0  5582.0  63.02  3.6117851887951478
13000.0  5779.0  59.3  3.7704632633139394
14000.0  5958.0  56.04  3.9388172145962805
15000.0  6121.0  53.15  4.097387080811379
16000.0  6270.0  50.56  4.255930340125412
17000.0  6407.0  48.25  4.404678795326624
18000.0  6533.0  46.15  4.553417020216795
20000.0  6759.0  42.5  4.851027200500941
22500.0  6999.0  38.75  5.198535421635598
25000.0  7201.0  35.65  5.546116364628496
27500.0  7374.0  33.05  5.883934760005417
30000.0  7523.0  30.83  6.211962595669745
