#Energy(keV)    dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
0.0011  0.8838  9.744  0.00017320508075688773
0.0012  0.8838  10.33  0.0002449489742783178
0.0013000000000000002  0.9199  10.9  0.0002449489742783178
0.0014  0.9546  11.46  0.0002449489742783178
0.0015  0.9881  12.0  0.0002449489742783178
0.0016  1.02  12.53  0.0002449489742783178
0.0017  1.052  13.05  0.0002449489742783178
0.0018000000000000002  1.082  13.55  0.0002449489742783178
0.002  1.141  14.53  0.0002449489742783178
0.0022500000000000003  1.21  15.71  0.0002449489742783178
0.00249999  1.276  16.83  0.0002449489742783178
0.00274999  1.338  17.92  0.0002449489742783178
0.00299999  1.397  18.96  0.0002449489742783178
0.00324999  1.454  19.98  0.0002449489742783178
0.00349999  1.509  20.96  0.0002449489742783178
0.00374999  1.562  21.92  0.0002449489742783178
0.00399999  1.614  22.85  0.00033166247903554
0.004499990000000001  1.711  24.64  0.00033166247903554
0.00499999  1.804  26.36  0.00033166247903554
0.005499990000000001  1.892  28.0  0.00033166247903554
0.00599999  1.976  29.59  0.00033166247903554
0.006499990000000001  2.057  31.12  0.0003741657386773942
0.00699999  2.135  32.61  0.0003741657386773942
0.00799999  2.282  35.45  0.0003741657386773942
0.008999990000000001  2.42  38.14  0.000458257569495584
0.00999999  2.551  40.71  0.000458257569495584
0.0109999  2.676  43.17  0.000458257569495584
0.0119999  2.795  45.53  0.0004898979485566356
0.0129999  2.909  47.81  0.0004898979485566356
0.013999900000000001  3.019  50.01  0.0004898979485566356
0.0149999  3.125  52.14  0.0004898979485566356
0.0159999  3.227  54.21  0.0004898979485566356
0.016999900000000002  3.326  56.22  0.0005744562646538029
0.0179999  3.423  58.17  0.0005744562646538029
0.0199999  3.608  61.93  0.0005744562646538029
0.0224999  3.827  66.4  0.0006164414002968976
0.024999900000000002  4.034  70.64  0.0006164414002968976
0.0274999  4.231  74.68  0.0006164414002968976
0.0299999  4.419  78.54  0.0007000000000000001
0.0324999  4.599  82.25  0.0007000000000000001
0.0349999  4.773  85.82  0.0007000000000000001
0.037499899999999996  4.94  89.27  0.0007000000000000001
0.0399999  5.102  92.6  0.0007000000000000001
0.044999899999999995  5.412  98.96  0.0008602325267042626
0.0499999  5.705  105.0  0.0008602325267042626
0.0549999  5.983  110.7  0.0008602325267042626
0.059999899999999995  6.249  116.1  0.0009433981132056604
0.0649999  6.504  121.3  0.0009433981132056604
0.0699999  6.75  126.3  0.0009433981132056604
0.0799999  7.216  135.7  0.0010295630140987001
0.0899999  7.654  144.5  0.001072380529476361
0.0999999  8.068  152.7  0.0011045361017187263
0.11  8.462  160.5  0.0011874342087037917
0.12  8.838  167.9  0.0011874342087037917
0.13  9.199  175.0  0.0011874342087037917
