# Energy(keV)    dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
9.999990e-03  1.761000e+00  2.346000e+01  4.000000e-04
1.099990e-02  1.847000e+00  2.483000e+01  5.000000e-04
1.199990e-02  1.929000e+00  2.614000e+01  5.000000e-04
1.299990e-02  2.008000e+00  2.740000e+01  5.000000e-04
1.399990e-02  2.084000e+00  2.862000e+01  5.000000e-04
1.499990e-02  2.157000e+00  2.979000e+01  5.000000e-04
1.599990e-02  2.228000e+00  3.093000e+01  5.000000e-04
1.699990e-02  2.296000e+00  3.203000e+01  5.000000e-04
1.799990e-02  2.363000e+00  3.310000e+01  6.000000e-04
1.999990e-02  2.491000e+00  3.516000e+01  6.000000e-04
2.249990e-02  2.642000e+00  3.759000e+01  6.000000e-04
2.499990e-02  2.785000e+00  3.989000e+01  6.000000e-04
2.749990e-02  2.921000e+00  4.207000e+01  7.000000e-04
2.999990e-02  3.051000e+00  4.415000e+01  7.000000e-04
3.249990e-02  3.175000e+00  4.614000e+01  7.000000e-04
3.499990e-02  3.295000e+00  4.805000e+01  7.000000e-04
3.749990e-02  3.411000e+00  4.989000e+01  8.000000e-04
3.999990e-02  3.522000e+00  5.166000e+01  8.000000e-04
4.499990e-02  3.736000e+00  5.504000e+01  8.000000e-04
4.999990e-02  3.938000e+00  5.821000e+01  9.000000e-04
5.499990e-02  4.130000e+00  6.120000e+01  9.000000e-04
5.999990e-02  4.314000e+00  6.404000e+01  9.000000e-04
6.499990e-02  4.490000e+00  6.675000e+01  1.000000e-03
6.999990e-02  4.660000e+00  6.934000e+01  1.000000e-03
7.999990e-02  4.982000e+00  7.420000e+01  1.100000e-03
8.999990e-02  5.284000e+00  7.871000e+01  1.100000e-03
9.999990e-02  5.570000e+00  8.291000e+01  1.200000e-03
1.100000e-01  5.841000e+00  8.686000e+01  1.200000e-03
1.200000e-01  6.101000e+00  9.059000e+01  1.300000e-03
1.300000e-01  6.350000e+00  9.412000e+01  1.300000e-03
1.399990e-01  6.590000e+00  9.748000e+01  1.400000e-03
1.499990e-01  6.821000e+00  1.007000e+02  1.400000e-03
1.599990e-01  7.045000e+00  1.037000e+02  1.500000e-03
1.699990e-01  7.262000e+00  1.067000e+02  1.500000e-03
1.799990e-01  7.472000e+00  1.095000e+02  1.600000e-03
1.999990e-01  7.876000e+00  1.148000e+02  1.600000e-03
2.249990e-01  8.354000e+00  1.210000e+02  1.700000e-03
2.499990e-01  8.806000e+00  1.267000e+02  1.800000e-03
2.749990e-01  9.236000e+00  1.319000e+02  1.900000e-03
2.999990e-01  9.647000e+00  1.369000e+02  2.000000e-03
3.249990e-01  1.004000e+01  1.415000e+02  2.100000e-03
3.499990e-01  1.042000e+01  1.459000e+02  2.200000e-03
3.749990e-01  1.079000e+01  1.500000e+02  2.300000e-03
3.999990e-01  1.114000e+01  1.539000e+02  2.400000e-03
4.499990e-01  1.181000e+01  1.612000e+02  2.500000e-03
4.999990e-01  1.245000e+01  1.678000e+02  2.700000e-03
5.499990e-01  1.306000e+01  1.739000e+02  2.800000e-03
5.999990e-01  1.364000e+01  1.796000e+02  3.000000e-03
6.499990e-01  1.420000e+01  1.849000e+02  3.100000e-03
6.999990e-01  1.474000e+01  1.898000e+02  3.200000e-03
7.999990e-01  1.575000e+01  1.987000e+02  3.500000e-03
8.999990e-01  1.671000e+01  2.067000e+02  3.800000e-03
9.999990e-01  1.761000e+01  2.139000e+02  4.000000e-03
1.100000e+00  1.847000e+01  2.204000e+02  4.300000e-03
1.200000e+00  1.929000e+01  2.264000e+02  4.500000e-03
1.300000e+00  2.008000e+01  2.318000e+02  4.700000e-03
1.400000e+00  2.084000e+01  2.369000e+02  5.000000e-03
1.500000e+00  2.157000e+01  2.416000e+02  5.200000e-03
1.600000e+00  2.228000e+01  2.460000e+02  5.400000e-03
1.700000e+00  2.296000e+01  2.501000e+02  5.600000e-03
1.800000e+00  2.363000e+01  2.539000e+02  5.800000e-03
2.000000e+00  2.491000e+01  2.609000e+02  6.300000e-03
2.250000e+00  2.642000e+01  2.686000e+02  6.800000e-03
2.500000e+00  2.785000e+01  2.753000e+02  7.300000e-03
2.750000e+00  2.921000e+01  2.812000e+02  7.800000e-03
3.000000e+00  3.051000e+01  2.865000e+02  8.300000e-03
3.250000e+00  3.175000e+01  2.913000e+02  8.700000e-03
3.500000e+00  3.295000e+01  2.955000e+02  9.200000e-03
3.750000e+00  3.411000e+01  2.994000e+02  9.700000e-03
4.000000e+00  3.522000e+01  3.029000e+02  1.020000e-02
4.500000e+00  3.736000e+01  3.090000e+02  1.110000e-02
5.000000e+00  3.938000e+01  3.142000e+02  1.200000e-02
5.500000e+00  4.130000e+01  3.185000e+02  1.290000e-02
6.000000e+00  4.314000e+01  3.222000e+02  1.380000e-02
6.500000e+00  4.490000e+01  3.253000e+02  1.460000e-02
7.000000e+00  4.660000e+01  3.280000e+02  1.550000e-02
8.000000e+00  4.982000e+01  3.323000e+02  1.720000e-02
9.000000e+00  5.284000e+01  3.354000e+02  1.900000e-02
1.000000e+01  5.570000e+01  3.376000e+02  2.070000e-02
1.100000e+01  5.841000e+01  3.392000e+02  2.240000e-02
1.200000e+01  6.101000e+01  3.402000e+02  2.410000e-02
1.300000e+01  6.350000e+01  3.407000e+02  2.580000e-02
1.400000e+01  6.590000e+01  3.409000e+02  2.740000e-02
1.500000e+01  6.821000e+01  3.408000e+02  2.910000e-02
1.600000e+01  7.045000e+01  3.405000e+02  3.080000e-02
1.700000e+01  7.262000e+01  3.400000e+02  3.250000e-02
1.800000e+01  7.472000e+01  3.393000e+02  3.420000e-02
2.000000e+01  7.877000e+01  3.375000e+02  3.760000e-02
2.250000e+01  8.354000e+01  3.347000e+02  4.180000e-02
2.500000e+01  8.806000e+01  3.315000e+02  4.610000e-02
2.750000e+01  9.236000e+01  3.280000e+02  5.040000e-02
3.000000e+01  9.647000e+01  3.244000e+02  5.470000e-02
3.250000e+01  1.004000e+02  3.207000e+02  5.900000e-02
3.500000e+01  1.042000e+02  3.169000e+02  6.340000e-02
3.750000e+01  1.079000e+02  3.132000e+02  6.780000e-02
4.000000e+01  1.114000e+02  3.094000e+02  7.220000e-02
4.500000e+01  1.181000e+02  3.021000e+02  8.110000e-02
5.000000e+01  1.245000e+02  2.949000e+02  9.000000e-02
5.500000e+01  1.306000e+02  2.880000e+02  9.910000e-02
6.000000e+01  1.422000e+02  2.815000e+02  1.082000e-01
6.500000e+01  1.513000e+02  2.752000e+02  1.172000e-01
7.000000e+01  1.578000e+02  2.692000e+02  1.263000e-01
8.000000e+01  1.666000e+02  2.580000e+02  1.447000e-01
9.000000e+01  1.730000e+02  2.477000e+02  1.633000e-01
1.000000e+02  1.787000e+02  2.384000e+02  1.824000e-01
1.100000e+02  1.844000e+02  2.299000e+02  2.017000e-01
1.200000e+02  1.905000e+02  2.220000e+02  2.213000e-01
1.300000e+02  1.968000e+02  2.147000e+02  2.410000e-01
1.400000e+02  2.035000e+02  2.080000e+02  2.609000e-01
1.500000e+02  2.103000e+02  2.018000e+02  2.809000e-01
1.600000e+02  2.173000e+02  1.959000e+02  3.009000e-01
1.700000e+02  2.244000e+02  1.905000e+02  3.209000e-01
1.800000e+02  2.316000e+02  1.854000e+02  3.410000e-01
2.000000e+02  2.461000e+02  1.762000e+02  3.809000e-01
2.250000e+02  2.642000e+02  1.660000e+02  4.305000e-01
2.500000e+02  2.824000e+02  1.571000e+02  4.795000e-01
2.750000e+02  3.005000e+02  1.493000e+02  5.278000e-01
3.000000e+02  3.186000e+02  1.423000e+02  5.752000e-01
3.250000e+02  3.368000e+02  1.361000e+02  6.218000e-01
3.500000e+02  3.550000e+02  1.305000e+02  6.675000e-01
3.750000e+02  3.732000e+02  1.253000e+02  7.122000e-01
4.000000e+02  3.914000e+02  1.207000e+02  7.559000e-01
4.500000e+02  4.276000e+02  1.124000e+02  8.406000e-01
5.000000e+02  4.634000e+02  1.054000e+02  9.216000e-01
5.500000e+02  4.985000e+02  9.933000e+01  9.991000e-01
6.000000e+02  5.326000e+02  9.400000e+01  1.070000e+00
6.500000e+02  5.656000e+02  8.928000e+01  1.150000e+00
7.000000e+02  5.974000e+02  8.508000e+01  1.210000e+00
8.000000e+02  6.578000e+02  7.790000e+01  1.340000e+00
9.000000e+02  7.150000e+02  7.197000e+01  1.470000e+00
