#Energy(keV)    dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
10.0  67.71  1960.0  0.007584853327520579
11.0  71.02  2023.0  0.008005623023850175
12.0  74.18  2080.0  0.008426743143112883
13.0  77.2  2133.0  0.008792610533851707
14.0  80.12  2182.0  0.009213576938409967
15.0  82.93  2227.0  0.009518928511129812
16.0  85.65  2270.0  0.009849873095629203
17.0  88.29  2309.0  0.010271319292087069
18.0  90.85  2347.0  0.010602358228243377
20.0  95.76  2415.0  0.011239217054581694
22.5  101.6  2491.0  0.012116517651536684
25.0  107.1  2558.0  0.012960324070022324
27.5  112.3  2617.0  0.013713497001129947
30.0  117.3  2670.0  0.014590750494748377
32.5  122.1  2718.0  0.015344054223053308
35.0  126.7  2761.0  0.016072958657322552
37.5  131.1  2801.0  0.01682646724657318
40.0  135.4  2837.0  0.017580102388780335
45.0  143.6  2900.0  0.018971557658769088
50.0  151.4  2954.0  0.020455072720476943
55.0  158.8  3000.0  0.02184696775298577
60.0  165.9  3040.0  0.023238975881049496
65.0  172.6  3074.0  0.024538948632734862
70.0  179.2  3105.0  0.025877016829611563
80.0  191.5  3154.0  0.028569389212932082
90.0  203.1  3191.0  0.03120865264634153
100.0  214.1  3220.0  0.03377854348547314
110.0  224.6  3242.0  0.03632588608692154
120.0  234.6  3258.0  0.038873512833290484
130.0  244.1  3270.0  0.04139202821800352
140.0  253.4  3278.0  0.04394018661771932
150.0  262.3  3283.0  0.046488493199930675
160.0  270.9  3285.0  0.049008060561503565
170.0  279.2  3286.0  0.05155666785198594
180.0  287.3  3284.0  0.05407679724244032
200.0  302.8  3276.0  0.05903126290365132
225.0  321.2  3260.0  0.06535112852889383
250.0  350.9  3239.0  0.07167182152003673
275.0  387.7  3214.0  0.077972431025331
300.0  414.6  3187.0  0.08420041567593357
325.0  435.6  3159.0  0.09050226516502226
350.0  453.2  3129.0  0.09687171929928776
375.0  468.9  3099.0  0.1031948157612581
400.0  483.7  3068.0  0.10965988327551694
450.0  512.8  3006.0  0.12252448734844804
500.0  542.8  2946.0  0.13557997639769673
550.0  574.3  2886.0  0.14875096638341548
600.0  607.2  2828.0  0.16209361492668367
650.0  641.1  2773.0  0.17555138848781573
700.0  675.7  2719.0  0.18906118057390842
800.0  745.8  2617.0  0.21641381656446984
900.0  815.2  2524.0  0.24404970805145415
1000.0  883.0  2437.0  0.27190884501979706
1100.0  948.5  2357.0  0.2998680209692257
1200.0  1011.0  2283.0  0.3280880674453126
1300.0  1072.0  2214.0  0.3563671140832162
1400.0  1129.0  2149.0  0.38474049695866436
1500.0  1185.0  2089.0  0.4132693794609032
1600.0  1238.0  2033.0  0.44180218424086587
1700.0  1290.0  1980.0  0.4703900828036238
1800.0  1340.0  1931.0  0.49903893635667346
2000.0  1435.0  1840.0  0.5564179544191579
2250.0  1548.0  1740.0  0.6280520201384596
2500.0  1656.0  1651.0  0.6994897068577922
2750.0  1760.0  1573.0  0.7705831103781084
3000.0  1863.0  1503.0  0.8411746073200261
3250.0  1964.0  1440.0  0.9110620889928414
3500.0  2065.0  1383.0  0.9802753388716866
3750.0  2166.0  1331.0  1.050742984749363
4000.0  2268.0  1283.0  1.1119611504004985
4500.0  2472.0  1199.0  1.243875564516001
5000.0  2678.0  1127.0  1.3754182054924242
5500.0  2887.0  1064.0  1.4968695500944629
6000.0  3099.0  1009.0  1.6180216685817284
6500.0  3312.0  959.5  1.7291425881054459
7000.0  3526.0  915.6  1.8399988043474378
8000.0  3954.0  840.4  2.0514286363410252
9000.0  4380.0  778.0  2.2425622510869125
10000.0  4799.0  725.3  2.4233280999484985
11000.0  5210.0  680.2  2.5938458107605395
12000.0  5610.0  640.9  2.7541866603409435
13000.0  5998.0  606.5  2.9142655078080995
14000.0  6373.0  576.0  3.054445594539212
15000.0  6735.0  548.8  3.1944539642949934
16000.0  7083.0  524.3  3.3244532497840904
17000.0  7418.0  502.2  3.4444678805295887
18000.0  7740.0  482.1  3.5643754305628357
20000.0  8345.0  446.8  3.8040501376822045
22500.0  9034.0  410.0  4.073690052028996
25000.0  9655.0  379.4  4.3232750479237385
27500.0  10220.0  353.4  4.562776674350827
30000.0  10730.0  331.1  4.792253491834504
