#Energy(keV)    dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
10.0  66.28  1260.0  0.009153141537199127
11.0  69.51  1296.0  0.009640539403996024
12.0  72.61  1328.0  0.010256705123966469
13.0  75.57  1357.0  0.010709341716464184
14.0  78.42  1384.0  0.011196874563912915
15.0  81.18  1409.0  0.011684605256490267
16.0  83.84  1433.0  0.012185647295076285
17.0  86.42  1454.0  0.01267320006943787
18.0  88.92  1474.0  0.013126309458488323
20.0  93.73  1511.0  0.014067338056647392
22.5  99.42  1551.0  0.015171354586852159
25.0  104.8  1585.0  0.016194134740701648
27.5  109.9  1615.0  0.017298265809034156
30.0  114.8  1642.0  0.01836845121397011
32.5  119.5  1666.0  0.01942601348707449
35.0  124.0  1687.0  0.02049634113689563
37.5  128.4  1705.0  0.021438516739737384
40.0  132.6  1722.0  0.022463080821650445
45.0  140.6  1751.0  0.02450958995985041
50.0  148.2  1775.0  0.026394696436973848
55.0  155.4  1794.0  0.02840809743717449
60.0  162.4  1810.0  0.030293563672833212
65.0  169.0  1824.0  0.03217918581940817
70.0  175.4  1835.0  0.034064937986146404
80.0  187.5  1851.0  0.03775950211536164
90.0  198.8  1861.0  0.04149951806949088
100.0  209.6  1867.0  0.04522808861758365
110.0  219.8  1870.0  0.048884967014410474
120.0  229.6  1871.0  0.052582126240767406
130.0  239.0  1869.0  0.0561638673882061
140.0  248.0  1866.0  0.05986200798503172
150.0  256.7  1861.0  0.0634760584787682
160.0  265.1  1855.0  0.06717477205022732
170.0  273.3  1849.0  0.07084250136747008
180.0  290.7  1842.0  0.07445703459042671
200.0  336.9  1826.0  0.08169736837866934
225.0  371.6  1805.0  0.09069779490153
250.0  393.1  1782.0  0.09971143364730047
275.0  408.4  1759.0  0.10873807980647811
300.0  421.2  1736.0  0.11788184762718984
325.0  433.3  1712.0  0.12708221748143994
350.0  445.8  1689.0  0.13639974340151817
375.0  459.0  1666.0  0.14572971556961195
400.0  473.1  1644.0  0.15513523133060395
450.0  503.6  1601.0  0.17409241798539074
500.0  536.6  1560.0  0.19325581491898244
550.0  571.1  1522.0  0.21252710415379966
600.0  606.3  1485.0  0.2318197575704021
650.0  641.4  1450.0  0.2512218342421693
700.0  676.1  1417.0  0.27062749306011025
800.0  742.9  1357.0  0.3095556977346727
900.0  805.4  1302.0  0.3484702282835652
1000.0  863.6  1252.0  0.3874325102517857
1100.0  917.6  1207.0  0.4264450023156562
1200.0  968.2  1165.0  0.46545784986398075
1300.0  1016.0  1127.0  0.5043719361740897
1400.0  1061.0  1092.0  0.5431918261535238
1500.0  1105.0  1059.0  0.5820160564795442
1600.0  1147.0  1028.0  0.6207208229147787
1700.0  1188.0  1000.0  0.6594319752635598
1800.0  1228.0  973.5  0.6979361073909273
2000.0  1307.0  925.2  0.7745485201070362
2250.0  1404.0  872.2  0.8692252699962192
2500.0  1501.0  826.1  0.9624678851785134
2750.0  1599.0  785.3  1.0540611841823984
3000.0  1699.0  749.1  1.1435512625151527
3250.0  1801.0  716.6  1.2276974382965862
3500.0  1905.0  687.3  1.320564776904185
3750.0  2011.0  660.6  1.4037499385574341
4000.0  2118.0  636.3  1.4772050433166009
4500.0  2337.0  593.4  1.6414959153162703
5000.0  2561.0  556.7  1.7857049812329022
5500.0  2787.0  524.9  1.9286734975106596
6000.0  3015.0  497.1  2.0518063578222967
6500.0  3242.0  472.4  2.183465181769565
7000.0  3468.0  450.5  2.3049630712876943
8000.0  3912.0  412.8  2.517822354734345
9000.0  4342.0  381.7  2.7287752802310417
10000.0  4753.0  355.5  2.919360918077791
11000.0  5144.0  333.1  3.0898177955989574
12000.0  5514.0  313.6  3.259506037730257
13000.0  5863.0  296.6  3.4094347713367386
14000.0  6192.0  281.5  3.5588722314800796
15000.0  6502.0  268.1  3.707969797611626
16000.0  6794.0  256.0  3.8375121784823043
17000.0  7068.0  245.1  3.9764717526973583
18000.0  7327.0  235.2  4.105611294314161
20000.0  7802.0  217.8  4.344120035173982
22500.0  8327.0  199.7  4.641729700230291
25000.0  8791.0  184.7  4.909739750740359
27500.0  9205.0  172.0  5.177489648468647
30000.0  9580.0  161.1  5.425543993001991
