#Energy(keV)    dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
10.0  74.29  1689.0  0.007839005038906405
11.0  77.91  1734.0  0.008346256645946133
12.0  81.38  1775.0  0.008802840450672726
13.0  84.7  1812.0  0.00922225568936364
14.0  87.9  1846.0  0.009678842906050289
15.0  90.98  1877.0  0.010098514742277699
16.0  93.97  1906.0  0.01042928568982555
17.0  96.86  1933.0  0.01088577052853862
18.0  99.67  1958.0  0.011305750749065717
20.0  105.1  2003.0  0.01209297316626478
22.5  111.4  2051.0  0.013085488145269934
25.0  117.5  2093.0  0.014051690289783647
27.5  123.2  2129.0  0.01501832214330216
30.0  128.7  2160.0  0.01601124604770035
32.5  133.9  2188.0  0.016888161534045085
35.0  139.0  2212.0  0.017730482226944646
37.5  143.9  2233.0  0.01869786084021378
40.0  148.6  2252.0  0.01957498403575339
45.0  157.6  2284.0  0.021295304646799493
50.0  166.1  2309.0  0.023049728848730522
55.0  174.2  2329.0  0.024770547026660514
60.0  182.0  2345.0  0.026491696812397655
65.0  189.4  2357.0  0.028213117516502854
70.0  196.6  2367.0  0.029910198929462173
80.0  210.1  2379.0  0.03326274191945096
90.0  222.9  2384.0  0.03659139243046102
100.0  234.9  2384.0  0.03992054608844924
110.0  246.4  2380.0  0.04334189658978942
120.0  257.3  2374.0  0.04667183304735309
130.0  267.9  2365.0  0.04997049129236174
140.0  278.0  2355.0  0.05330093807804888
150.0  287.7  2343.0  0.05669259210866972
160.0  297.2  2330.0  0.06000066666296301
170.0  306.3  2316.0  0.06342404906658042
180.0  325.6  2302.0  0.06672435837083787
200.0  376.9  2273.0  0.07351911316113655
225.0  417.0  2234.0  0.08191513901593526
250.0  443.0  2196.0  0.09029047568819205
275.0  462.6  2157.0  0.0987519113739071
300.0  479.6  2119.0  0.10731570248570338
325.0  496.1  2082.0  0.11606713574479213
350.0  513.1  2046.0  0.12484073854315346
375.0  531.1  2012.0  0.13359419897585376
400.0  550.3  1978.0  0.1425071226290111
450.0  591.6  1914.0  0.1605072584028523
500.0  636.1  1854.0  0.17864210030113284
550.0  682.7  1798.0  0.19687440158639216
600.0  730.2  1745.0  0.2152707365156723
650.0  777.9  1696.0  0.23367013073989581
700.0  825.3  1650.0  0.25211334752448156
800.0  917.5  1567.0  0.2889825773294992
900.0  1005.0  1493.0  0.3258542772467472
1000.0  1088.0  1426.0  0.36245235548965604
1100.0  1165.0  1367.0  0.3989488689042745
1200.0  1239.0  1313.0  0.4352880999981506
1300.0  1308.0  1264.0  0.47147583183022224
1400.0  1374.0  1219.0  0.5072751620176175
1500.0  1437.0  1177.0  0.5429288535342361
1600.0  1498.0  1139.0  0.5783145424420867
1700.0  1557.0  1104.0  0.6135912483078617
1800.0  1614.0  1071.0  0.6483911319566301
2000.0  1725.0  1012.0  0.7173959018561509
2250.0  1859.0  947.4  0.8020702275985564
2500.0  1991.0  892.1  0.8847488344157342
2750.0  2123.0  843.9  0.9653526764866818
3000.0  2255.0  801.3  1.043204893585148
3250.0  2388.0  763.4  1.1240430685698837
3500.0  2522.0  729.5  1.1950271963432464
3750.0  2657.0  698.9  1.2658309286788658
4000.0  2794.0  671.1  1.3364764307686088
4500.0  3070.0  622.5  1.4676816582624448
5000.0  3349.0  581.3  1.59841432676262
5500.0  3630.0  545.8  1.7092481739057088
6000.0  3909.0  515.0  1.8295381958297563
6500.0  4187.0  487.9  1.9300098574877798
7000.0  4461.0  463.8  2.0302644285905225
8000.0  4997.0  422.9  2.22052482309926
9000.0  5511.0  389.4  2.390630755679346
10000.0  6000.0  361.3  2.5505369963989932
11000.0  6462.0  337.5  2.7003365882793204
12000.0  6898.0  316.9  2.8400876130852017
13000.0  7307.0  298.9  2.969836904612777
14000.0  7691.0  283.1  3.099476112184122
15000.0  8051.0  269.0  3.2191551966315637
16000.0  8387.0  256.4  3.3288923863651707
17000.0  8703.0  245.0  3.4385536058057897
18000.0  8999.0  234.8  3.548192673742507
20000.0  9537.0  216.8  3.7575330271336274
22500.0  10120.0  198.2  4.006736309017603
25000.0  10630.0  182.8  4.236030227701403
27500.0  11080.0  169.8  4.46527304988172
30000.0  11470.0  158.7  4.674641188369435
