#Energy(keV)    dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
10.0  139.0  1718.0  0.008038034585643434
11.0  145.8  1782.0  0.00841011296000238
12.0  152.3  1842.0  0.008865664103720602
13.0  158.5  1898.0  0.009192932067626737
14.0  164.5  1950.0  0.009596874491208062
15.0  170.2  1999.0  0.009924212815130477
16.0  175.8  2046.0  0.010296115772464877
17.0  181.2  2090.0  0.010623558725775464
18.0  186.5  2131.0  0.010951255635770723
20.0  196.6  2209.0  0.011650751048752178
22.5  208.5  2296.0  0.012350303639992016
25.0  219.8  2374.0  0.013134306224540374
27.5  230.5  2445.0  0.01391869246732609
30.0  240.7  2510.0  0.014618481453283719
32.5  250.6  2569.0  0.015275470532851028
35.0  260.0  2624.0  0.015975293424535277
37.5  269.2  2675.0  0.01667513118389178
40.0  278.0  2723.0  0.017332628190785147
45.0  294.9  2809.0  0.018604838080456383
50.0  310.8  2884.0  0.01984666218788439
55.0  326.0  2951.0  0.021077476129745705
60.0  340.5  3012.0  0.022319722220493696
65.0  354.4  3066.0  0.023435016535091245
70.0  367.8  3115.0  0.024550560075077717
80.0  393.1  3201.0  0.026822751536708534
90.0  417.0  3274.0  0.029054775855270335
100.0  439.6  3335.0  0.031200480765526676
110.0  461.0  3388.0  0.03330660595137247
120.0  481.5  3434.0  0.03542386201418473
130.0  501.2  3474.0  0.037443557523290975
140.0  520.1  3508.0  0.039522272201886366
150.0  538.3  3539.0  0.04158136601892728
160.0  556.0  3565.0  0.0435730421246899
170.0  573.1  3589.0  0.0454772470582818
180.0  589.7  3609.0  0.04743089710304877
200.0  621.6  3643.0  0.05132796508726993
225.0  659.3  3675.0  0.056100802133302874
250.0  695.0  3697.0  0.06083658438801442
275.0  728.9  3712.0  0.06554593808925158
300.0  761.3  3721.0  0.07019480037723592
325.0  792.6  3725.0  0.07481697668310315
350.0  823.3  3726.0  0.07940289667260256
375.0  852.9  3724.0  0.08402624589971874
400.0  881.3  3719.0  0.08861348655819835
450.0  934.1  3704.0  0.09773643128332445
500.0  981.8  3683.0  0.10679836141065087
550.0  1025.0  3657.0  0.1158261628476054
600.0  1064.0  3629.0  0.12489107253923318
650.0  1099.0  3600.0  0.13398630527035216
700.0  1131.0  3568.0  0.1430832624732886
800.0  1187.0  3504.0  0.1613060135270846
900.0  1236.0  3438.0  0.17968892564651837
1000.0  1279.0  3373.0  0.19823284288936582
1100.0  1319.0  3309.0  0.21686170708541425
1200.0  1355.0  3247.0  0.23574354710150605
1300.0  1388.0  3187.0  0.25462906354145826
1400.0  1420.0  3128.0  0.2737919465579658
1500.0  1451.0  3072.0  0.2930725848659339
1600.0  1481.0  3018.0  0.3125161435830156
1700.0  1510.0  2966.0  0.3321365080806385
1800.0  1538.0  2915.0  0.35176910040536535
2000.0  1593.0  2820.0  0.391574641671291
2250.0  1660.0  2711.0  0.4420270693068469
2500.0  1727.0  2611.0  0.4928929802705655
2750.0  1792.0  2519.0  0.5443592012632835
3000.0  1858.0  2435.0  0.596192259258706
3250.0  1923.0  2357.0  0.648328211633583
3500.0  1987.0  2285.0  0.7007177534499894
3750.0  2051.0  2218.0  0.753217963142144
4000.0  2115.0  2155.0  0.8057158432102475
4500.0  2240.0  2042.0  0.9111133518942635
5000.0  2363.0  1942.0  1.01637325820783
5500.0  2483.0  1853.0  1.1250634204345995
6000.0  2601.0  1773.0  1.2289776320177679
6500.0  2716.0  1701.0  1.332633633073997
7000.0  2830.0  1636.0  1.4360369493853562
8000.0  3053.0  1521.0  1.632652727924711
9000.0  3272.0  1424.0  1.8283740591027866
10000.0  3489.0  1340.0  2.0231778221402092
11000.0  3704.0  1267.0  2.217270748014324
12000.0  3920.0  1203.0  2.4011011328138596
13000.0  4136.0  1145.0  2.5747054841282333
14000.0  4354.0  1094.0  2.7477083706245105
15000.0  4573.0  1048.0  2.920189206198804
16000.0  4793.0  1006.0  3.0825676991754785
17000.0  5015.0  967.8  3.244489315747549
18000.0  5239.0  932.7  3.3964015266160743
20000.0  5689.0  870.7  3.699238398643699
22500.0  6255.0  805.2  4.042273580548452
25000.0  6821.0  750.0  4.364393314081581
27500.0  7382.0  702.7  4.675596006927886
30000.0  7936.0  661.8  4.956651314143452
