#Energy(keV)    dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
10.0  156.3  2169.0  0.007340980860893183
11.0  163.9  2248.0  0.007647875521999558
12.0  171.2  2321.0  0.007978721702127477
13.0  178.2  2389.0  0.00840119039184329
14.0  184.9  2452.0  0.00873212459828649
15.0  191.4  2511.0  0.00903935838431025
16.0  197.7  2567.0  0.009370165420097982
17.0  203.7  2620.0  0.009701030873056739
18.0  209.7  2670.0  0.009976973488989535
20.0  221.0  2763.0  0.010546563421323554
22.5  234.4  2866.0  0.011276967677527502
25.0  247.1  2959.0  0.012030793822520609
27.5  259.1  3043.0  0.012669254121691616
30.0  270.7  3119.0  0.013300375934536588
32.5  281.7  3189.0  0.013938794782907165
35.0  292.3  3253.0  0.01457737973711325
37.5  302.6  3312.0  0.015186177925995732
40.0  312.5  3367.0  0.015847397262642216
45.0  331.5  3466.0  0.017002352778365707
50.0  349.4  3552.0  0.018157643018850218
55.0  366.5  3629.0  0.01933520105920805
60.0  382.8  3697.0  0.02036884876471913
65.0  398.4  3758.0  0.021431285542402725
70.0  413.4  3812.0  0.0225871644966782
80.0  442.0  3907.0  0.024684205476376998
90.0  468.8  3985.0  0.02668801229016504
100.0  494.2  4051.0  0.028691984943534317
110.0  518.3  4106.0  0.030668876731957433
120.0  541.3  4153.0  0.03257928789890902
130.0  563.4  4193.0  0.034535923326298956
140.0  584.7  4228.0  0.03644639899907809
150.0  605.2  4257.0  0.038309659356355545
160.0  625.1  4282.0  0.04012592678057418
170.0  644.3  4303.0  0.04198952250264345
180.0  663.0  4322.0  0.04385350613120916
200.0  698.9  4350.0  0.047413500187182975
225.0  741.3  4373.0  0.05189614629237898
250.0  781.4  4385.0  0.05637942887259501
275.0  819.5  4390.0  0.06084356991498773
300.0  855.9  4389.0  0.06523296712552634
325.0  890.4  4382.0  0.06960323268354711
350.0  923.8  4372.0  0.07394937457477244
375.0  957.7  4359.0  0.07831513263731346
400.0  991.3  4344.0  0.08259128283299637
450.0  1056.0  4307.0  0.09128658170837596
500.0  1116.0  4265.0  0.09988798726573682
550.0  1172.0  4220.0  0.10849036823607892
600.0  1223.0  4173.0  0.11707544576041554
650.0  1271.0  4125.0  0.12575193835484208
700.0  1316.0  4077.0  0.13441164384085183
800.0  1397.0  3980.0  0.1517564496158236
900.0  1469.0  3884.0  0.1691724859426024
1000.0  1535.0  3792.0  0.1867711166106794
1100.0  1595.0  3703.0  0.20446354198242778
1200.0  1651.0  3619.0  0.2222330533471563
1300.0  1704.0  3538.0  0.24010583083298917
1400.0  1755.0  3460.0  0.25816864643097154
1500.0  1804.0  3386.0  0.27629306904082845
1600.0  1851.0  3316.0  0.29463329750725736
1700.0  1897.0  3249.0  0.3129708293116149
1800.0  1942.0  3185.0  0.3313709250975408
2000.0  2030.0  3065.0  0.3685219260776759
2250.0  2137.0  2928.0  0.41530032506609
2500.0  2240.0  2806.0  0.46234430893004413
2750.0  2341.0  2695.0  0.5096650468690197
3000.0  2439.0  2593.0  0.5570206190079503
3250.0  2535.0  2501.0  0.6044305088262836
3500.0  2628.0  2416.0  0.651927380925207
3750.0  2719.0  2337.0  0.6993645258375635
4000.0  2808.0  2264.0  0.7465964505675071
4500.0  2981.0  2134.0  0.840871119732388
5000.0  3146.0  2020.0  0.9344418708512585
5500.0  3304.0  1919.0  1.0224031787900505
6000.0  3457.0  1830.0  1.1232647639804252
6500.0  3605.0  1750.0  1.2142306411880734
7000.0  3748.0  1677.0  1.295310001505431
8000.0  4026.0  1552.0  1.4768876903813641
9000.0  4294.0  1446.0  1.6483040314213881
10000.0  4556.0  1356.0  1.8096094661556124
11000.0  4815.0  1277.0  1.9706621146203627
12000.0  5072.0  1209.0  2.1314978043619934
13000.0  5329.0  1148.0  2.2822784251707766
14000.0  5587.0  1094.0  2.432904521348916
15000.0  5847.0  1046.0  2.5735109966736105
16000.0  6108.0  1002.0  2.713986081393934
17000.0  6370.0  962.1  2.854333486122461
18000.0  6634.0  925.7  2.9846957918689134
20000.0  7166.0  861.6  3.2353543252633092
22500.0  7834.0  794.2  3.5358910121778355
25000.0  8502.0  737.7  3.8063149803977074
27500.0  9162.0  689.6  4.066505625226652
30000.0  9812.0  648.0  4.306624508823586
