#Energy(keV)    dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
10.0  62.96  1364.0  0.008860586888011427
11.0  66.03  1406.0  0.009313431161500041
12.0  68.97  1443.0  0.009801020355044673
13.0  71.79  1478.0  0.01025426740435415
14.0  74.5  1510.0  0.01078981000759513
15.0  77.11  1539.0  0.011162437009900661
16.0  79.64  1567.0  0.01164989270336856
17.0  82.09  1593.0  0.012055704044144414
18.0  84.47  1617.0  0.012543524225671189
20.0  89.04  1661.0  0.013369741957120937
22.5  94.44  1709.0  0.014392359083902819
25.0  99.55  1752.0  0.01541557653803451
27.5  104.4  1789.0  0.016357567056258702
30.0  109.1  1823.0  0.01729971098024473
32.5  113.5  1853.0  0.018241984541162184
35.0  117.8  1880.0  0.019184368636991942
37.5  121.9  1904.0  0.020126847741263408
40.0  125.9  1926.0  0.02106940910419654
45.0  133.6  1965.0  0.022954738072999224
50.0  140.8  1997.0  0.024679343589325872
55.0  147.7  2024.0  0.026449385626135066
60.0  154.2  2048.0  0.028124011093725587
65.0  160.5  2067.0  0.02984945560642606
70.0  166.6  2084.0  0.03157530680769389
80.0  178.1  2112.0  0.03486029259773933
90.0  188.9  2131.0  0.03822943891819497
100.0  199.1  2146.0  0.04147119482243067
110.0  208.8  2156.0  0.04484116412405013
120.0  218.1  2163.0  0.048052159160645425
130.0  227.0  2167.0  0.05129502899891958
140.0  235.6  2168.0  0.054549885426094166
150.0  243.9  2168.0  0.05779307917043355
160.0  251.9  2167.0  0.061005409596198934
170.0  259.6  2164.0  0.06421806599392417
180.0  267.1  2160.0  0.0674310017721819
200.0  295.6  2150.0  0.07388809105667841
225.0  350.1  2134.0  0.08187411068219307
250.0  381.9  2116.0  0.08974558484961809
275.0  401.7  2096.0  0.09764814386356763
300.0  415.4  2075.0  0.10560724406971334
325.0  426.5  2054.0  0.11365337654465
350.0  436.6  2032.0  0.1216709496963018
375.0  446.8  2010.0  0.1298462937476461
400.0  457.6  1988.0  0.13806802671147295
450.0  481.6  1945.0  0.15455468287955562
500.0  508.9  1903.0  0.1712759177467749
550.0  538.6  1863.0  0.18814425316761607
600.0  570.1  1824.0  0.20512128119724682
650.0  602.6  1787.0  0.22218863607304495
700.0  635.4  1751.0  0.23924723613868562
800.0  700.2  1684.0  0.27364509862228487
900.0  762.5  1623.0  0.3081903470259898
1000.0  821.2  1567.0  0.34280724904820786
1100.0  876.1  1515.0  0.3775083310338992
1200.0  927.5  1467.0  0.4122333562437664
1300.0  975.6  1423.0  0.4470451990570976
1400.0  1021.0  1382.0  0.48188302522500215
1500.0  1064.0  1344.0  0.5168104681602338
1600.0  1105.0  1308.0  0.5516497983322391
1700.0  1145.0  1274.0  0.586634375058264
1800.0  1183.0  1242.0  0.6215406422753061
2000.0  1257.0  1185.0  0.6913543881396863
2250.0  1346.0  1121.0  0.7782289508878477
2500.0  1434.0  1065.0  0.8646669821382102
2750.0  1522.0  1015.0  0.9502116448455049
3000.0  1610.0  970.2  1.0347239100359091
3250.0  1700.0  930.1  1.1206575614343572
3500.0  1791.0  893.7  1.2043877282669397
3750.0  1884.0  860.5  1.278515459429412
4000.0  1979.0  830.1  1.3614471014328835
4500.0  2174.0  776.3  1.517120908167836
5000.0  2375.0  730.1  1.662205390437656
5500.0  2581.0  689.8  1.7967197054632644
6000.0  2790.0  654.4  1.9302396638759654
6500.0  3001.0  623.0  2.062831755136613
7000.0  3214.0  594.9  2.1852031781964807
8000.0  3638.0  546.6  2.409215660749365
9000.0  4055.0  506.4  2.6216372594239656
10000.0  4462.0  472.5  2.813436233505213
11000.0  4855.0  443.4  2.9944956854201674
12000.0  5232.0  418.1  3.165055034276655
13000.0  5592.0  395.9  3.3253183742312555
14000.0  5935.0  376.2  3.475398918109977
15000.0  6262.0  358.6  3.6250132137690203
16000.0  6572.0  342.7  3.755028356750452
17000.0  6866.0  328.4  3.8943370681028626
18000.0  7146.0  315.3  4.02378472709463
20000.0  7663.0  292.4  4.272476744231617
22500.0  8242.0  268.6  4.56082240390919
25000.0  8756.0  248.7  4.829129682458321
27500.0  9219.0  231.8  5.097041455589703
30000.0  9639.0  217.3  5.34520073056195
