#Energy(keV)    dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
10.0  70.57  1815.0  0.0076478755219995575
11.0  74.01  1867.0  0.008104319835741924
12.0  77.3  1914.0  0.008524083528450434
13.0  80.46  1958.0  0.008854942122905152
14.0  83.5  1998.0  0.009311283477587824
15.0  86.43  2035.0  0.009731392500562291
16.0  89.26  2069.0  0.010062305898749055
17.0  92.01  2101.0  0.010482843125793688
18.0  94.68  2131.0  0.010849423947841655
20.0  99.8  2185.0  0.011600862036935016
22.5  105.9  2244.0  0.012567418191498205
25.0  111.6  2296.0  0.013444329659748754
27.5  117.0  2341.0  0.014286707108357756
30.0  122.2  2380.0  0.015163772617656862
32.5  127.2  2416.0  0.01604088526235382
35.0  132.0  2447.0  0.01679345110452286
37.5  136.7  2475.0  0.017670597047072294
40.0  141.1  2501.0  0.01851404871982355
45.0  149.7  2544.0  0.020028230076569422
50.0  157.8  2580.0  0.021658485634965342
55.0  165.5  2610.0  0.02323122898169617
60.0  172.9  2634.0  0.024770547026660514
65.0  179.9  2655.0  0.02625280937347468
70.0  186.7  2672.0  0.02788350767030576
80.0  199.6  2697.0  0.03088138597925942
90.0  211.7  2714.0  0.033871964808673265
100.0  223.2  2724.0  0.03687085569931894
110.0  234.1  2729.0  0.03983892568832649
120.0  244.5  2730.0  0.04274646184188816
130.0  254.4  2728.0  0.04571542409296889
140.0  264.0  2723.0  0.04871560324988289
150.0  273.3  2717.0  0.051685297716081706
160.0  282.3  2709.0  0.05456280784563786
170.0  291.0  2699.0  0.057533120895706676
180.0  299.4  2689.0  0.06053387481402459
200.0  331.0  2666.0  0.06647548420282473
225.0  391.8  2633.0  0.07388172981190952
250.0  428.6  2599.0  0.08128929818862997
275.0  452.7  2564.0  0.08869007836280224
300.0  470.3  2528.0  0.09619272321750748
325.0  485.1  2492.0  0.10366744908600771
350.0  499.0  2457.0  0.1112651787398016
375.0  513.1  2422.0  0.11895717716892916
400.0  528.1  2388.0  0.12662168060802226
450.0  561.1  2322.0  0.14229040726626654
500.0  598.1  2259.0  0.1581217885049369
550.0  638.4  2199.0  0.17414396343255772
600.0  680.8  2143.0  0.19023574848066807
650.0  724.6  2090.0  0.2064437453642033
700.0  769.0  2039.0  0.22270237987053487
800.0  857.4  1946.0  0.2553139244146312
900.0  943.4  1863.0  0.2880711544046019
1000.0  1025.0  1787.0  0.3208551386529441
1100.0  1103.0  1718.0  0.3535786475453517
1200.0  1177.0  1656.0  0.38626087039719675
1300.0  1246.0  1598.0  0.4188839815509779
1400.0  1312.0  1545.0  0.45146709736147994
1500.0  1375.0  1496.0  0.48389710683160736
1600.0  1434.0  1451.0  0.5161746797354555
1700.0  1492.0  1408.0  0.5483406696571029
1800.0  1547.0  1369.0  0.5804507644925623
2000.0  1653.0  1297.0  0.6441870923885389
2250.0  1778.0  1219.0  0.7230428341391677
2500.0  1900.0  1151.0  0.8007140188606666
2750.0  2019.0  1092.0  0.8771297566494938
3000.0  2137.0  1039.0  0.9522113473383942
3250.0  2256.0  992.2  1.0257680439553576
3500.0  2375.0  949.9  1.0935326698366172
3750.0  2496.0  911.5  1.1644568562209594
4000.0  2618.0  876.6  1.2352346254861868
4500.0  2866.0  815.2  1.3667706537674855
5000.0  3119.0  763.0  1.497828094275174
5500.0  3376.0  717.9  1.6187822614545788
6000.0  3635.0  678.6  1.7296429833928155
6500.0  3895.0  643.8  1.8401900472505552
7000.0  4155.0  612.9  1.9407343069055074
8000.0  4671.0  560.2  2.131525090164317
9000.0  5174.0  516.8  2.3118675091795375
10000.0  5661.0  480.4  2.4819642725067577
11000.0  6129.0  449.3  2.6320701396429387
12000.0  6576.0  422.5  2.7720701812905095
13000.0  7002.0  399.0  2.911872691241841
14000.0  7405.0  378.2  3.0416713957954107
15000.0  7788.0  359.8  3.1614972718634444
16000.0  8149.0  343.2  3.2812149594319484
17000.0  8491.0  328.3  3.390990128266374
18000.0  8814.0  314.7  3.5007093809683774
20000.0  9409.0  291.0  3.710166078492983
22500.0  10070.0  266.4  3.959470191831225
25000.0  10640.0  246.0  4.188831189007264
27500.0  11150.0  228.8  4.408193635719738
30000.0  11610.0  214.0  4.627484124229925
