#Energy(keV)    dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
10.0  49.47  1534.0  0.008534049449118513
11.0  51.88  1587.0  0.009021640649017228
12.0  54.19  1635.0  0.009475230867899738
13.0  56.4  1681.0  0.009881801455200363
14.0  58.53  1723.0  0.01033537614216338
15.0  60.59  1762.0  0.010707940978544848
16.0  62.57  1799.0  0.011114854924829205
17.0  64.5  1834.0  0.011520850663036998
18.0  66.37  1867.0  0.011893275410920239
20.0  69.96  1928.0  0.01267320006943787
22.5  74.2  1996.0  0.013533292282367953
25.0  78.22  2056.0  0.014429483705247392
27.5  82.03  2111.0  0.01525647403563484
30.0  85.68  2160.0  0.01619907404761149
32.5  89.18  2204.0  0.017013524032369075
35.0  92.55  2245.0  0.017795505050433383
37.5  95.79  2283.0  0.01865529415474331
40.0  98.94  2318.0  0.01935432768142567
45.0  104.9  2380.0  0.020951849560361016
50.0  110.6  2434.0  0.022478434109163385
55.0  116.0  2481.0  0.023992915621074487
60.0  121.2  2523.0  0.025391730937452846
65.0  126.1  2559.0  0.026830952275310693
70.0  130.9  2592.0  0.02823012575246522
80.0  139.9  2648.0  0.031101286147039
90.0  148.4  2694.0  0.033857052441108926
100.0  156.4  2732.0  0.036582236126294965
110.0  164.1  2762.0  0.03925378962597115
120.0  171.4  2788.0  0.04188305146476317
130.0  178.4  2809.0  0.04460952813021003
140.0  185.1  2827.0  0.04720900337859295
150.0  191.6  2841.0  0.049839141244608136
160.0  197.9  2853.0  0.052353509910988784
170.0  204.0  2862.0  0.05495388976223612
180.0  209.9  2870.0  0.05755458278886226
200.0  221.2  2880.0  0.06267056725449356
225.0  234.7  2886.0  0.06911635117683804
250.0  247.3  2886.0  0.07555170415020432
275.0  286.3  2881.0  0.08199932926554948
300.0  327.0  2873.0  0.08828017897580408
325.0  354.1  2862.0  0.09457330490154185
350.0  372.5  2850.0  0.10085578813335407
375.0  385.6  2836.0  0.10715022165166062
400.0  395.6  2820.0  0.11352118744974439
450.0  411.4  2787.0  0.1262482079080729
500.0  425.9  2752.0  0.13906527244427347
550.0  441.2  2716.0  0.1520991124234458
600.0  458.2  2679.0  0.16522281924722143
650.0  476.9  2642.0  0.17848621795533684
700.0  497.2  2606.0  0.19187845110902893
800.0  541.7  2535.0  0.21883340695606787
900.0  589.5  2467.0  0.24611174291366109
1000.0  638.9  2402.0  0.27359990862571576
1100.0  688.5  2341.0  0.30132356363218593
1200.0  737.6  2283.0  0.3292199416803302
1300.0  785.6  2228.0  0.35723842178578724
1400.0  832.1  2176.0  0.3854307071316451
1500.0  877.1  2127.0  0.4136463948833593
1600.0  920.5  2080.0  0.4420473617159139
1700.0  962.3  2035.0  0.4704179099481651
1800.0  1003.0  1993.0  0.4989388138840273
2000.0  1079.0  1915.0  0.5561379415217056
2250.0  1167.0  1826.0  0.6280368540141573
2500.0  1249.0  1747.0  0.7001135336500789
2750.0  1326.0  1676.0  0.7723040463444433
3000.0  1400.0  1611.0  0.8445790312339041
3250.0  1471.0  1552.0  0.916858315117445
3500.0  1540.0  1498.0  0.9890455196804645
3750.0  1608.0  1448.0  1.060996569268723
4000.0  1675.0  1402.0  1.1353331493442795
4500.0  1809.0  1319.0  1.272419867810936
5000.0  1944.0  1248.0  1.4180578902146415
5500.0  2081.0  1185.0  1.5537719298532844
6000.0  2221.0  1129.0  1.6887605306851532
6500.0  2364.0  1079.0  1.8231497634588334
7000.0  2511.0  1033.0  1.9475139126589058
8000.0  2810.0  955.0  2.1945826983734285
9000.0  3117.0  889.3  2.43021043533271
10000.0  3428.0  833.2  2.654622031476421
11000.0  3740.0  784.8  2.8585527666985615
12000.0  4050.0  742.4  3.0612497447937828
13000.0  4357.0  704.9  3.2438191518640496
14000.0  4659.0  671.5  3.4255089913763177
15000.0  4954.0  641.6  3.5969038699970843
16000.0  5243.0  614.5  3.758082362056478
17000.0  5523.0  589.9  3.909121856632254
18000.0  5795.0  567.5  4.0596901766021505
20000.0  6315.0  528.0  4.350246012583656
22500.0  6916.0  486.5  4.680543315684623
25000.0  7468.0  451.7  4.990234852188823
27500.0  7974.0  422.2  5.2796337079384585
30000.0  8439.0  396.6  5.558664775825216
