#Energy(keV)    dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
10.0  136.5  1580.0  0.011615937327654622
11.0  143.1  1644.0  0.012135073135337916
12.0  149.5  1705.0  0.012654248298496438
13.0  155.6  1762.0  0.013173458164050926
14.0  161.5  1815.0  0.013676987972503302
15.0  167.1  1866.0  0.014099645385611655
16.0  172.6  1914.0  0.014618823482072696
17.0  177.9  1959.0  0.015025977505640024
18.0  183.1  2003.0  0.015427572718998929
20.0  193.0  2084.0  0.016353898617760845
22.5  204.7  2176.0  0.01729566419655516
25.0  215.8  2260.0  0.018298087331740442
27.5  226.3  2336.0  0.019224463581593118
30.0  236.4  2407.0  0.020166060596953486
32.5  246.0  2472.0  0.021072256642324764
35.0  255.3  2533.0  0.021901826407859232
37.5  264.3  2589.0  0.022711450856341173
40.0  272.9  2643.0  0.023521266972678152
45.0  289.5  2740.0  0.02517558340932738
50.0  305.1  2826.0  0.02669868910639622
55.0  320.0  2905.0  0.028241104794253357
60.0  334.3  2975.0  0.029667490625261857
65.0  347.9  3040.0  0.031094050877941266
70.0  361.1  3100.0  0.03242360251421794
80.0  386.0  3205.0  0.03518380309176369
90.0  409.4  3296.0  0.03772770865027454
100.0  431.5  3376.0  0.04027555089629439
110.0  452.6  3446.0  0.04283795046451219
120.0  472.7  3508.0  0.045173664894493565
130.0  492.0  3563.0  0.04762446850097122
140.0  510.6  3613.0  0.04996058446415534
150.0  528.5  3657.0  0.05219942528419255
160.0  545.9  3698.0  0.054552910096529225
170.0  562.7  3735.0  0.056791900831016394
180.0  579.0  3768.0  0.059031008800460125
200.0  610.3  3826.0  0.06339794949365476
225.0  647.3  3886.0  0.06868842697281691
250.0  682.3  3934.0  0.07396560011248472
275.0  715.6  3973.0  0.07915908033826569
300.0  747.5  4005.0  0.08424137938091945
325.0  778.0  4030.0  0.08921042539972557
350.0  807.4  4050.0  0.09429321290527756
375.0  835.7  4066.0  0.09916496357080964
400.0  863.1  4079.0  0.10403696458470904
450.0  915.5  4094.0  0.11378343464670067
500.0  1020.0  4101.0  0.12331950372913443
550.0  1120.0  4100.0  0.13264531654001205
600.0  1195.0  4094.0  0.14186084731172305
650.0  1253.0  4084.0  0.15097883957694203
700.0  1298.0  4070.0  0.15999909374743349
800.0  1364.0  4036.0  0.17802657105050357
900.0  1410.0  3995.0  0.1960431075044466
1000.0  1448.0  3949.0  0.21396254345095078
1100.0  1481.0  3902.0  0.23206621899794033
1200.0  1513.0  3853.0  0.25014597738120836
1300.0  1544.0  3803.0  0.2683386107141497
1400.0  1575.0  3754.0  0.28653092328752233
1500.0  1608.0  3705.0  0.3049095931583656
1600.0  1641.0  3656.0  0.32328923582451674
1700.0  1674.0  3608.0  0.341658382013379
1800.0  1709.0  3561.0  0.3602244994444437
2000.0  1780.0  3470.0  0.3973834546127959
2250.0  1872.0  3362.0  0.4440044706982127
2500.0  1965.0  3260.0  0.49071461156154705
2750.0  2058.0  3165.0  0.5375923176534427
3000.0  2150.0  3076.0  0.5844503999485328
3250.0  2241.0  2992.0  0.6313114128542269
3500.0  2329.0  2913.0  0.6781426251165753
3750.0  2415.0  2839.0  0.7248667877617239
4000.0  2499.0  2769.0  0.7714631423470599
4500.0  2656.0  2641.0  0.8644869576806813
5000.0  2802.0  2525.0  0.9569615927507227
5500.0  2937.0  2421.0  1.0499684995274858
6000.0  3060.0  2327.0  1.1404671762045586
6500.0  3173.0  2241.0  1.230914818336346
7000.0  3277.0  2162.0  1.3213408530731199
8000.0  3462.0  2022.0  1.5021997270669436
9000.0  3620.0  1902.0  1.6829512440947303
10000.0  3758.0  1798.0  1.863607901356935
