#Energy(keV)    dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
10.0  79.77  784.5  0.011511298797268707
11.0  83.66  797.5  0.012292273996295396
12.0  87.38  808.9  0.013073255141700556
13.0  90.95  818.8  0.01380326048439281
14.0  94.38  827.6  0.014546820958546236
15.0  97.69  835.3  0.015327752607606897
16.0  100.9  842.1  0.01598030037264632
17.0  104.0  848.2  0.016723934943666818
18.0  107.0  853.5  0.017454225849346628
20.0  112.8  862.6  0.018850464185266102
22.5  119.6  871.2  0.020568422399396605
25.0  126.1  877.6  0.022323754164566497
27.5  132.3  882.3  0.024042254469995115
30.0  138.2  885.5  0.02581046299468493
32.5  143.8  887.6  0.027529257163970117
35.0  149.2  888.8  0.029169333211439715
37.5  154.5  889.3  0.030839260691527613
40.0  159.5  889.1  0.03255856262183575
45.0  169.2  887.3  0.03588175023601831
50.0  178.4  884.1  0.03919285649196803
55.0  187.1  879.8  0.04255267324152502
60.0  195.4  874.8  0.045828157283486756
65.0  203.4  869.2  0.04922001625355279
70.0  211.0  863.3  0.05249628558288672
80.0  225.6  850.8  0.05913290116339634
90.0  239.3  837.8  0.06588330592798149
100.0  261.9  824.7  0.07251868724680557
110.0  294.9  811.7  0.07906212746947808
120.0  323.9  798.9  0.0855593945747631
130.0  349.7  786.5  0.0920222255762161
140.0  372.9  774.3  0.09832303900917629
150.0  393.8  762.6  0.10465973437764879
160.0  412.9  751.2  0.11096202052954876
170.0  430.5  740.2  0.11721932434543376
180.0  446.6  729.5  0.12357014202468168
200.0  475.5  709.3  0.13600897029240389
225.0  506.6  685.8  0.15172643144818243
250.0  533.6  664.1  0.1673811219940887
275.0  557.5  644.1  0.1830365537262981
300.0  578.9  625.5  0.1987811107726285
325.0  598.6  608.2  0.2146219932812106
350.0  616.8  592.1  0.2304260835929822
375.0  634.0  577.0  0.2462448172043424
400.0  650.2  562.8  0.26218676549360764
450.0  680.9  537.0  0.29406647207731795
500.0  709.9  513.9  0.32610927616368107
550.0  737.8  493.2  0.35822303108538406
600.0  765.3  474.4  0.3902131468825724
650.0  792.6  457.3  0.42212019615270724
700.0  819.9  441.7  0.4540553820846087
800.0  875.2  414.0  0.5171894527153469
900.0  931.7  390.2  0.5794202015808562
1000.0  989.5  369.5  0.6404849568881381
1100.0  1049.0  351.3  0.7002469921392023
1200.0  1109.0  335.0  0.7585260839285621
1300.0  1170.0  320.5  0.8153925373708053
1400.0  1231.0  307.4  0.8708183564900318
1500.0  1294.0  295.5  0.9247443430483909
1600.0  1356.0  284.6  0.9772353861787857
1700.0  1419.0  274.7  1.028259626748031
1800.0  1482.0  265.5  1.0779984879395703
2000.0  1608.0  249.1  1.1697465580201551
2250.0  1764.0  231.7  1.2829612386974127
2500.0  1919.0  216.9  1.3949538522832934
2750.0  2072.0  204.1  1.4967418782141428
3000.0  2222.0  192.9  1.5884116846712002
3250.0  2369.0  183.1  1.6793574128219402
3500.0  2513.0  174.3  1.7604583550882424
3750.0  2654.0  166.5  1.8410558383710147
4000.0  2792.0  159.4  1.9212892676533642
4500.0  3058.0  147.1  2.0714591499713433
5000.0  3311.0  136.8  2.211246784056452
5500.0  3551.0  128.0  2.340865929522663
6000.0  3778.0  120.3  2.4603961327396044
6500.0  3994.0  113.7  2.579592622876721
7000.0  4198.0  107.8  2.6888734611357226
8000.0  4575.0  97.85  2.897260060816081
9000.0  4913.0  89.76  3.0953968097806137
10000.0  5217.0  83.02  3.283488087385121
11000.0  5490.0  77.33  3.4616870294698794
12000.0  5738.0  72.43  3.629987549565425
13000.0  5962.0  68.18  3.788439132413242
14000.0  6166.0  64.45  3.946815121081807
15000.0  6352.0  61.14  4.095382161654759
16000.0  6523.0  58.18  4.243922621820525
17000.0  6680.0  55.53  4.392436555034119
18000.0  6826.0  53.13  4.540950495215732
20000.0  7086.0  48.95  4.818471671598787
22500.0  7363.0  44.64  5.145808051219944
25000.0  7598.0  41.08  5.473205707809638
27500.0  7799.0  38.09  5.790824007859332
30000.0  7972.0  35.55  6.098665863941063
