# Energy(keV)    dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
9.999990e-03  1.223000e+00  2.709000e+01  5.000000e-04
1.099990e-02  1.283000e+00  2.874000e+01  5.000000e-04
1.199990e-02  1.340000e+00  3.033000e+01  5.000000e-04
1.299990e-02  1.395000e+00  3.187000e+01  6.000000e-04
1.399990e-02  1.447000e+00  3.335000e+01  6.000000e-04
1.499990e-02  1.498000e+00  3.479000e+01  6.000000e-04
1.599990e-02  1.547000e+00  3.618000e+01  6.000000e-04
1.699990e-02  1.595000e+00  3.754000e+01  6.000000e-04
1.799990e-02  1.641000e+00  3.886000e+01  6.000000e-04
1.999990e-02  1.730000e+00  4.140000e+01  7.000000e-04
2.249990e-02  1.835000e+00  4.443000e+01  7.000000e-04
2.499990e-02  1.934000e+00  4.730000e+01  7.000000e-04
2.749990e-02  2.029000e+00  5.004000e+01  8.000000e-04
2.999990e-02  2.119000e+00  5.267000e+01  8.000000e-04
3.249990e-02  2.205000e+00  5.519000e+01  8.000000e-04
3.499990e-02  2.288000e+00  5.762000e+01  8.000000e-04
3.749990e-02  2.369000e+00  5.997000e+01  8.000000e-04
3.999990e-02  2.446000e+00  6.224000e+01  9.000000e-04
4.499990e-02  2.595000e+00  6.658000e+01  9.000000e-04
4.999990e-02  2.735000e+00  7.069000e+01  1.000000e-03
5.499990e-02  2.869000e+00  7.459000e+01  1.000000e-03
5.999990e-02  2.996000e+00  7.831000e+01  1.000000e-03
6.499990e-02  3.119000e+00  8.188000e+01  1.100000e-03
6.999990e-02  3.236000e+00  8.530000e+01  1.100000e-03
7.999990e-02  3.460000e+00  9.178000e+01  1.200000e-03
8.999990e-02  3.670000e+00  9.784000e+01  1.200000e-03
9.999990e-02  3.868000e+00  1.035000e+02  1.300000e-03
1.100000e-01  4.057000e+00  1.089000e+02  1.300000e-03
1.200000e-01  4.237000e+00  1.140000e+02  1.400000e-03
1.300000e-01  4.410000e+00  1.189000e+02  1.400000e-03
1.399990e-01  4.577000e+00  1.236000e+02  1.500000e-03
1.499990e-01  4.738000e+00  1.281000e+02  1.500000e-03
1.599990e-01  4.893000e+00  1.324000e+02  1.600000e-03
1.699990e-01  5.044000e+00  1.365000e+02  1.600000e-03
1.799990e-01  5.190000e+00  1.405000e+02  1.600000e-03
1.999990e-01  5.470000e+00  1.481000e+02  1.700000e-03
2.249990e-01  5.802000e+00  1.570000e+02  1.800000e-03
2.499990e-01  6.116000e+00  1.653000e+02  1.900000e-03
2.749990e-01  6.415000e+00  1.731000e+02  2.000000e-03
2.999990e-01  6.700000e+00  1.804000e+02  2.100000e-03
3.249990e-01  6.974000e+00  1.874000e+02  2.200000e-03
3.499990e-01  7.237000e+00  1.940000e+02  2.200000e-03
3.749990e-01  7.491000e+00  2.002000e+02  2.300000e-03
3.999990e-01  7.736000e+00  2.062000e+02  2.400000e-03
4.499990e-01  8.206000e+00  2.175000e+02  2.500000e-03
4.999990e-01  8.650000e+00  2.279000e+02  2.700000e-03
5.499990e-01  9.072000e+00  2.376000e+02  2.800000e-03
5.999990e-01  9.475000e+00  2.467000e+02  2.900000e-03
6.499990e-01  9.862000e+00  2.552000e+02  3.000000e-03
6.999990e-01  1.023000e+01  2.632000e+02  3.200000e-03
7.999990e-01  1.094000e+01  2.781000e+02  3.400000e-03
8.999990e-01  1.160000e+01  2.915000e+02  3.600000e-03
9.999990e-01  1.223000e+01  3.039000e+02  3.800000e-03
1.100000e+00  1.283000e+01  3.152000e+02  4.000000e-03
1.200000e+00  1.340000e+01  3.257000e+02  4.200000e-03
1.300000e+00  1.395000e+01  3.355000e+02  4.400000e-03
1.400000e+00  1.447000e+01  3.447000e+02  4.600000e-03
1.500000e+00  1.498000e+01  3.533000e+02  4.800000e-03
1.600000e+00  1.547000e+01  3.615000e+02  4.900000e-03
1.700000e+00  1.595000e+01  3.691000e+02  5.100000e-03
1.800000e+00  1.641000e+01  3.764000e+02  5.300000e-03
2.000000e+00  1.730000e+01  3.899000e+02  5.600000e-03
2.250000e+00  1.835000e+01  4.051000e+02  6.000000e-03
2.500000e+00  1.934000e+01  4.188000e+02  6.400000e-03
2.750000e+00  2.029000e+01  4.312000e+02  6.800000e-03
3.000000e+00  2.119000e+01  4.424000e+02  7.200000e-03
3.250000e+00  2.205000e+01  4.528000e+02  7.500000e-03
3.500000e+00  2.288000e+01  4.623000e+02  7.900000e-03
3.750000e+00  2.369000e+01  4.711000e+02  8.300000e-03
4.000000e+00  2.446000e+01  4.794000e+02  8.600000e-03
4.500000e+00  2.595000e+01  4.942000e+02  9.300000e-03
5.000000e+00  2.735000e+01  5.072000e+02  1.000000e-02
5.500000e+00  2.869000e+01  5.188000e+02  1.060000e-02
6.000000e+00  2.996000e+01  5.291000e+02  1.130000e-02
6.500000e+00  3.119000e+01  5.384000e+02  1.190000e-02
7.000000e+00  3.236000e+01  5.469000e+02  1.250000e-02
8.000000e+00  3.460000e+01  5.615000e+02  1.370000e-02
9.000000e+00  3.670000e+01  5.738000e+02  1.490000e-02
1.000000e+01  3.868000e+01  5.842000e+02  1.610000e-02
1.100000e+01  4.057000e+01  5.931000e+02  1.730000e-02
1.200000e+01  4.237000e+01  6.007000e+02  1.840000e-02
1.300000e+01  4.410000e+01  6.073000e+02  1.960000e-02
1.400000e+01  4.577000e+01  6.130000e+02  2.070000e-02
1.500000e+01  4.738000e+01  6.180000e+02  2.180000e-02
1.600000e+01  4.893000e+01  6.223000e+02  2.290000e-02
1.700000e+01  5.044000e+01  6.261000e+02  2.400000e-02
1.800000e+01  5.190000e+01  6.294000e+02  2.520000e-02
2.000000e+01  5.471000e+01  6.347000e+02  2.740000e-02
2.250000e+01  5.802000e+01  6.395000e+02  3.010000e-02
2.500000e+01  6.116000e+01  6.426000e+02  3.280000e-02
2.750000e+01  6.415000e+01  6.445000e+02  3.550000e-02
3.000000e+01  6.700000e+01  6.455000e+02  3.820000e-02
3.250000e+01  6.974000e+01  6.456000e+02  4.090000e-02
3.500000e+01  7.237000e+01  6.452000e+02  4.360000e-02
3.750000e+01  7.491000e+01  6.442000e+02  4.630000e-02
4.000000e+01  7.737000e+01  6.428000e+02  4.910000e-02
4.500000e+01  8.206000e+01  6.391000e+02  5.450000e-02
5.000000e+01  8.650000e+01  6.344000e+02  6.000000e-02
5.500000e+01  9.072000e+01  6.291000e+02  6.550000e-02
6.000000e+01  9.475000e+01  6.233000e+02  7.100000e-02
6.500000e+01  9.862000e+01  6.173000e+02  7.660000e-02
7.000000e+01  1.023000e+02  6.111000e+02  8.220000e-02
8.000000e+01  1.094000e+02  5.984000e+02  9.360000e-02
9.000000e+01  1.160000e+02  5.857000e+02  1.052000e-01
1.000000e+02  1.310000e+02  5.732000e+02  1.168000e-01
1.100000e+02  1.527000e+02  5.611000e+02  1.284000e-01
1.200000e+02  1.686000e+02  5.494000e+02  1.399000e-01
1.300000e+02  1.807000e+02  5.381000e+02  1.514000e-01
1.400000e+02  1.904000e+02  5.272000e+02  1.630000e-01
1.500000e+02  1.986000e+02  5.168000e+02  1.746000e-01
