#Energy(keV)    dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
10.0  110.0  823.0  0.011051244273836318
11.0  115.3  837.6  0.011666619047521865
12.0  120.5  850.4  0.012447489706764172
13.0  125.4  861.7  0.013178011989674316
14.0  130.1  871.6  0.01379347671908718
15.0  134.7  880.5  0.014537537618180048
16.0  139.1  888.4  0.015189799208679489
17.0  143.4  895.5  0.015883954167649816
18.0  147.5  901.9  0.016536323654307208
20.0  155.5  912.7  0.01784656829757475
22.5  164.9  923.3  0.019486662105142584
25.0  173.9  931.4  0.021077713348463586
27.5  182.4  937.6  0.02268149025086315
30.0  190.5  942.3  0.024272824310326974
32.5  198.2  945.6  0.025828279075463006
35.0  205.7  948.0  0.027304212129266796
37.5  213.0  949.4  0.028896020487257416
40.0  219.9  950.2  0.0303720266034389
45.0  233.3  950.0  0.03340434103526067
50.0  245.9  948.1  0.03642499142072651
55.0  257.9  945.0  0.03945795230368652
60.0  269.4  940.9  0.04244396305718871
65.0  280.4  936.2  0.04547746694792928
70.0  290.9  930.9  0.0483831582268045
80.0  311.0  919.4  0.054357428195233815
90.0  329.9  907.2  0.06025130703976471
100.0  347.8  894.5  0.0661466552442374
110.0  366.6  881.8  0.07208918088035125
120.0  384.7  869.2  0.07802115097843662
130.0  401.5  856.8  0.08383728287581844
140.0  417.2  844.6  0.08973633600721617
150.0  431.8  832.7  0.09571865022032018
160.0  445.6  821.1  0.10157425855008739
170.0  458.5  809.9  0.10744142590267498
180.0  470.7  798.9  0.11338139177131316
200.0  493.0  778.0  0.12526364197164316
225.0  517.7  753.6  0.14011174112114946
250.0  539.7  731.0  0.15508787831419965
275.0  559.5  709.9  0.1701522553479677
300.0  577.6  690.3  0.1852620576372831
325.0  594.4  672.0  0.20054493262109616
350.0  610.1  654.9  0.21578966611031217
375.0  625.0  638.8  0.2311761665916277
400.0  639.3  623.7  0.2465983982105318
450.0  666.5  596.0  0.2776403969165871
500.0  692.6  571.2  0.30884275934526945
550.0  718.2  548.9  0.3401920927946445
600.0  743.6  528.6  0.3715230679244561
650.0  769.2  510.0  0.40293236405133803
700.0  795.0  493.0  0.434209177701255
800.0  848.1  462.9  0.49644652279978757
900.0  903.3  436.8  0.5578549453038846
1000.0  960.8  414.1  0.6182410775741127
1100.0  1020.0  394.1  0.6773434653113588
1200.0  1082.0  376.2  0.7350419988000686
1300.0  1145.0  360.2  0.7914091482918302
1400.0  1209.0  345.7  0.846148716243191
1500.0  1275.0  332.5  0.8994089948405009
1600.0  1341.0  320.5  0.9511670200338109
1700.0  1408.0  309.5  1.001452575012916
1800.0  1476.0  299.3  1.0502657473230286
2000.0  1613.0  281.1  1.1477726821980039
2250.0  1785.0  261.7  1.2518209656336643
2500.0  1958.0  245.2  1.3545316016985356
2750.0  2129.0  230.9  1.456161615343572
3000.0  2298.0  218.4  1.547671315234601
3250.0  2465.0  207.3  1.6291031919433465
3500.0  2629.0  197.5  1.709967140035153
3750.0  2790.0  188.7  1.7903598074130238
4000.0  2948.0  180.8  1.8609420007082433
4500.0  3252.0  166.9  2.0011712195611846
5000.0  3541.0  155.3  2.130992656017378
5500.0  3815.0  145.4  2.2506076712745826
6000.0  4074.0  136.8  2.3602089081265665
6500.0  4318.0  129.3  2.46938750705514
7000.0  4549.0  122.6  2.578287749650919
8000.0  4971.0  111.4  2.7667546638616156
9000.0  5345.0  102.2  2.9449994023768498
10000.0  5677.0  94.62  3.1132154342415816
11000.0  5972.0  88.16  3.281182038534284
12000.0  6235.0  82.62  3.4296419200843693
13000.0  6471.0  77.79  3.577974523386102
14000.0  6683.0  73.55  3.726247039582856
15000.0  6874.0  69.79  3.864733710102159
16000.0  7048.0  66.44  4.003209958270988
17000.0  7206.0  63.42  4.141670728099953
18000.0  7351.0  60.69  4.270355828265368
20000.0  7608.0  55.94  4.5278224048652795
22500.0  7878.0  51.03  4.8448652076193
25000.0  8105.0  46.98  5.152173196817048
27500.0  8299.0  43.58  5.439904941265059
30000.0  8465.0  40.67  5.7375900385092
