#Energy(keV)    dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
10.0  100.6  790.5  0.01120490963818986
11.0  105.5  805.4  0.0119858249611781
12.0  110.2  818.5  0.0126763559432512
13.0  114.7  830.2  0.013380956617521783
14.0  119.1  840.5  0.014109925584495475
15.0  123.2  849.8  0.014776332427229703
16.0  127.3  858.1  0.015505482901219168
17.0  131.2  865.6  0.016120173696334665
18.0  135.0  872.4  0.01690118339052032
20.0  142.3  884.0  0.01816865432551349
22.5  150.9  895.7  0.019807826735914268
25.0  159.1  904.9  0.021409577296154166
27.5  166.9  912.1  0.022998478210525145
30.0  174.3  917.7  0.02463818175109519
32.5  181.4  922.0  0.026190647185588983
35.0  188.3  925.3  0.02775229720221373
37.5  194.9  927.7  0.029305289624912426
40.0  201.3  929.3  0.030817040740473447
45.0  213.5  930.8  0.033931990805138444
50.0  225.0  930.5  0.03696119586809929
55.0  236.0  928.7  0.04002761546732456
60.0  246.5  926.0  0.042978715662523
65.0  256.6  922.5  0.04599717382622546
70.0  266.2  918.4  0.04894874870719373
80.0  284.6  909.0  0.054964079179042016
90.0  301.9  898.5  0.06093652435116397
100.0  318.2  887.5  0.0669543874589261
110.0  338.2  876.2  0.07284531556661691
120.0  356.5  864.8  0.07881801824456133
130.0  372.5  853.5  0.08467549822705503
140.0  387.0  842.3  0.09064998621069945
150.0  400.4  831.3  0.09662515200505507
160.0  413.1  820.5  0.10251994927817708
170.0  425.2  810.0  0.10854353965114645
180.0  436.9  799.7  0.11447466968722819
200.0  459.0  779.9  0.12643437032705943
225.0  484.2  756.7  0.1413792771236294
250.0  507.2  734.9  0.15653926025122258
275.0  528.4  714.6  0.1716643818618178
300.0  548.0  695.6  0.18679448599998877
325.0  566.4  677.8  0.2020959673026654
350.0  583.8  661.1  0.2174422682000903
375.0  600.4  645.4  0.2328341899292284
400.0  616.4  630.5  0.24819776389000767
450.0  647.1  603.3  0.2791297368608368
500.0  676.7  578.7  0.31018555736848874
550.0  705.7  556.6  0.3412289993538064
600.0  734.5  536.4  0.3722521457292086
650.0  763.2  517.9  0.4031938119564833
700.0  792.1  500.9  0.43407190648554994
800.0  850.8  470.7  0.4952729045687842
900.0  910.9  444.6  0.5554054104885908
1000.0  972.3  421.8  0.6144236486334165
1100.0  1035.0  401.6  0.6722073043340127
1200.0  1099.0  383.6  0.7284662861107575
1300.0  1164.0  367.4  0.7833032873670326
1400.0  1230.0  352.8  0.8367192300885644
1500.0  1297.0  339.5  0.8886870484034298
1600.0  1364.0  327.3  0.9392138095236889
1700.0  1432.0  316.1  0.988295168459302
1800.0  1500.0  305.8  1.0359974179504503
2000.0  1638.0  287.3  1.130592349169231
2250.0  1811.0  267.6  1.2344214029252731
2500.0  1983.0  250.8  1.336881243790936
2750.0  2155.0  236.3  1.4290509193167331
3000.0  2325.0  223.6  1.520359671262034
3250.0  2493.0  212.3  1.6016717922221144
3500.0  2657.0  202.3  1.6823894555066614
3750.0  2819.0  193.3  1.7626630449408076
4000.0  2976.0  185.2  1.833173597889736
4500.0  3280.0  171.1  1.9732360654518761
5000.0  3569.0  159.2  2.1029129059473672
5500.0  3841.0  149.1  2.2129563777896752
6000.0  4098.0  140.3  2.3319412170978926
6500.0  4340.0  132.6  2.4410785423660584
7000.0  4567.0  125.8  2.540330429294583
8000.0  4982.0  114.3  2.7286989152341454
9000.0  5348.0  105.0  2.9068643879617087
10000.0  5673.0  97.15  3.0749979593489165
