#Energy(keV)    dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
10.0  162.9  2247.0  0.0073769912566031964
11.0  170.8  2333.0  0.007707788269017255
12.0  178.4  2413.0  0.008038656604184558
13.0  185.7  2488.0  0.008438601779915912
14.0  192.7  2559.0  0.008769264507357502
15.0  199.5  2625.0  0.0091
16.0  206.0  2687.0  0.009315578350268973
17.0  212.4  2746.0  0.009615612304996494
18.0  218.5  2802.0  0.009923708984044223
20.0  230.4  2907.0  0.010584894897919393
22.5  244.3  3025.0  0.011223635774560755
25.0  257.6  3131.0  0.011832582135780848
27.5  270.1  3227.0  0.012493598360760604
30.0  282.1  3316.0  0.013132402674301456
32.5  293.7  3397.0  0.013741906709041508
35.0  304.8  3472.0  0.014380890097626086
37.5  315.4  3542.0  0.01491945039202182
40.0  325.8  3607.0  0.015529649062358106
45.0  345.6  3724.0  0.016592166826548002
50.0  364.2  3828.0  0.01774823934929885
55.0  382.0  3921.0  0.018782971010998233
60.0  399.0  4005.0  0.019845654436173178
65.0  415.3  4080.0  0.020787015177749786
70.0  431.0  4149.0  0.021849713956937744
80.0  460.7  4269.0  0.02373288857261164
90.0  488.7  4371.0  0.025622451092742863
100.0  515.1  4458.0  0.02750618112352204
110.0  540.3  4533.0  0.02927541630788536
120.0  564.3  4598.0  0.031044967386035377
130.0  587.3  4656.0  0.03283504225671104
140.0  609.5  4706.0  0.034604912945996553
150.0  630.9  4750.0  0.03628043549903998
160.0  651.6  4789.0  0.037930594511554915
170.0  671.7  4824.0  0.039606312628165725
180.0  691.1  4855.0  0.04128207843604777
200.0  728.5  4906.0  0.04460874353756224
225.0  772.7  4956.0  0.0486446297138749
250.0  814.5  4991.0  0.052591349098497185
275.0  854.3  5017.0  0.056533529873872196
300.0  892.3  5034.0  0.06050008264457166
325.0  928.7  5045.0  0.06432876495005947
350.0  963.7  5050.0  0.06815790489737783
375.0  1017.0  5051.0  0.07200597197455222
400.0  1103.0  5049.0  0.07581240004115422
450.0  1224.0  5034.0  0.08328169066487544
500.0  1303.0  5011.0  0.09070589837491275
550.0  1358.0  4982.0  0.09805804403515299
600.0  1400.0  4948.0  0.10537048922729743
650.0  1436.0  4911.0  0.11277982975692064
700.0  1469.0  4872.0  0.12009408811427813
800.0  1533.0  4790.0  0.13493828218856205
900.0  1600.0  4704.0  0.14983771220890954
1000.0  1671.0  4619.0  0.1647438617976403
1100.0  1745.0  4534.0  0.17974373424406206
1200.0  1820.0  4451.0  0.1948253063644454
1300.0  1895.0  4370.0  0.2098881130507395
1400.0  1970.0  4291.0  0.22495257277924163
1500.0  2044.0  4215.0  0.24007934105207807
1600.0  2116.0  4142.0  0.25524333487869966
1700.0  2186.0  4071.0  0.2703536202827697
1800.0  2254.0  4002.0  0.2855972513873339
2000.0  2383.0  3872.0  0.3160187810874537
2250.0  2530.0  3722.0  0.35410063541315484
2500.0  2663.0  3585.0  0.3922298943221947
2750.0  2784.0  3459.0  0.43052665422712216
3000.0  2892.0  3343.0  0.4687788817768992
3250.0  2992.0  3236.0  0.5071966088214708
3500.0  3083.0  3136.0  0.5457031610683596
3750.0  3167.0  3044.0  0.5843759748654971
4000.0  3246.0  2957.0  0.6230372300272272
4500.0  3391.0  2801.0  0.7007362057151036
5000.0  3523.0  2663.0  0.7785394916123395
5500.0  3648.0  2540.0  0.8566049789722214
6000.0  3768.0  2430.0  0.9345841909640886
6500.0  3886.0  2330.0  1.012532616758591
7000.0  4003.0  2240.0  1.090299082820856
8000.0  4239.0  2082.0  1.2418979748755532
9000.0  4481.0  1947.0  1.3932521738723398
10000.0  4731.0  1832.0  1.5444098484534472
11000.0  4988.0  1731.0  1.695404335254573
12000.0  5251.0  1643.0  1.8363610157047008
13000.0  5520.0  1564.0  1.9771657011995731
14000.0  5794.0  1494.0  2.107956406095724
15000.0  6070.0  1430.0  2.2484911785461823
16000.0  6349.0  1372.0  2.3691451221907025
17000.0  6628.0  1320.0  2.4995740937207684
18000.0  6908.0  1272.0  2.6200228243280628
20000.0  7465.0  1187.0  2.850842545634536
22500.0  8152.0  1097.0  3.1315767993137262
25000.0  8822.0  1021.0  3.3822110120452273
27500.0  9470.0  956.5  3.6226149505571246
30000.0  10100.0  900.4  3.85287526530512
