#Energy(keV)    dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
10.0  111.4  2026.0  0.007433707016018321
11.0  116.8  2094.0  0.007854934754662193
12.0  122.0  2155.0  0.008185963596303126
13.0  127.0  2213.0  0.008607554821202129
14.0  131.8  2266.0  0.008913472948295743
15.0  136.4  2316.0  0.009335416434203672
16.0  140.9  2362.0  0.009666436778875657
17.0  145.2  2406.0  0.00999749968742185
18.0  149.4  2447.0  0.010303882763308209
20.0  157.5  2523.0  0.010965856099730656
22.5  167.1  2607.0  0.01181058846967415
25.0  176.1  2681.0  0.012539936203984452
27.5  184.7  2748.0  0.013325539388707687
30.0  192.9  2808.0  0.014079062468786763
32.5  200.8  2862.0  0.014716996976285616
35.0  208.4  2912.0  0.015470617311536086
37.5  215.7  2957.0  0.016169415573854238
40.0  222.8  2999.0  0.016831220989577674
45.0  236.3  3072.0  0.018223336686787085
50.0  249.0  3136.0  0.0195
55.0  261.2  3191.0  0.020769448716805174
60.0  272.8  3239.0  0.022039283109938038
65.0  284.0  3281.0  0.023316303309058237
70.0  294.7  3318.0  0.024586378342488755
80.0  315.0  3380.0  0.027011664147179086
90.0  334.1  3430.0  0.029344505448209553
100.0  352.2  3469.0  0.031655331304537
110.0  369.4  3500.0  0.03398867458433765
120.0  385.8  3525.0  0.03630027548104835
130.0  401.6  3545.0  0.03863392291756042
140.0  416.7  3560.0  0.04085253970073342
150.0  431.4  3572.0  0.04313699108653732
160.0  445.5  3580.0  0.045377307103881784
170.0  459.2  3586.0  0.04756868717969837
180.0  472.5  3590.0  0.0497878499234502
200.0  498.1  3592.0  0.05429300139060283
225.0  528.3  3586.0  0.05974060595608317
250.0  556.9  3574.0  0.06530995329963114
275.0  582.3  3557.0  0.07075888636772064
300.0  605.5  3536.0  0.07630268671547549
325.0  628.6  3513.0  0.08184705248205339
350.0  651.2  3488.0  0.08737213514616661
375.0  672.9  3461.0  0.09291743646915794
400.0  693.8  3434.0  0.0984179353573321
450.0  733.3  3378.0  0.10958581112534597
500.0  770.4  3321.0  0.12080571178549465
550.0  805.7  3264.0  0.1320461283037106
600.0  839.6  3208.0  0.14348400607733255
650.0  872.6  3153.0  0.15489238199472563
700.0  904.7  3099.0  0.16649870870370137
800.0  967.6  2996.0  0.18982818547307456
900.0  1029.0  2900.0  0.21332840879732826
1000.0  1091.0  2810.0  0.23719125194660956
1100.0  1152.0  2725.0  0.2611304846240669
1200.0  1214.0  2647.0  0.28536071909076766
1300.0  1276.0  2573.0  0.30966764441898026
1400.0  1337.0  2504.0  0.3340515828431292
1500.0  1399.0  2439.0  0.3584384605479719
1600.0  1460.0  2377.0  0.38297715336557614
1700.0  1521.0  2320.0  0.40740609961069557
1800.0  1582.0  2265.0  0.43190834675889284
2000.0  1702.0  2165.0  0.48079227323242213
2250.0  1849.0  2053.0  0.5415855057144716
2500.0  1992.0  1955.0  0.6018709662377809
2750.0  2131.0  1866.0  0.661542145293858
3000.0  2265.0  1787.0  0.7205197637816746
3250.0  2394.0  1715.0  0.7787266015746477
3500.0  2520.0  1650.0  0.8361629625856434
3750.0  2641.0  1591.0  0.892926648723175
4000.0  2759.0  1536.0  0.9489061492054944
4500.0  2984.0  1438.0  1.0568415680696894
5000.0  3198.0  1355.0  1.1680097602331925
5500.0  3402.0  1281.0  1.269179144171539
6000.0  3599.0  1217.0  1.3701378105869497
6500.0  3790.0  1159.0  1.4709238593482667
7000.0  3976.0  1108.0  1.5617734278697408
8000.0  4339.0  1019.0  1.7529368642367016
9000.0  4693.0  945.0  1.9240319046211265
10000.0  5044.0  882.5  2.0947490947605156
11000.0  5393.0  828.7  2.255316795929122
12000.0  5742.0  781.9  2.405797774128158
13000.0  6090.0  740.7  2.5560515566005315
14000.0  6439.0  704.1  2.6962812260593294
15000.0  6787.0  671.4  2.8265093401579273
16000.0  7135.0  642.0  2.9566000270581068
17000.0  7481.0  615.4  3.0767007296778153
18000.0  7824.0  591.1  3.196697411391951
20000.0  8501.0  548.5  3.4266614218507203
22500.0  9323.0  504.0  3.6865933868545904
25000.0  10110.0  466.9  3.926408721720142
27500.0  10860.0  435.4  4.146204921370868
30000.0  11570.0  408.2  4.365834032576135
