#Energy(keV)    dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
10.0  78.55  1714.0  0.007801281945936835
11.0  82.39  1761.0  0.008257723657279892
12.0  86.05  1803.0  0.008676981041814025
13.0  89.56  1841.0  0.009133454987024352
14.0  92.95  1876.0  0.009553009996854395
15.0  96.21  1909.0  0.00997296345125159
16.0  99.36  1939.0  0.010340212763768453
17.0  102.4  1966.0  0.010760111523585619
18.0  105.4  1992.0  0.011180339887498949
20.0  111.1  2039.0  0.011967455869983396
22.5  117.8  2089.0  0.012933676971379794
25.0  124.2  2132.0  0.013926593266122195
27.5  130.3  2170.0  0.014803377992877167
30.0  136.1  2203.0  0.015680242345065973
32.5  141.6  2232.0  0.016647221990470362
35.0  147.0  2257.0  0.017489711261195827
37.5  152.1  2280.0  0.01836681790621337
40.0  157.1  2300.0  0.019243960091415695
45.0  166.6  2334.0  0.020964255293236627
50.0  175.7  2361.0  0.022685017081765665
55.0  184.2  2382.0  0.024406146766747103
60.0  192.4  2400.0  0.026036512823340994
65.0  200.3  2413.0  0.02764217791708895
70.0  207.8  2424.0  0.02936392344357273
80.0  222.2  2438.0  0.03260076686214605
90.0  235.7  2445.0  0.03592951433014368
100.0  248.4  2447.0  0.03913502267790323
110.0  260.5  2445.0  0.04237286867796421
120.0  272.1  2439.0  0.04557916190541463
130.0  283.2  2432.0  0.048854682477731864
140.0  293.9  2422.0  0.05209308975286454
150.0  304.2  2411.0  0.05539259878359202
160.0  314.2  2399.0  0.05857738471458076
170.0  323.9  2386.0  0.06187762115660233
180.0  339.6  2372.0  0.06506312319586266
200.0  398.5  2344.0  0.07167293771012878
225.0  443.8  2306.0  0.07973863555391453
250.0  472.4  2268.0  0.08786870887864463
275.0  493.1  2230.0  0.09602989117977798
300.0  510.4  2192.0  0.10428509001770102
325.0  527.0  2155.0  0.11261323190460347
350.0  544.1  2119.0  0.12105692875668043
375.0  562.1  2084.0  0.12948061630993266
400.0  581.4  2050.0  0.13808468416156802
450.0  623.5  1985.0  0.15533193490071512
500.0  669.3  1924.0  0.17273439148009873
550.0  717.6  1868.0  0.19033557208257212
600.0  767.2  1814.0  0.20790493019647227
650.0  817.2  1765.0  0.22552498752909844
700.0  866.9  1718.0  0.2432620808921933
800.0  963.8  1632.0  0.2785515930667064
900.0  1056.0  1556.0  0.31386904912717983
1000.0  1142.0  1488.0  0.3488931355014025
1100.0  1224.0  1427.0  0.3838287899571891
1200.0  1300.0  1371.0  0.41851715615969676
1300.0  1371.0  1320.0  0.4530114788832619
1400.0  1439.0  1274.0  0.48737349127748014
1500.0  1503.0  1231.0  0.5214709196110556
1600.0  1565.0  1192.0  0.5553406522126757
1700.0  1624.0  1155.0  0.588946483137475
1800.0  1681.0  1121.0  0.6224210231025299
2000.0  1792.0  1060.0  0.688659981413179
2250.0  1924.0  993.0  0.7699722397593305
2500.0  2053.0  935.5  0.8495760707552915
2750.0  2181.0  885.3  0.9275440798150781
3000.0  2309.0  841.0  1.0035521610758456
3250.0  2438.0  801.5  1.0825652220536184
3500.0  2568.0  766.2  1.1534857519709554
3750.0  2699.0  734.2  1.2242290063546117
4000.0  2832.0  705.2  1.2851042370173713
4500.0  3100.0  654.4  1.4162606716279316
5000.0  3371.0  611.3  1.546980972733666
5500.0  3643.0  574.3  1.6578180268051135
6000.0  3916.0  542.0  1.7683451727533288
6500.0  4186.0  513.6  1.8786205683958643
7000.0  4454.0  488.4  1.9789087902174773
8000.0  4977.0  445.5  2.15941831519509
9000.0  5479.0  410.3  2.339431084687044
10000.0  5956.0  380.9  2.499411260677202
11000.0  6407.0  355.8  2.639429063263493
12000.0  6831.0  334.1  2.7890990606287187
13000.0  7229.0  315.3  2.918913265241021
14000.0  7602.0  298.6  3.0486034474821415
15000.0  7951.0  283.8  3.168343166388388
16000.0  8277.0  270.6  3.2781172294474157
17000.0  8582.0  258.6  3.397722428333427
18000.0  8868.0  247.8  3.507400758396451
20000.0  9387.0  228.9  3.7168246030718213
22500.0  9952.0  209.3  3.9661291885161782
25000.0  10440.0  193.1  4.2054208350651425
27500.0  10870.0  179.4  4.4347311801280584
30000.0  11260.0  167.7  4.654096079798955
