#Energy(keV)    dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
10.0  105.0  200.7  0.023617578199298928
11.0  110.1  198.7  0.02556912200291594
12.0  115.0  196.6  0.027535613303502064
13.0  119.7  194.5  0.029431445768089617
14.0  124.3  192.4  0.031383116480043854
15.0  128.6  190.3  0.03327912258458748
16.0  132.8  188.2  0.03517527540759276
17.0  136.9  186.2  0.03714337087556809
18.0  140.9  184.2  0.03903985143414355
20.0  148.5  180.3  0.04273605035564237
22.5  157.5  175.7  0.04738153648838332
25.0  166.1  171.3  0.052027781040517196
27.5  174.2  167.2  0.0566938268244436
30.0  181.9  163.4  0.06124614273568582
32.5  189.5  159.8  0.06579931610586846
35.0  197.3  156.4  0.07030007112371936
37.5  204.5  153.2  0.07472763879582976
40.0  211.0  150.1  0.07917739576419522
45.0  223.0  144.5  0.08799806816061362
50.0  233.8  139.5  0.09682282788681602
55.0  243.7  134.8  0.10550758266589183
60.0  253.1  130.6  0.11406954019369063
65.0  261.9  126.8  0.12267098271392465
70.0  270.3  123.2  0.13122595017754682
80.0  286.2  116.8  0.14811866864105958
90.0  300.9  111.2  0.16488929619596296
100.0  314.7  106.2  0.1814512882291002
110.0  327.8  101.9  0.19780821519845934
120.0  340.3  97.9  0.21401537327958478
130.0  352.3  94.32  0.23002078166983086
140.0  363.9  91.05  0.2458761680195948
150.0  375.2  88.07  0.26149009541472124
160.0  386.1  85.31  0.276990324740775
170.0  396.8  82.77  0.29242231447001443
180.0  407.3  80.41  0.3075415419093817
200.0  427.8  76.15  0.33748749606466905
225.0  452.8  71.54  0.3740510793995922
250.0  477.4  67.57  0.4096345810597538
275.0  501.8  64.09  0.4442401265081758
300.0  526.2  61.02  0.47797893259013
325.0  550.7  58.28  0.5108596480443528
350.0  575.1  55.82  0.5427875090677751
375.0  599.6  53.6  0.5739274779970027
400.0  624.1  51.57  0.6041839951537942
450.0  673.2  48.02  0.662455560773702
500.0  722.2  45.0  0.7177872874327046
550.0  771.0  42.39  0.7704217935650575
600.0  819.6  40.1  0.820715066268434
650.0  867.7  38.09  0.8687239665164074
700.0  915.3  36.3  0.914741477139853
800.0  1009.0  33.24  1.0014970094813065
900.0  1100.0  30.71  1.0819523141063103
1000.0  1187.0  28.59  1.1562773456225803
1100.0  1272.0  26.77  1.226231723615076
1200.0  1353.0  25.2  1.295776863506985
1300.0  1430.0  23.83  1.3556595000220373
1400.0  1504.0  22.61  1.415271355606408
1500.0  1575.0  21.53  1.4746715871678004
1600.0  1642.0  20.55  1.5339375378417466
1700.0  1705.0  19.68  1.5930731590231504
1800.0  1766.0  18.88  1.6426496644141744
2000.0  1877.0  17.48  1.741548647038032
2250.0  1999.0  16.03  1.860076084465364
2500.0  2104.0  14.82  1.9783966361677834
2750.0  2194.0  13.8  2.0869970627674586
3000.0  2271.0  12.92  2.1955085242376082
3250.0  2337.0  12.16  2.2943071285248626
3500.0  2392.0  11.49  2.3930610105051646
3750.0  2439.0  10.9  2.491835957682608
4000.0  2479.0  10.37  2.590610493686768
4500.0  2539.0  9.465  2.778537982464879
5000.0  2581.0  8.718  2.966529730172951
5500.0  2609.0  8.09  3.1546458961347783
6000.0  2626.0  7.553  3.3428723577187327
6500.0  2636.0  7.089  3.5312375012168187
7000.0  2640.0  6.684  3.709852517284211
8000.0  2637.0  6.007  4.08725570523793
9000.0  2623.0  5.464  4.455138767760215
10000.0  2603.0  5.018  4.833190387311471
11000.0  2580.0  4.644  5.211505422620224
12000.0  2555.0  4.326  5.599938571984517
13000.0  2529.0  4.052  5.988587541315566
14000.0  2503.0  3.813  6.377403717030936
15000.0  2476.0  3.603  6.776302491772339
16000.0  2450.0  3.416  7.175338646363668
17000.0  2424.0  3.249  7.584437664718459
18000.0  2398.0  3.099  7.993647350240064
20000.0  2347.0  2.839  8.832654629838075
22500.0  2287.0  2.573  9.90192220530943
25000.0  2228.0  2.356  11.001383726150088
27500.0  2173.0  2.175  12.131003183991009
30000.0  2120.0  2.021  13.29075198211147
