#Energy(keV)    dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
10.0  89.3  474.1  0.014924476540234167
11.0  93.66  478.3  0.016041508657230467
12.0  97.82  481.7  0.01706223900899293
13.0  101.8  484.4  0.018138357147217055
14.0  105.7  486.4  0.01921457779916072
15.0  109.4  488.1  0.020276587484091103
16.0  113.0  489.3  0.021352751579129095
17.0  116.4  490.1  0.022374315631991968
18.0  119.8  490.7  0.02345058634661402
20.0  126.3  491.1  0.025494509212769717
22.5  133.9  490.6  0.028003392651605626
25.0  141.2  489.3  0.030586598372489872
27.5  148.1  487.3  0.033095921198842616
30.0  154.7  484.9  0.035605336678649735
32.5  161.0  482.2  0.038189396434088876
35.0  167.1  479.3  0.04065907032877166
37.5  172.9  476.2  0.0431907397482377
40.0  178.6  472.9  0.04570054704267773
45.0  189.4  466.3  0.050703155720329685
50.0  199.7  459.5  0.05565437988155111
55.0  209.4  452.7  0.060658552570927705
60.0  218.7  446.0  0.06561143193072377
65.0  229.3  439.5  0.070616499488434
70.0  240.6  433.1  0.07560773769925934
80.0  261.8  420.8  0.0854155138133583
90.0  281.6  409.3  0.09522531176110688
100.0  300.3  398.5  0.10503794552446273
110.0  318.1  388.4  0.11467541148825236
120.0  335.0  378.8  0.12435485515250301
130.0  351.0  369.9  0.13390056011832066
140.0  366.2  361.5  0.14353630202844156
150.0  380.5  353.5  0.15300156861940992
160.0  394.2  346.0  0.16250766135785724
170.0  407.2  338.9  0.17193085819596202
180.0  419.7  332.1  0.1812720055607043
200.0  443.5  319.6  0.20003372215704032
225.0  471.5  305.5  0.22328793070831215
250.0  498.1  292.9  0.2462682480548396
275.0  523.9  281.5  0.269138960390353
300.0  549.0  271.2  0.2917396270649567
325.0  573.7  261.8  0.31410719507836815
350.0  598.2  253.2  0.3361718310626279
375.0  622.4  245.2  0.35795790255280024
400.0  646.5  237.9  0.3794861262286146
450.0  694.4  224.7  0.42169723736349046
500.0  741.9  213.2  0.46280373810072023
550.0  789.1  203.0  0.5027282864530302
600.0  835.8  193.9  0.5415861242683383
650.0  882.0  185.7  0.5793379497322785
700.0  927.7  178.4  0.6160169234688282
800.0  1017.0  165.5  0.686562815771434
900.0  1104.0  154.7  0.753433646713498
1000.0  1189.0  145.4  0.8172466029296176
1100.0  1272.0  137.3  0.878116376114237
1200.0  1352.0  130.3  0.9364422512894215
1300.0  1430.0  124.0  0.9924262894542849
1400.0  1506.0  118.4  1.0462439581665455
1500.0  1581.0  113.3  1.0965206427605454
1600.0  1653.0  108.7  1.147105248004733
1700.0  1724.0  104.5  1.1974575775366743
1800.0  1793.0  100.7  1.2475559025550718
2000.0  1926.0  93.97  1.3380207509601636
2250.0  2084.0  86.85  1.4386438614194967
2500.0  2233.0  80.86  1.5385274160703148
2750.0  2375.0  75.73  1.6379093076235935
3000.0  2509.0  71.3  1.7274932648204449
3250.0  2636.0  67.41  1.8167331614741884
3500.0  2757.0  63.97  1.8963050835770072
3750.0  2872.0  60.91  1.9756571387768678
4000.0  2982.0  58.15  2.0548624698504763
4500.0  3187.0  53.41  2.2034071525707635
5000.0  3373.0  49.46  2.3420173697050157
5500.0  3544.0  46.1  2.4804231614787025
6000.0  3700.0  43.22  2.609026517688159
6500.0  3843.0  40.71  2.7375140419731183
7000.0  3974.0  38.51  2.8562566341279627
8000.0  4206.0  34.8  3.083969536166011
9000.0  4403.0  31.81  3.3115495119354623
10000.0  4572.0  29.33  3.52936045906337
11000.0  4717.0  27.24  3.737411352794873
12000.0  4843.0  25.46  3.9356930012387905
13000.0  4952.0  23.91  4.133983188161267
14000.0  5048.0  22.56  4.33232664511807
15000.0  5132.0  21.36  4.520892887472562
16000.0  5205.0  20.3  4.709505474038649
17000.0  5270.0  19.34  4.898145567457138
18000.0  5326.0  18.48  5.076974157901534
20000.0  5419.0  16.98  5.4447708537641875
22500.0  5505.0  15.45  5.892413584432105
25000.0  5566.0  14.19  6.340272418437555
27500.0  5607.0  13.13  6.778401675911512
30000.0  5633.0  12.23  7.2166936536062
